Id,Section,ui,Label,Enumeration,Notes,pattern,min,max,Branching_Logic,Unit,CDE_Reference,source_file,source_directory
esr_discharge,Labs Discharge,number,Erythrocyte Sedimentation Rate (ESR),,Last lab within 24hrs of discharge,number,,,[esr_yn_discharge] = '1',mm/hr,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
ddimer_yn_discharge,Labs Discharge,radio,D-dimer?,"1, Yes | 0, No",Last lab within 24hrs of discharge,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
ddimer_discharge,Labs Discharge,number,D-dimer (ng/mL DDU),,Last lab within 24hrs of discharge,number,,,[ddimer_yn_discharge] = '1' and [baseline_arm_1][location] = '1',ng/mL DDU,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
ddimer_discharge_ugml,Labs Discharge,number,D-dimer (ug/mL),,Last lab within 24hrs of discharge,,,,[ddimer_yn_discharge] = '1' and [baseline_arm_1][location] = '2',ug/mL,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
fibrinogen_yn_discharge,Labs Discharge,radio,Fibrinogen Test?,"1, Yes | 0, No",Last lab within 24hrs of discharge,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
fibrinogen_discharge,Labs Discharge,number,Fibrinogen (mg/dL),,Last lab within 24hrs of discharge,number,,,[fibrinogen_yn_discharge] = '1',mg/dL,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
crp_yn_discharge,Labs Discharge,radio,C-reactive protein (CRP) test?,"1, Yes | 0, No",Last lab within 24hrs of discharge,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
crp_discharge,Labs Discharge,number,C-reactive protein (mg/L),,Last lab within 24hrs of discharge,,,,[crp_yn_discharge] = '1',mg/L,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
pct_yn_discharge,Labs Discharge,radio,Procalcitonin (PCT) Test?,"1, Yes | 0, No",Last lab within 24hrs of discharge,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
pct_discharge,Labs Discharge,number,Procalcitonin,,Last lab within 24hrs of discharge,number,,,[pct_yn_discharge] = '1',ng/mL,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
virus_type_discharge,Labs Discharge,text,Virus detected,,Last lab within 24hrs of discharge,,,,[viral_results_discharge] = '1',,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
cardiac_yn_discharge,Labs Discharge,radio,Cardiac Profile?,"1, Yes | 0, No",Last lab within 24hrs of discharge,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
ckmb_discharge,Labs Discharge,number,CK-MB,,Last lab within 24hrs of discharge,number,,,[cardiac_yn_discharge] = '1',ng/mL,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
ck_discharge,Labs Discharge,number,Creatine Kinase (CK),,Last lab within 24hrs of discharge,number,,,[cardiac_yn_discharge] = '1',U/L,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
troponin_discharge,Labs Discharge,number,Troponin I,,Last lab within 24hrs of discharge,number,,,[cardiac_yn_discharge] = '1',ng/mL,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
bnp_discharge,Labs Discharge,number,"proBNP, N-terminal",,Last lab within 24hrs of discharge,number,,,[cardiac_yn_discharge] = '1',pg/mL,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
lft_yn_discharge,Labs Discharge,radio,Liver Function Tests?,"1, Yes | 0, No",Last lab within 24hrs of discharge,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
alp_discharge,Labs Discharge,number,Alkaline Phosphatase (ALP) (U/L),,Last lab within 24hrs of discharge,number,,,[lft_yn_discharge] = '1',U/L,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
ast_discharge,Labs Discharge,number,Aspartate Aminotransferase (AST) (U/L),,Last lab within 24hrs of discharge,number,,,[lft_yn_discharge] = '1',U/L,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
alt_discharge,Labs Discharge,number,Alanine Transaminase (ALT) (U/L),,Last lab within 24hrs of discharge,number,,,[lft_yn_discharge] = '1',U/L,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
ggt_discharge,Labs Discharge,number,Gamma-glutamyl Transferase (GGT) (U/L),,Last lab within 24hrs of discharge,number,,,[lft_yn_discharge] = '1',U/L,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
ldh_yn_discharge,Labs Discharge,number,Lactate Dehydrogenase (LDH),,Last lab within 24hrs of discharge,number,,,[lft_yn_discharge] = '1',LDH,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
bilirubin_total_discharge,Labs Discharge,number,Total Bilirubin (mg/dL),,Last lab within 24hrs of discharge,number_1dp,,,[lft_yn_discharge] = '1',mg/dL,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
bilirubin_direct_discharge,Labs Discharge,number,"Bilirubin, Direct (conjugated) (mg/dL)",,Last lab within 24hrs of discharge,number,,,[lft_yn_discharge] = '1',mg/dL,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
albumin_discharge,Labs Discharge,number,Albumin (g/dL),,Last lab within 24hrs of discharge,number_1dp,,,[lft_yn_discharge] = '1',g/dL,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
total_protein_discharge,Labs Discharge,number,Total protein (g/dL),,Last lab within 24hrs of discharge,number_1dp,,,[lft_yn_discharge] = '1',g/dL,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
viral_yn_discharge,Labs Discharge,radio,Viral Tests?,"1, Yes | 0, No",Last lab within 24hrs of discharge,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
viral_results_discharge,Labs Discharge,radio,Viral test results,"0, Negative | 1, Positive",Last lab within 24hrs of discharge,,,,[viral_yn_discharge] = '1',,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
bld_culture_yn_discharge,Labs Discharge,radio,Blood Culture Test?,"1, Yes | 0, No",Last lab within 24hrs of discharge,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
bld_culture_discharge,Labs Discharge,radio,Blood Culture Results,"1, Positive | 0, Negative",Last lab within 24hrs of discharge,,,,[bld_culture_yn_discharge] = '1',,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
echo_fu1_age,Followup Imaging,calc,Age at Follow-up Echocardiogram,"round(datediff([baseline_arm_1][dob],[medical_record_dat_arm_1][echo_fu1_date],'M','ymd'),0)",Echocardiogram after discharge,,,,,months,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
echo_fu1_results,Followup Imaging,radio,Results,"0, Normal | 1, Abnormal | 96, Unknown",Echocardiogram after discharge,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
echo_fu2_age,Followup Imaging,calc,Age at Second F/U Echocardiogram (months),"round(datediff([baseline_arm_1][dob],[medical_record_dat_arm_1][echo_fu2_date],'M','ymd'),0)",Echocardiogram after discharge,,,,,months,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
echo_fu2_results,Followup Imaging,radio,Results,"0, Normal | 1, Abnormal | 96, Unknown",Echocardiogram after discharge,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
echo_fu3_age,Followup Imaging,calc,Age at 3rd F/U Echocardiogram (months),"round(datediff([baseline_arm_1][dob],[medical_record_dat_arm_1][echo_fu3_date],'M','ymd'),0)",Echocardiogram after discharge,,,,,months,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
echo_fu3_results,Followup Imaging,radio,Results,"0, Normal | 1, Abnormal | 96, Unknown",Echocardiogram after discharge,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
echo_fu4_age,Followup Imaging,calc,Age at 4th F/U Echocardiogram (months),"round(datediff([baseline_arm_1][dob],[medical_record_dat_arm_1][echo_fu4_date],'M','ymd'),0)",Echocardiogram after discharge,,,,,months,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
echo_fu4_results,Followup Imaging,radio,Results,"0, Normal | 1, Abnormal | 96, Unknown",Echocardiogram after discharge,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
age_2,Self Report Health Status,calc,Age at survey completion (months),"round(datediff([baseline_arm_1][dob],[twomo_self_date_completed],'M','ymd'),0)",2-Mo Health Status Survey,,,,,months,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
covid_status_2,Self Report Health Status,radio,"In the past two months, have you been diagnosed with Covid?
","1, Yes | 0, No",2-Mo Health Status Survey,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
covid_hosp_2,Self Report Health Status,radio,Were you hospitalized?,"1, Yes|0, No",2-Mo Health Status Survey,,,,[covid_status] = '1',,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
covid_current_symptoms_2,Self Report Health Status,radio,Do you have any symptoms right now?,"1, Yes|0, No",2-Mo Health Status Survey,,,,[covid_status] = '1',,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
sick_status_2,Self Report Health Status,radio,"In the past two months, have you been to the doctor because you were sick?","1, Yes|0, No",2-Mo Health Status Survey,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
sick_covidrelated_2,Self Report Health Status,radio,Did your doctor say your sickness was related to Covid?,"1, Yes|0, No",2-Mo Health Status Survey,,,,[sick_status] = '1',,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
sick_now_2,Self Report Health Status,radio,Are you still sick right now with the same illness?,,2-Mo Health Status Survey,,,,[sick_status] = '1',,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
hospital_status_2,Self Report Health Status,radio,"In the past two months, have you been hospitalized?","1, Yes|0, No",2-Mo Health Status Survey,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
hosp_status_covid_2,Self Report Health Status,radio,Did your doctor say your hospitalization was related to Covid?,"1, Yes|0, No",2-Mo Health Status Survey,,,,[hospital_status] = '1',,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
hosp_status_sicknow_2,Self Report Health Status,radio,Are you still not feeling well right now?,"1, Yes, I still feel bad | 0, No, I'm fine",2-Mo Health Status Survey,,,,[hospital_status] = '1',,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
age_4,Self Report Health Status,calc,Age at survey completion (months),"round(datediff([baseline_arm_1][dob],[twomo_self_date_completed],'M','ymd'),0)",4-Mo Health Status Survey,,,,,months,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
covid_status_4,Self Report Health Status,radio,"In the past two months, have you been diagnosed with Covid?
","1, Yes | 0, No",4-Mo Health Status Survey,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
covid_hosp_4,Self Report Health Status,radio,Were you hospitalized?,"1, Yes|0, No",4-Mo Health Status Survey,,,,[covid_status] = '1',,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
covid_current_symptoms_4,Self Report Health Status,radio,Do you have any symptoms right now?,"1, Yes|0, No",4-Mo Health Status Survey,,,,[covid_status] = '1',,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
sick_status_4,Self Report Health Status,radio,"In the past two months, have you been to the doctor because you were sick?","1, Yes|0, No",4-Mo Health Status Survey,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
sick_covidrelated_4,Self Report Health Status,radio,Did your doctor say your sickness was related to Covid?,"1, Yes|0, No",4-Mo Health Status Survey,,,,[sick_status] = '1',,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
sick_now_4,Self Report Health Status,radio,Are you still sick right now with the same illness?,,4-Mo Health Status Survey,,,,[sick_status] = '1',,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
hospital_status_4,Self Report Health Status,radio,"In the past two months, have you been hospitalized?","1, Yes|0, No",4-Mo Health Status Survey,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
hosp_status_covid_4,Self Report Health Status,radio,Did your doctor say your hospitalization was related to Covid?,"1, Yes|0, No",4-Mo Health Status Survey,,,,[hospital_status] = '1',,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
hosp_status_sicknow_4,Self Report Health Status,radio,Are you still not feeling well right now?,"1, Yes, I still feel bad | 0, No, I'm fine",4-Mo Health Status Survey,,,,[hospital_status] = '1',,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
age_8,Self Report Health Status,calc,Age at survey completion (months),"round(datediff([baseline_arm_1][dob],[twomo_self_date_completed],'M','ymd'),0)",8-Mo Health Status Survey,,,,,months,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
covid_status_8,Self Report Health Status,radio,"In the past two months, have you been diagnosed with Covid?
","1, Yes | 0, No",8-Mo Health Status Survey,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
covid_hosp_8,Self Report Health Status,radio,Were you hospitalized?,"1, Yes|0, No",8-Mo Health Status Survey,,,,[covid_status] = '1',,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
covid_current_symptoms_8,Self Report Health Status,radio,Do you have any symptoms right now?,"1, Yes|0, No",8-Mo Health Status Survey,,,,[covid_status] = '1',,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
sick_status_8,Self Report Health Status,radio,"In the past two months, have you been to the doctor because you were sick?","1, Yes|0, No",8-Mo Health Status Survey,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
sick_covidrelated_8,Self Report Health Status,radio,Did your doctor say your sickness was related to Covid?,"1, Yes|0, No",8-Mo Health Status Survey,,,,[sick_status] = '1',,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
sick_now_8,Self Report Health Status,radio,Are you still sick right now with the same illness?,,8-Mo Health Status Survey,,,,[sick_status] = '1',,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
hospital_status_8,Self Report Health Status,radio,"In the past two months, have you been hospitalized?","1, Yes|0, No",8-Mo Health Status Survey,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
hosp_status_covid_8,Self Report Health Status,radio,Did your doctor say your hospitalization was related to Covid?,"1, Yes|0, No",8-Mo Health Status Survey,,,,[hospital_status] = '1',,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
hosp_status_sicknow_8,Self Report Health Status,radio,Are you still not feeling well right now?,"1, Yes, I still feel bad | 0, No, I'm fine",8-Mo Health Status Survey,,,,[hospital_status] = '1',,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
age_10,Self Report Health Status,calc,Age at survey completion (months),"round(datediff([baseline_arm_1][dob],[twomo_self_date_completed],'M','ymd'),0)",10-Mo Health Status Survey,,,,,months,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
covid_status_10,Self Report Health Status,radio,"In the past two months, have you been diagnosed with Covid?
","1, Yes | 0, No",10-Mo Health Status Survey,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
covid_hosp_10,Self Report Health Status,radio,Were you hospitalized?,"1, Yes|0, No",10-Mo Health Status Survey,,,,[covid_status] = '1',,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
covid_current_symptoms_10,Self Report Health Status,radio,Do you have any symptoms right now?,"1, Yes|0, No",10-Mo Health Status Survey,,,,[covid_status] = '1',,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
sick_status_10,Self Report Health Status,radio,"In the past two months, have you been to the doctor because you were sick?","1, Yes|0, No",10-Mo Health Status Survey,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
sick_covidrelated_10,Self Report Health Status,radio,Did your doctor say your sickness was related to Covid?,"1, Yes|0, No",10-Mo Health Status Survey,,,,[sick_status] = '1',,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
sick_now_10,Self Report Health Status,radio,Are you still sick right now with the same illness?,,10-Mo Health Status Survey,,,,[sick_status] = '1',,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
hospital_status_10,Self Report Health Status,radio,"In the past two months, have you been hospitalized?","1, Yes|0, No",10-Mo Health Status Survey,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
hosp_status_covid_10,Self Report Health Status,radio,Did your doctor say your hospitalization was related to Covid?,"1, Yes|0, No",10-Mo Health Status Survey,,,,[hospital_status] = '1',,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
hosp_status_sicknow_10,Self Report Health Status,radio,Are you still not feeling well right now?,"1, Yes, I still feel bad | 0, No, I'm fine",10-Mo Health Status Survey,,,,[hospital_status] = '1',,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
age_14,Self Report Health Status,calc,Age at survey completion (months),"round(datediff([baseline_arm_1][dob],[twomo_self_date_completed],'M','ymd'),0)",14-Mo Heath Status Survey,,,,,months,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
covid_status_14,Self Report Health Status,radio,"In the past two months, have you been diagnosed with Covid?
","1, Yes | 0, No",14-Mo Heath Status Survey,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
covid_hosp_14,Self Report Health Status,radio,Were you hospitalized?,"1, Yes|0, No",14-Mo Heath Status Survey,,,,[covid_status] = '1',,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
covid_current_symptoms_14,Self Report Health Status,radio,Do you have any symptoms right now?,"1, Yes|0, No",14-Mo Heath Status Survey,,,,[covid_status] = '1',,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
sick_status_14,Self Report Health Status,radio,"In the past two months, have you been to the doctor because you were sick?","1, Yes|0, No",14-Mo Heath Status Survey,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
sick_covidrelated_14,Self Report Health Status,radio,Did your doctor say your sickness was related to Covid?,"1, Yes|0, No",14-Mo Heath Status Survey,,,,[sick_status] = '1',,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
sick_now_14,Self Report Health Status,radio,Are you still sick right now with the same illness?,,14-Mo Heath Status Survey,,,,[sick_status] = '1',,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
hospital_status_14,Self Report Health Status,radio,"In the past two months, have you been hospitalized?","1, Yes|0, No",14-Mo Heath Status Survey,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
hosp_status_covid_14,Self Report Health Status,radio,Did your doctor say your hospitalization was related to Covid?,"1, Yes|0, No",14-Mo Heath Status Survey,,,,[hospital_status] = '1',,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
hosp_status_sicknow_14,Self Report Health Status,radio,Are you still not feeling well right now?,"1, Yes, I still feel bad | 0, No, I'm fine",14-Mo Heath Status Survey,,,,[hospital_status] = '1',,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
age_16,Self Report Health Status,calc,Age at survey completion (months),"round(datediff([baseline_arm_1][dob],[twomo_self_date_completed],'M','ymd'),0)",16-Mo Health Status Survey,,,,,months,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
covid_status_16,Self Report Health Status,radio,"In the past two months, have you been diagnosed with Covid?
","1, Yes | 0, No",16-Mo Health Status Survey,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
covid_hosp_16,Self Report Health Status,radio,Were you hospitalized?,"1, Yes|0, No",16-Mo Health Status Survey,,,,[covid_status] = '1',,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
covid_current_symptoms_16,Self Report Health Status,radio,Do you have any symptoms right now?,"1, Yes|0, No",16-Mo Health Status Survey,,,,[covid_status] = '1',,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
sick_status_16,Self Report Health Status,radio,"In the past two months, have you been to the doctor because you were sick?","1, Yes|0, No",16-Mo Health Status Survey,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
sick_covidrelated_16,Self Report Health Status,radio,Did your doctor say your sickness was related to Covid?,"1, Yes|0, No",16-Mo Health Status Survey,,,,[sick_status] = '1',,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
sick_now_16,Self Report Health Status,radio,Are you still sick right now with the same illness?,,16-Mo Health Status Survey,,,,[sick_status] = '1',,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
hospital_status_16,Self Report Health Status,radio,"In the past two months, have you been hospitalized?","1, Yes|0, No",16-Mo Health Status Survey,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
hosp_status_covid_16,Self Report Health Status,radio,Did your doctor say your hospitalization was related to Covid?,"1, Yes|0, No",16-Mo Health Status Survey,,,,[hospital_status] = '1',,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
hosp_status_sicknow_16,Self Report Health Status,radio,Are you still not feeling well right now?,"1, Yes, I still feel bad | 0, No, I'm fine",16-Mo Health Status Survey,,,,[hospital_status] = '1',,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
age_20,Self Report Health Status,calc,Age at survey completion (months),"round(datediff([baseline_arm_1][dob],[twomo_self_date_completed],'M','ymd'),0)",20-Mo Health Status Survey,,,,,months,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
covid_status_20,Self Report Health Status,radio,"In the past two months, have you been diagnosed with Covid?
","1, Yes | 0, No",20-Mo Health Status Survey,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
covid_hosp_20,Self Report Health Status,radio,Were you hospitalized?,"1, Yes|0, No",20-Mo Health Status Survey,,,,[covid_status] = '1',,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
covid_current_symptoms_20,Self Report Health Status,radio,Do you have any symptoms right now?,"1, Yes|0, No",20-Mo Health Status Survey,,,,[covid_status] = '1',,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
sick_status_20,Self Report Health Status,radio,"In the past two months, have you been to the doctor because you were sick?","1, Yes|0, No",20-Mo Health Status Survey,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
sick_covidrelated_20,Self Report Health Status,radio,Did your doctor say your sickness was related to Covid?,"1, Yes|0, No",20-Mo Health Status Survey,,,,[sick_status] = '1',,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
sick_now_20,Self Report Health Status,radio,Are you still sick right now with the same illness?,,20-Mo Health Status Survey,,,,[sick_status] = '1',,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
hospital_status_20,Self Report Health Status,radio,"In the past two months, have you been hospitalized?","1, Yes|0, No",20-Mo Health Status Survey,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
hosp_status_covid_20,Self Report Health Status,radio,Did your doctor say your hospitalization was related to Covid?,"1, Yes|0, No",20-Mo Health Status Survey,,,,[hospital_status] = '1',,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
hosp_status_sicknow_20,Self Report Health Status,radio,Are you still not feeling well right now?,"1, Yes, I still feel bad | 0, No, I'm fine",20-Mo Health Status Survey,,,,[hospital_status] = '1',,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
age_22,Self Report Health Status,calc,Age at survey completion (months),"round(datediff([baseline_arm_1][dob],[twomo_self_date_completed],'M','ymd'),0)",22-Mo Health Status Survey,,,,,months,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
covid_status_22,Self Report Health Status,radio,"In the past two months, have you been diagnosed with Covid?
","1, Yes | 0, No",22-Mo Health Status Survey,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
covid_hosp_22,Self Report Health Status,radio,Were you hospitalized?,"1, Yes|0, No",22-Mo Health Status Survey,,,,[covid_status] = '1',,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
covid_current_symptoms_22,Self Report Health Status,radio,Do you have any symptoms right now?,"1, Yes|0, No",22-Mo Health Status Survey,,,,[covid_status] = '1',,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
sick_status_22,Self Report Health Status,radio,"In the past two months, have you been to the doctor because you were sick?","1, Yes|0, No",22-Mo Health Status Survey,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
sick_covidrelated_22,Self Report Health Status,radio,Did your doctor say your sickness was related to Covid?,"1, Yes|0, No",22-Mo Health Status Survey,,,,[sick_status] = '1',,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
sick_now_22,Self Report Health Status,radio,Are you still sick right now with the same illness?,,22-Mo Health Status Survey,,,,[sick_status] = '1',,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
hospital_status_22,Self Report Health Status,radio,"In the past two months, have you been hospitalized?","1, Yes|0, No",22-Mo Health Status Survey,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
hosp_status_covid_22,Self Report Health Status,radio,Did your doctor say your hospitalization was related to Covid?,"1, Yes|0, No",22-Mo Health Status Survey,,,,[hospital_status] = '1',,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
hosp_status_sicknow_22,Self Report Health Status,radio,Are you still not feeling well right now?,"1, Yes, I still feel bad | 0, No, I'm fine",22-Mo Health Status Survey,,,,[hospital_status] = '1',,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
adult_survey_age_6,CRISIS_Health Status Adult Survey,calc,Age survey completed,"round(datediff([baseline_arm_1][dob],[sixmo_self_survey_completed],'M','ymd'),0)",6mo CRISIS_Health Status Survey,,,,,months,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
vaccine_6,CRISIS_Health Status Adult Survey,radio,"In the PAST SIX MONTHS, have you received the Covid-19 vaccine?","1, Yes|0, No",6mo CRISIS_Health Status Survey,,,," ",,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
vaccine_type_6,CRISIS_Health Status Adult Survey,radio,What vaccine did you receive?,"1, Pfizer|2, Moderna|3, J&J|99, Other",6mo CRISIS_Health Status Survey,,,,[vaccine]='1',,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
vaccine_type_other_6,CRISIS_Health Status Adult Survey,text,Describe other vaccine that you received,,6mo CRISIS_Health Status Survey,,,,[vaccine_type] = '99',,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
vaccine_side_effects_6,CRISIS_Health Status Adult Survey,radio,Have you experienced any side-effects from the vaccine?,"1, Yes|0, No|96, Don't know",6mo CRISIS_Health Status Survey,,,,[vaccine]='1',,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
side_effect_status_6,CRISIS_Health Status Adult Survey,radio,Do you still have the side effect(s)? (1st dose),"1, Yes|0, No|96, Don't know",6mo CRISIS_Health Status Survey,,,,[vaccine_side_effects] = '1',,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
vaccine_side_effects_2_6,CRISIS_Health Status Adult Survey,radio,Have you experienced any side-effects from the 2nd vaccine dose?,"1, Yes|0, No|96, Don't know",6mo CRISIS_Health Status Survey,,,,[event-name][vaccine_date_2] <> '',,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
