Variable / Field Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Branching Logic (Show field only if...),Units,CDE Reference,,,,,,
other_neuro_disorder,clinical_data_abstraction,,yesno,Other neurologic or muscular disorder,,,,,,,[neurologic_disorder]='1',,,,,, @HIDDEN
specific_neuro_disorder,clinical_data_abstraction,,text,What other neurologic or muscular disorder(s)?,,,,,,,[neurologic_disorder_which(6)]='1',y,,,,,
renal_disorder,clinical_data_abstraction,"Renal disorders include:
- Chronic kidney disease
- Receiving hemodialysis or peritoneal dialysis
- Other",yesno,Pre-existing renal disorder?,,,,,,,,y,,,,,
renal_disorder_which,clinical_data_abstraction,,checkbox,Which renal disorder(s)?,"1, Chronic kidney disease | 2, Other renal disorder",Check all that apply,,,,,[renal_disorder] ='1',y,,,,,
chronic_kidney_dx,clinical_data_abstraction,,yesno,Chronic kidney disease,,,,,,,[renal_disorder] ='1',,,,,, @HIDDEN
other_renal,clinical_data_abstraction,,yesno,Other renal disorder,,,,,,,[renal_disorder] ='1',,,,,, @HIDDEN
specific_renal_disorder,clinical_data_abstraction,,text,What other renal disorder(s)?,,,,,,,[renal_disorder_which(2)] = '1',y,,,,,
gastro_hep_disorder,clinical_data_abstraction,"Gastrointestinal and hepatic disorders include:
- Chronic liver disease
- Gastroesophageal reflux (GERD)
- Inflammatory bowel disease (IBD)
- Celiac disease
- Peptic ulcer disease 
- Other",yesno,Pre-existing gastrointestinal or hepatic disorder?,,,,,,,,y,,,,,
gastro_hep_disorder_which,clinical_data_abstraction,,checkbox,Which gastrointestinal or hepatic disorder(s)?,"2, Gastroesophageal reflux | 5, Peptic ulcer disease | 3, Inflammatory bowel disease | 4, Celiac disease | 1, Chronic liver disease | 6, Other underlying gastrointestinal / hepatic disorder(s) (specify)",Check all that apply,,,,,[gastro_hep_disorder]='1',y,,,,,
liver_dz,clinical_data_abstraction,,yesno,Chronic liver disease,,,,,,,[gastro_hep_disorder]='1',,,,,, @HIDDEN
gerd,clinical_data_abstraction,,yesno,Gastroesophageal reflux,,,,,,,[gastro_hep_disorder]='1',,,,,, @HIDDEN
ibd,clinical_data_abstraction,,yesno,Inflammatory bowel disease,,,,,,,[gastro_hep_disorder]='1',,,,,, @HIDDEN
celiac_dz,clinical_data_abstraction,,yesno,Celiac disease,,,,,,,[gastro_hep_disorder]='1',,,,,, @HIDDEN
peptic_ulcer_dz,clinical_data_abstraction,,yesno,Peptic ulcer disease,,,,,,,[gastro_hep_disorder]='1',,,,,, @HIDDEN
other_gastro_hep_disorder,clinical_data_abstraction,,yesno,Other underlying gastrointestinal hepatic disorder?,,,,,,,[gastro_hep_disorder]='1',,,,,, @HIDDEN
specific_gastro_hep_disorder,clinical_data_abstraction,,text,What other gastrointestinal or hepatic disorder(s)?,,,,,,,[gastro_hep_disorder_which(6)]='1',y,,,,,
endo_disorder,clinical_data_abstraction,"Endocrine disorders include:
- Diabetes mellitus
- Adrenal insufficiency
- Hypothyroidism
- Other",yesno,Pre-existing endocrine disorder?,,,,,,,,y,,,,,
endo_disorder_which,clinical_data_abstraction,,checkbox,Which endocrine disorder(s)?,"1, Type 1 diabetes mellitus | 2, Type 2 diabetes mellitus | 3, Adrenal insufficiency | 4, Hypothyroidism | 5, Other endocrine disorder(s) (specify)",Check all that apply,,,,,[endo_disorder]='1',y,,,,,
diabetes,clinical_data_abstraction,,yesno,Diabetes mellitus,,,,,,,[endo_disorder]='1',,,,,, @HIDDEN
insulin_dependent,clinical_data_abstraction,,yesno,Insulin dependent?,,,,,,,[endo_disorder_which(2)]='1',,,,,,
adrenal_insufficiency,clinical_data_abstraction,,yesno,Adrenal insufficiency,,,,,,,[endo_disorder]='1',,,,,, @HIDDEN
hypothyroidism,clinical_data_abstraction,,yesno,Hypothyroidism,,,,,,,[endo_disorder]='1',,,,,, @HIDDEN
other_endo_disorder,clinical_data_abstraction,,yesno,Other underlying endocrine disorder?,,,,,,,[endo_disorder]='1',,,,,, @HIDDEN
specific_endo_disorder,clinical_data_abstraction,,text,What other endocrine disorder(s)?,,,,,,,[endo_disorder_which(5)]='1',y,,,,,
met_genetic_disorder,clinical_data_abstraction,"Metabolic or genetic disorders include:
- Morbid obesity
- Trisomy 21
- Mitochondrial disorder
- Fatty acid oxidation defect
- Other",yesno,Pre-existing metabolic or genetic disorder?,,,,,,,,y,,,,,
met_genetic_disorder_which,clinical_data_abstraction,,checkbox,Which metabolic or genetic disorder(s)?,"1, Morbid obesity | 2, Trisomy 21 | 3, Mitochondrial disorder | 4, Fatty acid oxidation defect | 5, Other underlying metabolic or genetic disorder (specify)",Check all that apply,,,,,[met_genetic_disorder]='1',y,,,,,
obesity,clinical_data_abstraction,,yesno,Morbid obesity,,,,,,,[met_genetic_disorder]='1',,,,,, @HIDDEN
trisomy_21,clinical_data_abstraction,,yesno,Trisomy 21,,,,,,,[met_genetic_disorder]='1',,,,,, @HIDDEN
mitochondrial_disorder,clinical_data_abstraction,,yesno,Mitochondrial disorder,,,,,,,[met_genetic_disorder]='1',,,,,, @HIDDEN
fatty_acid_defect,clinical_data_abstraction,,yesno,Fatty acid oxidation defect,,,,,,,[met_genetic_disorder]='1',,,,,, @HIDDEN
other_genetic_disorder,clinical_data_abstraction,,yesno,Other underlying metabolic or genetic disorder,,,,,,,[met_genetic_disorder]='1',,,,,, @HIDDEN
specific_genetic_disorder,clinical_data_abstraction,,text,What other metabolic or genetic disorder(s)?,,,,,,,[met_genetic_disorder_which(5)]='1',y,,,,,
rheum_disorder,clinical_data_abstraction,"Rheumatologic or autoimmune disorders include:
- Systemic lupus erythematosus
- Chronic arthritis (such as rheumatoid arthritis/juvenile idiopathic arthritis/psoriatic arthritis/spondyloarthritis)
- Psoriasis
- Scleroderma
- Vasculitis
- History of Kawasaki Disease (prior to this illness)
- Other
",yesno,Pre-existing rheumatologic or autoimmune disorder?,,,,,,,,y,,,,,
rheum_disorder_which,clinical_data_abstraction,,checkbox,Which rheumatologic or autoimmune disorder(s)?,"1, Systemic lupus erythematosus | 2, Chronic inflammatory arthritis (such as rheumatoid arthritis/juvenile idiopathic arthritis/psoriatic arthritis/spondyloarthritis) | 3, Psoriasis | 4, Scleroderma | 6, Prior Kawasaki Disease | 5, Other vasculitis (specify) | 7, Other underlying rheumatolog/autoimmune disorder (specify)",Check all that apply,,,,,[rheum_disorder]='1',y,,,,,
lupus,clinical_data_abstraction,,yesno,Systemic lupus erythematosus,,,,,,,[rheum_disorder]='1',,,,,, @HIDDEN
chronic_arthritis,clinical_data_abstraction,,yesno,Chronic arthritis,,,,,,,[rheum_disorder]='1',,,,,, @HIDDEN
psoriasis,clinical_data_abstraction,,yesno,Psoriasis ,,,,,,,[rheum_disorder]='1',,,,,, @HIDDEN
scleroderma,clinical_data_abstraction,,yesno,Scleroderma,,,,,,,[rheum_disorder]='1',,,,,, @HIDDEN
vasculitis,clinical_data_abstraction,,yesno,Vasculitis ,,,,,,,[rheum_disorder]='1',,,,,, @HIDDEN
kawasaki_dz,clinical_data_abstraction,,yesno,"History of Kawasaki Disease (prior to this illness)	",,,,,,,[rheum_disorder]='1',,,,,, @HIDDEN
other_rheum_disorder,clinical_data_abstraction,,yesno,Other underlying rheumatologic/autoimmune disorder?,,,,,,,[rheum_disorder]='1',,,,,, @HIDDEN
specific_rheum_disorder,clinical_data_abstraction,,text,What other rheumatologic or autoimmune disorder(s)?,,,,,,,[rheum_disorder_which(5)]='1' or [rheum_disorder_which(7)]='1',y,,,,,
hem_disorder,clinical_data_abstraction,"Hematologic disorders include:
- Congenital bleeding disorder (e.g. hemophilia, von Willebrand)
- Hemoglobinopathy (e.g. sickle cell anemia or thalassemia)
- Bone marrow failure (pre-transplant)
- Chronic thrombocytopenia
- History of deep venous thrombosis or thrombotic disorder
- Other",yesno,Pre-existing hematologic disorder?,,,,,,,,y,,,,,
hem_disorder_which,clinical_data_abstraction,,checkbox,Which hematologic disorder(s)?,"1, Congenital bleeding disorder (e.g., hemophilia, von Willebrand) (specify) | 2, Hemoglobinopathy (e.g., sickle cell anemia or thalassemia) (specify) | 3, Bone marrow failure (no prior transplant) | 4, Chronic thrombocytopenia | 5, Prior deep venous thrombosis or thrombotic disorder | 6, Other underlying hematologic disorder (specify)",Check all that apply,,,,,[hem_disorder]='1',y,,,,,
bleeding_disorder,clinical_data_abstraction,,yesno,"Congenital bleeding disorder (e.g. hemophilia, von Willebrand)",,,,,,,[hem_disorder]='1',y,,,,, @HIDDEN
hemoglobinopathy,clinical_data_abstraction,,yesno,Hemoglobinopathy (e.g. sickle cell anemia or thalassemia),,,,,,,[hem_disorder]='1',y,,,,, @HIDDEN
bone_marrow_failure,clinical_data_abstraction,,yesno,Bone marrow failure (pre-transplant),,,,,,,[hem_disorder]='1',y,,,,, @HIDDEN
chronic_thrombocytopenia,clinical_data_abstraction,,yesno,Chronic thrombocytopenia,,,,,,,[hem_disorder]='1',y,,,,, @HIDDEN
dvt_thrombotic_disorder,clinical_data_abstraction,,yesno,History of deep venous thrombosis or thrombotic disorder,,,,,,,[hem_disorder]='1',y,,,,, @HIDDEN
other_hem_disorder,clinical_data_abstraction,,yesno,Other underlying hematologic disorder?,,,,,,,[hem_disorder]='1',y,,,,, @HIDDEN
specific_hem_disorder,clinical_data_abstraction,,text,What other hematologic disorder?,,,,,,,[hem_disorder_which(1)]='1' or [hem_disorder_which(2)]='1' or [hem_disorder_which(6)]='1',y,,,,,
non_onco_immunosup_disorder,clinical_data_abstraction,"Non-oncologic immunosuppression disorders include:
- Solid organ transplant
- HIV or AIDS
- Primary immunodeficiency
- Bone marrow transplant for non-oncologic disease
- Other disorder requiring treatment that suppresses immune system",yesno,Pre-existing non-oncologic immunosuppressive disorder?,,,,,,,,y,,,,,
non_onco_immsup_dis_which,clinical_data_abstraction,,checkbox,Which non-oncologic immunosuppressive disorder(s)?,"1, Solid organ transplant | 2, HIV positive | 3, AIDS | 4, Primary immunodeficiency | 5, Bone marrow transplant for non-oncologic disease | 6, Other disorder (not previously mentioned) requiring treatment that suppresses the immune system?",Check all that apply,,,,,[non_onco_immunosup_disorder]='1',y,,,,,
organ_transplant,clinical_data_abstraction,,yesno,Solid organ transplant,,,,,,,[non_onco_immunosup_disorder]='1',y,,,,, @HIDDEN
transplant_type1,clinical_data_abstraction,,text,What type of solid organ transplant?,,,,,,,[non_onco_immsup_dis_which(1)]='1',y,,,,,
time_since_transplant,clinical_data_abstraction,,radio,Time since transplant,"1, < 6 months | 2, >= 6 months",,,,,,[organ_transplant]='1',y,,,,,
rejection_past_month,clinical_data_abstraction,,yesno,Was the participant treated for rejection in the last month?,,,,,,,[organ_transplant]='1',y,,,,, @HIDDEN
rejection_meds,clinical_data_abstraction,,checkbox,"If yes, what medications were used for treatment of rejection?","1, Glucocorticoids | 2, Rituximab | 3, Other",,,,,,[rejection_past_month]='1',y,,,,, @HIDDEN
specific_rej_drug,clinical_data_abstraction,,text,Please specify.,,,,,,,[rejection_meds(3)]='1',y,,,,, @HIDDEN
hiv_positive,clinical_data_abstraction,,yesno,HIV positive,,,,,,,[non_onco_immunosup_disorder]='1',y,,,,, @HIDDEN
aids,clinical_data_abstraction,,yesno,AIDS,,,,,,,[non_onco_immunosup_disorder]='1',y,,,,, @HIDDEN
primary_immunodef,clinical_data_abstraction,,yesno,Primary immunodeficiency,,,,,,,[non_onco_immunosup_disorder]='1',y,,,,, @HIDDEN
primary_immunodeficiencies,clinical_data_abstraction,,checkbox,"Primary immunodeficiencies, check all that apply","1, Phagocyte disorder (e.g., chronic granulomatous disease, leukocyte adhesion disorder) | 2, Immunoglobulin disorder (e.g. CVID, X-linked agammaglobulinemia, IgA deficiency) | 3, Severe combined immunodeficiency disorder |4, Other immune disorder",,,,,,[non_onco_immsup_dis_which(4)]='1',y,,,,,
specific_immunodeficiency,clinical_data_abstraction,,text,Please specify which immunodeficiency/ies.,,,,,,,[non_onco_immsup_dis_which(4)]='1',y,,,,,
bm_transplant_non_onco,clinical_data_abstraction,,yesno,Bone marrow transplant for non-oncologic disease,,,,,,,[non_onco_immunosup_disorder]='1',y,,,,, @HIDDEN
duration_since_transplant,clinical_data_abstraction,,radio,Duration since transplant,"1, <100 days | 2, >=100 days",,,,,,[non_onco_immsup_dis_which(5)]='1',y,,,,,
gvhd,clinical_data_abstraction,,radio,Current diagnosis of acute or chronic GVHD?,"1, Yes, acute | 2, Yes, chronic | 3, No",,,,,,[bm_transplant_non_onco]='1',y,,,,, @HIDDEN
gvhd_treatment1,clinical_data_abstraction,,yesno,Is the participant receiving drugs for treatment/prophylaxis of GVHD?,,,,,,,[bm_transplant_non_onco]='1',y,,,,, @HIDDEN
gvhd_drugs,clinical_data_abstraction,,checkbox,Check all drugs participant is receiving for treatment/prophylaxis of GVHD,"1, Tacrolimus | 2, Cyclosporine | 3, Glucocorticoids | 4, Other",,,,,,[gvhd_treatment1]='1',y,,,,, @HIDDEN
gvhd_other_drugs,clinical_data_abstraction,,text,Please list other drug(s) for treatment/prophylaxis of GVHD.,,,,,,,[gvhd_drugs(4)] = '1',y,,,,, @HIDDEN
chronic_cmv,clinical_data_abstraction,,yesno,"Chronic CMV infection	",,,,,,,[bm_transplant_non_onco]='1',y,,,,, @HIDDEN
other_non_onco_disorder,clinical_data_abstraction,,yesno,Other disorder requiring treatment that suppresses the immune system?,,,,,,,[non_onco_immunosup_disorder]='1',y,,,,, @HIDDEN
specific_non_onco_disorder,clinical_data_abstraction,,text,What other non-oncologic immunosuppressive disorder(s)?,,,,,,,[non_onco_immsup_dis_which(6)]='1',y,,,,,
resolved_onco_disorder,clinical_data_abstraction,"Resolved oncologic disorders include:
- Leukemia, lymphoma, or unspecified cancer of bloodstream
- Solid non-CNS tumor of organ (e.g. renal, heart, liver, lung)
- Central nervous system tumor
- Neuroblastoma
- Soft tissue neoplasm (e.g. rhabdomyosarcoma)
- Any tumor of the lung including metastatic disease
",yesno,Pre-existing resolved oncologic disorder?,,,,,,,,y,,,,,
resolved_onco_disorder_which,clinical_data_abstraction,,checkbox,Which resolved oncologic disorder(s)?,"1, Leukemia, Lymphoma, or unspecified bloodstream cancer (resolved) | 2, Solid non-CNS tumor of organ (e.g. renal, heart, liver, lung) (resolved) | 3, Central nervous system tumor (resolved) | 4, Neuroblastoma (resolved) | 5, Soft tissue neoplasm (e.g. rhabdomyosarcoma) (resolved) | 6, Any lung tumor including metastatic disease (resolved)",Check all that apply,,,,,[resolved_onco_disorder]='1',y,,,,,
leukemia_lymphoma,clinical_data_abstraction,,yesno,"Leukemia, Lymphoma, or unspecified cancer of bloodstream (resolved)",,,,,,,[resolved_onco_disorder]='1',y,,,,, @HIDDEN
non_cns_tumor,clinical_data_abstraction,,yesno,"Solid non-CNS tumor of organ (e.g. renal, heart, liver, lung) (resolved)",,,,,,,[resolved_onco_disorder]='1',y,,,,, @HIDDEN
cns_tumor,clinical_data_abstraction,,yesno,Central nervous system tumor (resolved),,,,,,,[resolved_onco_disorder]='1',y,,,,, @HIDDEN
neuroblastoma,clinical_data_abstraction,,yesno,Neuroblastoma (resolved),,,,,,,[resolved_onco_disorder]='1',y,,,,, @HIDDEN
soft_tissue_neoplasm,clinical_data_abstraction,,yesno,Soft tissue neoplasm (e.g. rhabdomyosarcoma) (resolved),,,,,,,[resolved_onco_disorder]='1',y,,,,, @HIDDEN
any_lung_tumor,clinical_data_abstraction,,yesno,Any tumor in the lung including metastatic disease (resolved),,,,,,,[resolved_onco_disorder]='1',y,,,,, @HIDDEN
active_oncologic_dis,clinical_data_abstraction,"Active oncologic disorders include:
- Leukemia, Lymphoma, or unspecified cancer of bloodstream
- Solid non-CNS tumor of organ (e.g. renal, heart, liver, lung)
- Central nervous system tumor
- Neuroblastoma
- Soft tissue neoplasm (e.g. rhabdomyosarcoma)
- Any tumor of the lung including metastatic disease
",yesno,Pre-existing active oncologic disorder?,,,,,,,,y,,,,,
active_oncologic_dis_which,clinical_data_abstraction,,checkbox,Which active oncologic disorder(s)?,"1, Leukemia, Lymphoma, or unspecified bloodstream cancer (active) | 2, Solid non-CNS tumor of organ (e.g. renal, heart, liver, lung) (active) | 3, Central nervous system tumor (active) | 4, Neuroblastoma (active) | 5, Soft tissue neoplasm (e.g. rhabdomyosarcoma) (active) | 6, Any lung tumor including metastatic disease (active)",Check all that apply,,,,,[active_oncologic_dis]='1',y,,,,,
leukemia_lymphoma2,clinical_data_abstraction,,yesno,"Leukemia, Lymphoma, or unspecified cancer of bloodstream (active)",,,,,,,[active_oncologic_dis]='1',y,,,,, @HIDDEN
non_cns_tumor2,clinical_data_abstraction,,yesno,"Solid non-CNS tumor of organ (e.g. renal, heart, liver, lung) (active)",,,,,,,[active_oncologic_dis]='1',y,,,,, @HIDDEN
cns_tumor2,clinical_data_abstraction,,yesno,Central nervous system tumor (active),,,,,,,[active_oncologic_dis]='1',y,,,,, @HIDDEN
neuroblastoma2,clinical_data_abstraction,,yesno,Neuroblastoma (active),,,,,,,[active_oncologic_dis]='1',y,,,,, @HIDDEN
soft_tissue_neoplasm2,clinical_data_abstraction,,yesno,Soft tissue neoplasm (e.g. rhabdomyosarcoma) (active),,,,,,,[active_oncologic_dis]='1',y,,,,, @HIDDEN
any_lung_tumor2,clinical_data_abstraction,,yesno,Any tumor in the lung including metastatic disease (active),,,,,,,[active_oncologic_dis]='1',y,,,,, @HIDDEN
stem_cell_transplant,clinical_data_abstraction,,yesno,Bone marrow or stem cell transplant for oncologic disease?,,,,,,,[active_oncologic_dis]='1',y,,,,,
transplant_type,clinical_data_abstraction,,radio,Type of transplant:,"1, Autologous | 2, Allogeneic",,,,,,[stem_cell_transplant] = '1',y,,,,,
transplant_duration,clinical_data_abstraction,,radio,Duration since transplant:,"1, < 100 days | 2, >= 100 days",,,,,,[stem_cell_transplant] = '1',y,,,,,
acute_chronic_gvhd,clinical_data_abstraction,,radio,Current diagnosis of acute or chronic GVHD?,"1, Yes acute | 2, Yes chronic | 3, No",,,,,,[stem_cell_transplant] = '1',y,,,,,
gvhd_prophylaxis,clinical_data_abstraction,,yesno,Is the participant receiving drugs for treatment/prophylaxis of GVHD?,,,,,,,[stem_cell_transplant] = '1',y,,,,, @HIDDEN
gvhd_treatment,clinical_data_abstraction,,checkbox,"Check all drugs participant is receiving for treatment/prophylaxis of GVHD	","1, Tacrolimus | 2, Cyclosporine | 3, Glucocorticoids | 4, Other",,,,,,[gvhd_prophylaxis]='1',y,,,,, @HIDDEN
other_gvhd_tx,clinical_data_abstraction,,text,"What other drug(s) participant is receiving for treatment/prophylaxis of GVHD	",,,,,,,[gvhd_treatment(4)] = '1',y,,,,, @HIDDEN
chronic_cmv_inf,clinical_data_abstraction,,yesno,Chronic CMV infection?,,,,,,,[stem_cell_transplant] = '1',y,,,,, @HIDDEN
cart_therapy,clinical_data_abstraction,,yesno,Has the participant received CAR-T therapy?,,,,,,,[active_oncologic_dis]='1',y,,,,, @HIDDEN
cytokine_release_syndrome,clinical_data_abstraction,,checkbox,Has the participant received any of the therapies below for cytokine release syndrome within the last month? Check all that apply.,"1, Tocilizumab | 2, Glucocorticoids | 3, Other",,,,,,[cart_therapy] = '1',y,,,,, @HIDDEN
cytokine_release_drug,clinical_data_abstraction,,text,What other drugs has the participant received any of the therapies below for cytokine release syndrome ,,,,,,,[cytokine_release_syndrome(3)] = '1',y,,,,, @HIDDEN
mental_illness,clinical_data_abstraction,"Mental health conditions include:
   -ADHD
   -Anxiety
   -Depression
-Bipolar disorder   
-Behavioral disorder
-Psychotic disorder
-Substance use disorder ",yesno,Pre-existing mental health condition(s),,,,,,,,y,,,,,
mental_illness_which,clinical_data_abstraction,,checkbox,Which mental health condition(s)?,"1, ADHD | 2, Anxiety | 3, Depression | 4, Bipolar disorder | 5, Behavioral disorder (e.g., oppositional defiant disorder) | 6, Psychotic disorder | 7, Substance use disorder | 8, Other disorder",,,,,,[mental_illness] = '1',y,,,,,
mental_illness_oth,clinical_data_abstraction,,text,Which other mental health condition(s)?,,,,,,,[mental_illness_which(8)] = '1',y,,,,,
mental_illness_tx,clinical_data_abstraction,,checkbox,Has the subject needed/received the following?,"1, Medication for the mental health condition(s) | 2, Hospitalization for the mental health condition(s)",,,,,,[mental_illness] = '1',,,,,,
serious_mental_illness,clinical_data_abstraction,,notes,Please specify what serious mental illness(es),,,,,,,[mental_illness] = '1',y,,,,, @HIDDEN
pregnancy_status,clinical_data_abstraction,Pregnancy status,radio,Pregnancy status at time of illness,"1, Pregnant | 2, Not pregnant | 3, Not appicable",,,,,,[sex_at_birth] <> '1',y,,,,,
onset_date,clinical_data_abstraction,Clinical presentation at diagnosis,yesno,Is date of symptom onset known? ,,,,,,,,y,,,,,
symptom_onset_date,clinical_data_abstraction,,text,Date of symptom onset: ,,,date_mdy,,,y,[onset_date] = '1',y,,,,,
contact_w_covid,clinical_data_abstraction,,radio,Did the patient have contact with a person with suspected or confirmed COVID-19?,"1, Yes | 2, No | 3, Unknown",,,,,,,y,,,,,
height,clinical_data_abstraction,,text,Earliest height at time of diagnosis: ,,"If height not available, may enter most recent known height prior to diagnosis (preferably within prior 6 months)",number,,,,,y,,,,,
height_units,clinical_data_abstraction,,radio,Units of height:,"1, cm | 2, in | 3, Not done",,,,,,,y,,,,,
weight,clinical_data_abstraction,,text,Earliest weight at time of diagnosis:,,"If weight not available, may enter most recent known weight prior to diagnosis (preferably within prior 6 months)",number,,,,,y,,,,,
weight_units,clinical_data_abstraction,,radio,Units of weight:,"1, kgs | 2, lbs",,,,,,,y,,,,,
bmi_perc,clinical_data_abstraction,,text,BMI percentile (if available),,,number,1,99.99,,,,,,,,
clin_pres_hosp,clinical_data_abstraction,Clinical Presentation,checkbox,Clinical presentation to ED or within 4 hours of hospital admission,"1, Lower respiratory infection | 2, Suspected central nervous system infection | 3, Shock requiring vasopressors | 4, Respiratory failure requiring support | 5, Cardiac arrest with CPR | 6, Stroke or acute intracranial hemorrhage | 7, Other",Check all that apply,,,,,[cohort_type] = '9' or [cohort_type] = '10' ,y,,,,,
clin_pres_hosp_oth,clinical_data_abstraction,,text,Which other clinical presentation(s)?,,May keep description general; separate symptom questions below,,,,,[clin_pres_hosp(7)] = '1',y,,,,,
clin_pres_op,clinical_data_abstraction,,checkbox,Clinical presentation in control subject,"0, No symptoms | 1, Febrile illness | 2, Respiratory illness | 3, GI illness | 4, Other illness",Check all that apply,,,,,[cohort_type] = '8',y,,,,, @HIDDEN
clin_pres_op1,clinical_data_abstraction,,yesno,Clinical presentation: Did the subject have symptoms with SARS-CoV-2 infection / COVID-19?,,,,,,,[cohort_type] = '8',y,,,,,
clin_pres_op_oth,clinical_data_abstraction,,text,Which other clinical presentation(s)?,,May keep description general; separate symptom questions below,,,,,[clin_pres_op(4)] = '1',y,,,,, @HIDDEN
clin_pres_op_set,clinical_data_abstraction,,radio,Setting of care at time of diagnosis in control subject,"1, Telemedicine | 2, Clinic visit | 3, Urgent care | 4, Emergency room | 5, Other",,,,,,[cohort_type] = '8',y,,,,,
clin_pres_op_set_oth,clinical_data_abstraction,,text,What other setting of care?,,,,,,,[clin_pres_op_set] = '5',,,,,,
resp_infection,clinical_data_abstraction,,yesno,Lower respiratory infection,,,,,,,,y,,,,, @HIDDEN
cns_infection,clinical_data_abstraction,,yesno,Suspected central nervous system infection,,,,,,,,y,,,,, @HIDDEN
shock_w_vasopressors,clinical_data_abstraction,,yesno,Shock requiring vasopressors   ,,,,,,,,y,,,,, @HIDDEN
resp_failure_support,clinical_data_abstraction,,yesno,Respiratory failure requiring support  ,,,,,,,,y,,,,, @HIDDEN
cardiac_arrest_cpr,clinical_data_abstraction,,yesno,Cardiac arrest with CPR ,,,,,,,,y,,,,, @HIDDEN
hemorrhage,clinical_data_abstraction,,yesno,Stroke or acute intracranial hemorrhage ,,,,,,,,y,,,,, @HIDDEN
symptoms,clinical_data_abstraction,Symptoms,checkbox,Symptoms prior to clinical presentation,"1, Fever ? 38蚓 (100.4蚌)| 2, Cough | 3, Hemoptysis | 4, Shortness of breath | 5, Chills/Rigors | 6, Wheezing | 7, Sore throat | 8, Rhinorrhea/Congestion | 9, Chest pain/chest burning/chest tightness | 10, Lower chest wall indrawing/retractions | 11, New difficulty walking or crawling | 12, Abdominal pain | 13, Nausea/loss of appetite | 14, Vomiting | 15, Diarrhea | 16, Headache | 17, Dizziness | 18, Syncope (fainting) | 19, Muscle aches (myalgias) | 20, Joint pain (arthalgia) | 21, Fatigue/weakness | 22, Altered awareness/confusion | 23, Seizure | 24, Eye pain | 25, Conjunctivitis | 26, Skin rash/Skin ulcers | 27, Swollen lymph nodes | 28, Loss of sense of smell | 29, Loss of sense of taste | 30, ""COVID toes"" (changes or purple spots on toes) | 31, Erythema of palms or soles | 32, Edema of hands or feet | 33, Periungual (nails) desquamation | 34, Peripheral gangrene | 35, Other",Check all that apply,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([cohort_type] = '8' and [clin_pres_op1] = '1'),y,,,,,
symptoms_oth,clinical_data_abstraction,,text,What other symptom(s) prior to clinical presentation?,,,,,,,[symptoms(35)] = '1',y,,,,,
fever_before_admiss,clinical_data_abstraction,Symptoms prior to clinical presentation (mark all that apply):,radio,Fever ? 38蚓  ,"1, Yes | 2, No | 3, Unknown",,,,,,,y,,,,, @HIDDEN
cough_before_admiss,clinical_data_abstraction,,radio,Cough  ,"1, Yes | 2, No | 3, Unknown",,,,,,,y,,,,, @HIDDEN
hemoptysis,clinical_data_abstraction,,radio,Hemoptysis,"1, Yes | 2, No | 3, Unknown",,,,,,,y,,,,, @HIDDEN
sob_before_admiss,clinical_data_abstraction,,radio,Shortness of breath,"1, Yes | 2, No | 3, Unknown",,,,,,,y,,,,, @HIDDEN
chills_rigors_before_admiss,clinical_data_abstraction,,radio,Chills/Rigors,"1, Yes | 2, No | 3, Unknown",,,,,,,y,,,,, @HIDDEN
wheezing_before_admiss,clinical_data_abstraction,,radio,Wheezing,"1, Yes | 2, No | 3, Unknown",,,,,,,y,,,,, @HIDDEN
sore_throat_before_admiss,clinical_data_abstraction,,radio,Sore throat,"1, Yes | 2, No | 3, Unknown",,,,,,,y,,,,, @HIDDEN
rhinorrhea_before_admiss,clinical_data_abstraction,,radio,Rhinorrhea/Congestion,"1, Yes | 2, No | 3, Unknown",,,,,,,y,,,,, @HIDDEN
cp_before_admiss,clinical_data_abstraction,,radio,Chest pain/chest burning/chest tightness,"1, Yes | 2, No | 3, Unknown",,,,,,,y,,,,, @HIDDEN
lower_chest_wall_indrawing_before_admiss,clinical_data_abstraction,,radio,"Lower chest wall indrawing/retractions	","1, Yes | 2, No | 3, Unknown",,,,,,,y,,,,, @HIDDEN
diff_walking_before_admiss,clinical_data_abstraction,,radio,New difficulty walking or crawling,"1, Yes | 2, No | 3, Unknown",,,,,,,y,,,,, @HIDDEN
diff_walking,clinical_data_abstraction,,notes,Specify.,,,,,,,[diff_walking_before_admiss] = '1',y,,,,, @HIDDEN
abd_pain_before_admiss,clinical_data_abstraction,,radio,Abdominal pain,"1, Yes | 2, No | 3, Unknown",,,,,,,y,,,,, @HIDDEN
nausea_before_admiss,clinical_data_abstraction,,radio,Nausea/loss of appetite,"1, Yes | 2, No | 3, Unknown",,,,,,,y,,,,, @HIDDEN
vomiting_before_admiss,clinical_data_abstraction,,radio,Vomiting,"1, Yes | 2, No | 3, Unknown",,,,,,,y,,,,, @HIDDEN
diarrhea_before_admiss,clinical_data_abstraction,,radio,Diarrhea,"1, Yes | 2, No | 3, Unknown",,,,,,,y,,,,, @HIDDEN
headache_before_admiss,clinical_data_abstraction,,radio,Headache,"1, Yes | 2, No | 3, Unknown",,,,,,,y,,,,, @HIDDEN
