Id,form_name,Section,ui,Label,Enumeration,Notes,pattern,min,max,branching_logic,required
dexamethasone end date,,Health Status,date,,,,,,,,
dexamethasone peak dose,,Health Status,text,,,,,,,,
number of days,,Health Status,text,,,,,,,,
notes,,Health Status,notes,,,,,,,,
infliximab,,Health Status,radio,,,,,,,,
infliximab dose,,Health Status,radio,,,,,,,,
other dose,,Health Status,text,,,,,,,,
notes,,Health Status,notes,,,,,,,,
remdesivir,,Health Status,radio,,,,,,,,
remdesivir start date,,Health Status,date,,,,,,,,
remdesivir end date,,Health Status,date,,,,,,,,
remdesivir dose,,Health Status,text,,,,,,,,
units,,Health Status,dropdown,,,,,,,,
frequency,,Health Status,dropdown,,,,,,,,
other frequency,,Health Status,text,,,,,,,,
notes,,Health Status,notes,,,,,,,,
tocilizumab,,Health Status,radio,,,,,,,,
tocilizumab start date,,Health Status,date,,,,,,,,
tocilizumab end date,,Health Status,date,,,,,,,,
tocilizumab dose,,Health Status,text,,,,,,,,
units4,,Health Status,dropdown,,,,,,,,
frequency,,Health Status,dropdown,,,,,,,,
other frequency,,Health Status,text,,,,,,,,
notes,,Health Status,notes,,,,,,,,
baricitinib,,Health Status,radio,,,,,,,,
start date,,Health Status,date,,,,,,,,
end date,,Health Status,date,,,,,,,,
baricitinib dose,,Health Status,text,,,,,,,,
units6,,Health Status,dropdown,,,,,,,,
frequency,,Health Status,dropdown,,,,,,,,
notes,,Health Status,notes,,,,,,,,
other frequency,,Health Status,text,,,,,,,,
aspirin,,Health Status,radio,,,,,,,,
aspirin start date,,Health Status,date,,,,,,,,
aspirin end date,,Health Status,date,,,,,,,,
aspirin dose,,Health Status,text,,,,,,,,
units7,,Health Status,dropdown,,,,,,,,
frequency,,Health Status,dropdown,,,,,,,,
other frequency,,Health Status,text,,,,,,,,
notes,,Health Status,notes,,,,,,,,
anakinra,,Health Status,radio,,,,,,,,
anakinra start date,,Health Status,date,,,,,,,,
anakinra end date,,Health Status,date,,,,,,,,
anakinra dose,,Health Status,radio,,,,,,,,
other dose,,Health Status,text,,,,,,,,
notes,,Health Status,notes,,,,,,,,
hydroxychloroquine,,Health Status,radio,,,,,,,,
hydroxychloroquine start date,,Health Status,date,,,,,,,,
hydroxychloroquine end date,,Health Status,date,,,,,,,,
hydroxychloroquine dose,,Health Status,text,,,,,,,,
units9,,Health Status,dropdown,,,,,,,,
frequency,,Health Status,dropdown,,,,,,,,
other frequency,,Health Status,text,,,,,,,,
notes,,Health Status,notes,,,,,,,,
monoclonal antibodies,,Health Status,radio,,,,,,,,
monoclonal antibodies type,,Health Status,dropdown,,,,,,,,
name of other monoclonal antibodies,,Health Status,text,,,,,,,,
start date,,Health Status,date,,,,,,,,
end date,,Health Status,date,,,,,,,,
notes,,Health Status,notes,,,,,,,,
ivig (intravenous immune globulin),,Health Status,radio,,,,,,,,
how many doses of ivig were administered?,,Health Status,radio,,,,,,,,
notes,,Health Status,notes,,,,,,,,
convalescent plasma,,Health Status,radio,,,,,,,,
how many doses of convalescent plasma were administered?,,Health Status,dropdown,,,,,,,,
convalescent plasma dose #1 date,,Health Status,date,,,,,,,,
convalescent plasma dose #2 date,,Health Status,date,,,,,,,,
convalescent plasma dose #3 date,,Health Status,date,,,,,,,,
convalescent plasma dose #4 date,,Health Status,date,,,,,,,,
convalescent plasma dose #5 date,,Health Status,date,,,,,,,,
convalescent plasma dose #6 date,,Health Status,date,,,,,,,,
notes,,Health Status,notes,,,,,,,,
anticoagulation,,Health Status,radio,,,,,,,,
anticoagulation type,,Health Status,dropdown,,,,,,,,
name of other anticoagulation,,Health Status,text,,,,,,,,
other anticoagulation start date,,Health Status,date,,,,,,,,
other anticoagulation end date,,Health Status,date,,,,,,,,
anticoagulation dose,,Health Status,text,,,,,,,,
units10,,Health Status,dropdown,,,,,,,,
frequency,,Health Status,dropdown,,,,,,,,
other frequency,,Health Status,text,,,,,,,,
notes,,Health Status,notes,,,,,,,,
other,,Health Status,radio,,,,,,,,
how many other treatments?,,Health Status,dropdown,,,,,,,,
other treatment #1,,Health Status,text,,,,,,,,
notes,,Health Status,notes,,,,,,,,
other treatment #2,,Health Status,text,,,,,,,,
notes,,Health Status,notes,,,,,,,,
other treatment #3,,Health Status,text,,,,,,,,
notes,,Health Status,notes,,,,,,,,
other treatment #4,,Health Status,text,,,,,,,,
notes,,Health Status,notes,,,,,,,,
other treatment #5,,Health Status,text,,,,,,,,
notes,,Health Status,notes,,,,,,,,
other treatment #6,,Health Status,text,,,,,,,,
notes,,Health Status,notes,,,,,,,,
other treatment #7,,Health Status,text,,,,,,,,
notes,,Health Status,notes,,,,,,,,
other treatment #8,,Health Status,text,,,,,,,,
notes,,Health Status,notes,,,,,,,,
other treatment #9,,Health Status,text,,,,,,,,
notes,,Health Status,notes,,,,,,,,
other treatment #10,,Health Status,text,,,,,,,,
notes,,Health Status,notes,,,,,,,,
vasopressor use,,Health Status,radio,,,,,,,,
pressors (duration and type),,Health Status,notes,,,,,,,,
respiratory support,,Health Status,radio,,,,,,,,
overall duration of oxygen support (days),,Health Status,text,,,,,,,,
type of oxygen support (choice=nasal cannula),,Health Status,checkbox,,,,,,,,
type of oxygen support (choice=face mask),,Health Status,checkbox,,,,,,,,
type of oxygen support (choice=high-flow nasal cannula),,Health Status,checkbox,,,,,,,,
type of oxygen support (choice=bipap),,Health Status,checkbox,,,,,,,,
type of oxygen support (choice=mechanical ventilation),,Health Status,checkbox,,,,,,,,
type of oxygen support (choice=ecmo),,Health Status,checkbox,,,,,,,,
type of oxygen support (choice=cpap),,Health Status,checkbox,,,,,,,,
duration of mechanical oxygen support (days),,Health Status,text,,,,,,,,
peak fi02,,Health Status,text,,,,,,,,
peak peep,,Health Status,text,,,,,,,,
low-flow o2,,Health Status,radio,,,,,,,,
high-flow o2,,Health Status,radio,,,,,,,,
non-invasive ventilation,,Health Status,radio,,,,,,,,
mechanical ventilation,,Health Status,radio,,,,,,,,
ecmo,,Health Status,radio,,,,,,,,
ecmo start date,,Health Status,date,,,,,,,,
ecmo end date,,Health Status,date,,,,,,,,
dialysis,,Health Status,radio,,,,,,,,
dialysis start date,,Health Status,date,,,,,,,,
dialysis end date,,Health Status,date,,,,,,,,
antiplatelet,,Health Status,radio,,,,,,,,
antiplatelet start date,,Health Status,date,,,,,,,,
antiplatelet end date,,Health Status,date,,,,,,,,
antiplatelet dose,,Health Status,text,,,,,,,,
units11,,Health Status,dropdown,,,,,,,,
frequency,,Health Status,dropdown,,,,,,,,
other frequency,,Health Status,text,,,,,,,,
notes,,Health Status,notes,,,,,,,,
hospitalization,,Health Status,radio,,,,,,,,
"reason for hospitalization? (if patient had covid-19, but it was found incidentally after they were hospitalized for a car accident, the answer here would be other) (choice=covid-19)",,Health Status,checkbox,,,,,,,,
"reason for hospitalization? (if patient had covid-19, but it was found incidentally after they were hospitalized for a car accident, the answer here would be other) (choice=misc)",,Health Status,checkbox,,,,,,,,
"reason for hospitalization? (if patient had covid-19, but it was found incidentally after they were hospitalized for a car accident, the answer here would be other) (choice=other)",,Health Status,checkbox,,,,,,,,
"reason for hospitalization? (if patient had covid-19, but it was found incidentally after they were hospitalized for a car accident, the answer here would be other) (choice=unknown)",,Health Status,checkbox,,,,,,,,
other reason for hospitalization,,Health Status,text,,,,,,,,
"hospitalization: date of onset (if a transfer, enter first date)",,Health Status,date,,,,,,,,
hospitalization: date resolved,,Health Status,date,,,,,,,,
icu stay,,Health Status,radio,,,,,,,,
"was the icu stay consistent (ex. in 1/1, out 1/10), or inconsistent (ex. in 1/1, out 1/2 but still hospitalized, in again 1/5, out again 1/10)?",,Health Status,radio,,,,,,,,
icu: date of onset,,Health Status,date,,,,,,,,
icu: date resolved,,Health Status,date,,,,,,,,
amount of total days spent in the icu?,,Health Status,text,,,,,,,,
"other complications (includes during hospitalization, up to 3 months post-discharge) (choice=myocarditis / cardiac dysfunction)",,Health Status,checkbox,,,,,,,,
"other complications (includes during hospitalization, up to 3 months post-discharge) (choice=pulmonary embolus)",,Health Status,checkbox,,,,,,,,
"other complications (includes during hospitalization, up to 3 months post-discharge) (choice=stroke)",,Health Status,checkbox,,,,,,,,
"other complications (includes during hospitalization, up to 3 months post-discharge) (choice=encephalitis)",,Health Status,checkbox,,,,,,,,
"other complications (includes during hospitalization, up to 3 months post-discharge) (choice=dialysis)",,Health Status,checkbox,,,,,,,,
"other complications (includes during hospitalization, up to 3 months post-discharge) (choice=other)",,Health Status,checkbox,,,,,,,,
"other complications (includes during hospitalization, up to 3 months post-discharge) (choice=none)",,Health Status,checkbox,,,,,,,,
complication(s) notes,,Health Status,notes,,,,,,,,
how many other complications?,,Health Status,dropdown,,,,,,,,
other complication #1,,Health Status,text,,,,,,,,
other complication #2,,Health Status,text,,,,,,,,
other complication #3,,Health Status,text,,,,,,,,
other complication #4,,Health Status,text,,,,,,,,
other complication #5,,Health Status,text,,,,,,,,
death,,Health Status,radio,,,,,,,,
date of death,,Health Status,date,,,,,,,,
was death due to covid?,,Health Status,radio,,,,,,,,
notes,,Health Status,notes,,,,,,,,
icu: date resolved,,Health Status,date,,,,,,,,
amount of total days spent in the icu?,,Health Status,text,,,,,,,,
"other complications (includes during hospitalization, up to 3 months post-discharge) (choice=myocarditis / cardiac dysfunction)",,Health Status,text,,,,,,,,
"other complications (includes during hospitalization, up to 3 months post-discharge) (choice=pulmonary embolus)",,Health Status,text,,,,,,,,
"other complications (includes during hospitalization, up to 3 months post-discharge) (choice=stroke)",,Health Status,text,,,,,,,,
"other complications (includes during hospitalization, up to 3 months post-discharge) (choice=encephalitis)",,Health Status,text,,,,,,,,
"other complications (includes during hospitalization, up to 3 months post-discharge) (choice=dialysis)",,Health Status,text,,,,,,,,
"other complications (includes during hospitalization, up to 3 months post-discharge) (choice=other)",,Health Status,text,,,,,,,,
"other complications (includes during hospitalization, up to 3 months post-discharge) (choice=none)",,Health Status,text,,,,,,,,
complication(s) notes,,Health Status,notes,,,,,,,,
how many other complications?,,Health Status,dropdown,,,,,,,,
other complication #1,,Health Status,text,,,,,,,,
other complication #2,,Health Status,text,,,,,,,,
other complication #3,,Health Status,text,,,,,,,,
other complication #4,,Health Status,text,,,,,,,,
other complication #5,,Health Status,text,,,,,,,,
death,,Health Status,radio,,,,,,,,
date of death,,Health Status,date,,,,,,,,
was death due to covid?,,Health Status,radio,,,,,,,,
notes,,Health Status,notes,,,,,,,,
sample_id,,Identity,text,Study ID and date of sampling,,,,,,,
chr,,Methylation_Reference,text,Chromosome,,,,,,,
start,,Methylation_Reference,text,Start of interval,,,,,,,
stop,,Methylation_Reference,text,Stop of interval,,,,,,,
reference,,Methylation_Reference,text,DOI Source of Interval - Background information,,,,,,,
genomic_loci,,Methylation_Reference,text,"Build from Chromosome_Start of interval_Stop of interval ",,,,,,,
cfdna_data,,Methylation_Data,Float,Refer to Methylation_Reference_File for variable definition,,,,,,,
gene_id,,Gene_count_reference,text,Ensembl gene id,,,,,,,
gene_name,,Gene_count_reference,text,hgnc gene symbol,,,,,,,
gene_type,,Gene_count_reference,text,Gene biotype,,,,,,,
genomic_reference,,Gene_count_reference,text,Source of gene information - Background information,,,,,,,
cfrna_data,,Gene_count_data,Float,Refer to Gene_Count_Reference_File for variable definition,,,,,,,
wbrna_data,,Gene_count_data,Float,Refer to Gene_Count_Reference_File for variable definition,,,,,,,
