variable_name,description,label,datatype,value_constraints,units,required,unique,CDE,form_name,source_file,source_directory,Digest (variable_name|source_file|source_directory)
32138-vaccine_factors-8,Factors that might make participant less likely to get the vaccine selected; It depends on the risk/adverse events,What factors might make you less likely to get the vaccine? It depends on the risk/adverse events,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,About You,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,a4259bf4194b677d433b5c040ec69f60663323ad000717a3a1d21126d7807b711dd55c041dc49af7173b08679ea0ea3a50e877e93e5ce5868d7743b9335623c7
32138-vaccine_factors-9,Factors that might make participant less likely to get the vaccine selected; I have not thought about it yet,What factors might make you less likely to get the vaccine? I have not thought about it yet,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,About You,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,88d21852eb972d70fca59b75294674ab8204becb0ee3547b0f2988235302d64b9980d0bd46c17159c0475397040061dd9f0612fe909e3b8bbab0ba7c98394518
32138-vaccine_factors-10,Factors that might make participant less likely to get the vaccine selected; I am not in the risk group with underlying conditions,What factors might make you less likely to get the vaccine? I am not in the risk group with underlying conditions,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,About You,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,e149dbf400fed04a136bc6488327500ae7c67c401941795d9a5b4c83825ab7ce2746a01ab1b2eab5b50b0e7e7ca2fdb9a9db6f5055d4813bf01f23f6702a44b4
32138-vaccine_factors-11,Factors that might make participant less likely to get the vaccine selected; I need more information first,What factors might make you less likely to get the vaccine? I need more information first,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,About You,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,967ec6267418657b4cbefb0a56bd53c8891d39d3eb4767596c61bc80951c07ca29ee2534d135f0af4501216fd943ea45c3ae83a4f7021ffda99192a836a3ed6d
32138-vaccine_factors-12,Factors that might make participant less likely to get the vaccine selected; I already had COVID-19,What factors might make you less likely to get the vaccine? I already had COVID-19,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,About You,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,dcf73204ba43f63f3cec5f7019ab9111199e8382daa2407042ab3a35b02f642fb0475b60b4acbc1b3f000bfbea82b562c871314d086a36ae492d771b71788ded
32138-vaccine_factors-13,Factors that might make participant less likely to get the vaccine selected; I am going to let others get it first (herd immunity),What factors might make you less likely to get the vaccine? I am going to let others get it first (herd immunity),categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,About You,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,5f663f1a61f080db58667b5a0d778e8a26531c188bf2ac040f70de850f87196405415df223a05b8ee4577363e06f84e2895ab7c93fe1042228a92f8f4db9ed72
32138-vaccine_factors-14,Factors that might make participant less likely to get the vaccine selected; I have had severe allergic reactions to vaccines in the past,What factors might make you less likely to get the vaccine? I have had severe allergic reactions to vaccines in the past,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,About You,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,e667ec7dd802ede02fdd263c5894a242d70c909f861d7279f6e7ec9a462c0d29f17d264796371cf2dd97ed10bc98172b0781fef48ceb39272eba012b648fee5e
32138-vaccine_factors-15,"Factors that might make participant less likely to get the vaccine selected; I am concerned that it will not interact with other medications/treatments that I am currently taking ","What factors might make you less likely to get the vaccine? I am concerned that it will not interact with other medications/treatments that I am currently taking ",categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,About You,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,772dfe487f92ea2e30e1d895ccfd575afb123a684ac537aee96410b6cb6e1d57568d6adc450bc997b7637edcfedf90810918cff7b0e0882fa3e42ae0532dcc54
32138-vaccine_factors-16,"Factors that might make participant less likely to get the vaccine selected; I am currently pregnant, planning a pregnancy, or breastfeeding","What factors might make you less likely to get the vaccine? I am currently pregnant, planning a pregnancy, or breastfeeding",categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,About You,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,d2c85cc387e75ff027c32bda01ffac660466868d3948602c28f3a5d696863168cb2677f726f2755cc445b3b3826d0d92445d138eba7215c183179d612d0c1c2f
32138-vaccine_factors-17,Factors that might make participant less likely to get the vaccine selected; Do not know yet,What factors might make you less likely to get the vaccine? Do not know yet,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,About You,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,b61705c52e408607459ea60b33829e317998c1d9831d7bc5eb0e0471783c4a90f2fb12653514c2aafe6cfbbd6cf66b39d674325846e3773539a8ae8b167ad59c
32138-vaccine_factors-18,Factors that might make participant less likely to get the vaccine selected; Other,What factors might make you less likely to get the vaccine? Other,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,About You,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,7abeba8a7ae5dd40521c7250f6a4840a8b4915bcc7f6e178fad288c61f3f15f08bdcaafa32f939ae3104d237fde2840e744c2c20532c1e651978d1c062ea242d
32138-vaccine_factors-999,Factors that might make participant less likely to get the vaccine selected; Prefer not to answer,What factors might make you less likely to get the vaccine? Prefer not to answer,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,About You,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,8bbee9fe93d8d7ab9d807d29d678444834ec817c35a6087b6832e53212fd60f9c6fcc5d041c8127976405f738ccc16cee852ed639bfb8b43b4936a815a7e323e
32139-vaccine_factorsother,Other factors that the participant indicates would make them less likely to receive the vaccine,"Other factors, please specify:",text,,,true,,,About You,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,bdfba2f601113cae517ab37b538d3f541ed62f1328e71488df2ba1d1d69ee6630c910a1ce29a75ea02bf8035d9414233ed17be5fc2278aa0a66d56bc824f50e9
30112-insurance,Insurance Status,Are you covered by health insurance or some other kind of health care plan?,categorical,"1, Yes; 2, I don't have health insurance (Self-Pay); 3, No; 5, I don't know; 999, Prefer not to answer",,true,,Insurance Status,About You,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,5719c4ccf1c9620399bf2bb3aaa23c1574e774868987a3c758548b210f6a79f8f38de07260fc01e0cf774f3de05152eed8c0eeb4f783839f1b2da447d99ffbad
30113-insurance_plan,Insurance Plan Type,What kind of plan are you covered by?,categorical,"1, Insurance purchased directly from an insurance company (by you or another family member); 2, Insurance through a current or former employer or union (by you or another family member); 3, Medicare, for people 65 and older or people with certain disabilities; 4, Medicaid, Medical Assistance, or any kind of government-assistance plan for those with low incomes or disability; 5, TRICARE or other military health care; 6, Veterans Affairs (VA) (including those who have ever used or enrolled for VA health care) ○ Indian Health Service; 7, Any other type of health insurance or health coverage plan; 999, Prefer not to answer",,true,,,About You,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,4fcb9f44a5a04109c3145e99f4af0e6b31cbc15179d5d25c4ecfaa52684087c540d97b845f8d68bd8688469a5adcec3a51e898722db3aaaf3b8eb4b813d85bf7
30962-insurance_specify,Other Insurance Type Details,"Other insurance type, please specify:",text,,,true,,,About You,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,801d94c86cf04adde7de93b82ff5631c7fd14e95bc970030a3dd51fe77b63158b5e2bf03c7aa4481de0d2e6ac549df43b40e1a656d5c6e1627b2be0d014f98bd
30117-deaf,Deaf Status,Are you deaf or do you have serious difficulty hearing?,categorical,"1, Yes; 2, No; 999, Prefer not to answer",,true,,Disability Status,About You,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,9b5db75eaa3bac6a973a3fb8469ea2331827a7fd76b28315ed79198280bdeadb469e306bac9e6b6e401986a244e472fcdf8dab30be7daedd4986c5cd526dae84
30118-blind,Blind Status,"Are you blind or do you have serious difficulty seeing, even when wearing glasses?",categorical,"1, Yes; 2, No; 999, Prefer not to answer",,true,,Disability Status,About You,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,216bee7559593476bd4457ce4abd942e080a99f330a1f82ed990957cb05ba3f0fae74a629b01914b7f13a8564e8698a8175e5fa15a45ab377db3b6b6782a6fec
30119-concentrating,Difficulty Concentrating,"Do you have serious difficulty concentrating, remembering, or making decisions (because of a physical, mental, or emotional condition)?",categorical,"1, Yes; 2, No; 999, Prefer not to answer",,true,,Disability Status,About You,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,0b257c6d2c01c60610f875006d69b741878b287fd01124e6a406fbc5298bfdf961b7d0e205df8a52a9a94321641209dae71c3699f9434ba0f648e401b1e7f25b
30120-walking,Difficulty Walking,Do you have serious difficulty walking or climbing stairs?,categorical,"1, Yes; 2, No; 999, Prefer not to answer",,true,,Disability Status,About You,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,2e74a1f5e7d89fff6abcd9d7354aa51804dc9202067bf4fc3ceba9e7bc61c5b28806d94e11ef332d1a60e48c8d9e99359a35cd1d2ebb4ea62c5281711d65b13f
30121-dressing,Difficulty Dressing,Do you have difficulty dressing or bathing?,categorical,"1, Yes; 2, No; 999, Prefer not to answer",,true,,Disability Status,About You,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,4560a3487a9520ad8870e060cd2d8362d59f3366080850af3e852dc5d42e7c1470e735e943123c93900379251d72ebcf8ee7b3165ea8b54af4dd01920a52ae98
30122-errands,Difficulty with Errands,"Do you have difficulty doing errands alone such as visiting a doctor's office or shopping (because of a physical, mental, oremotional condition)?",categorical,"1, Yes; 2, No; 999, Prefer not to answer",,true,,Disability Status,About You,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,0f95e8fe9e29aa927eaca11a08fea28417f9d78fa8fb6d4195f1235221656d09ba4de64c75d0c0a390de428744c8fad59cab2da4bf521ca11a2077c84bedba55
30123-colorblind,Color Blind Status,Have you ever been told that you have color-blindness?,categorical,"1, Yes; 2, No; 3, Not sure; 999, Prefer not to answer",,true,,,About You,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,d8ee1f6fe468082b95abe9da8448781362aa96787f81d716ed79b15e32d1ad318ab665db8386eba5f9a22d34d89a6e27fa5534230033736fbc33401916ea9c59
30124-colorblind_type,Color Blind Type,"If yes, what kind of color-blindness have you been told you have?",categorical,"1, Red-green color-blindness; 2, Blue-yellow color-blindness; 3, Complete color-blindness (monochromacy); 4, I'm not sure; 5, Prefer not answer",,true,,,About You,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,10dea07b1487c1365d7e6250a7d0bed993df27269e622f456d1132e39d149241e4f3443d24a79fb68134f8106816e396a51b5821a1076e5b6e8274ec7aa9978b
symptom screening confirmation submission date_deid,"Number of days from day of Consent when Participant completed survey forms ""Symptom Screening""",,integer,De-identified Value in Days,days,false,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,1536814f9ab64e1d9994ca315fd0f1e5794d58966d440ece52483845c37520cf852dfeb28c3a20bbfedb4a467ba3c9408d7ac762747d32cb7836282dd8900e2d
30132-covid_tested30,"Last 30 days, COVID Tested Status","In the past 30 days (outside of this research study) have you been tested for the coronavirus, and if so, what was the result of your most recent test?",categorical,"1, No, I have not been tested; 2, Yes, and I tested positive; 3, Yes, and I tested negative; 4, Yes, and my results were inconclusive; 5, Yes, and my results are still pending; 999, Prefer not to answer",,true,,,Symptom Screening,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,781adc5910d38ba1bba85736542767b08280b8f28807d39997b639c74748b7f8c84f1eb9504e9d06ec5f79ed21cd8a7971b7b96ede3e75902565605e50817feb
30717-covid_tst_date_deid,Number of days from day of Consent when Participant received a COVID test,What was the date of the coronavirus test that you received in the past 30 days (outside of this research study)?,integer,De-identified Value in Days,days,true,,,Symptom Screening,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,e02316e7e604a7c0e69218109a3b0b101120adc78b99951a3987273bc570f778c2f39444529ec6da9f683ad4e3813b3edd1f8c9f80ce69d1a63edd6a3dc8d0da
30135-covid_result,"Last 30 days, COVID Tested Results",What kind of COVID-19 test did you have?,categorical,"1, Home-based test (please provide name); 2, Lab-administered diagnostic PCR test; 3, Lab-administered diagnostic antigen test; 4, Lab-administered antibody test; 5, Lab-administered test, unsure of type; 999, Prefer not to answer",,true,,,Symptom Screening,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,b9768a7dfa13fc17310b01e14dddc606c7662f652c3cbbadb737ab0f4eee7acc8a91141b63b436a4fcf67ec15660f0c8fb98a8f53de682ebb237ef1167ce2f26
32005-test_specify,Name of home test from test in past 30 days related to COVID testing,Please provide the name of the home-based test:,text,,,true,,,Symptom Screening,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,ab7d63554ce325f7b483c0104e4dc13c0ef1c95f40656d69c7a0db812af3c5d735b311d4bfee1560bd54927e10686d58951da4501be3bbdcf839a5c5a5bf8f86
30138-covid_why-1,"The following best describes why the participant was tested for the Coronavirus, selected; I had coronavirus symptoms (fever, cough, chills, nausea, etc…)","Which of the following best describes why you were tested for the Coronavirus? I had coronavirus symptoms (fever, cough, chills, nausea, etc…)",categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,1d750ae91ea383bc316185d4fe2df0dc109d3e10d918a876ad7e5c8b7b984d6d79b63e485e2f9322225258adac2041016e767bf2d1f42db50e21094dcc0b7b1c
30138-covid_why-2,"The following best describes why the participant was tested for the Coronavirus, selected; I came into contact with someone who has the coronavirus",Which of the following best describes why you were tested for the Coronavirus? I came into contact with someone who has the coronavirus,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,037fbd670e1b88a074f8dc2794a8cca55131fbfcd8301553304d3a59010380ee864a89e2317fbdd1ef45b3e8a34c8dad9ef9b8f1ea8587615773259a05316ce5
30138-covid_why-3,"The following best describes why the participant was tested for the Coronavirus, selected; I want to make sure I don't spread the coronavirus to others",Which of the following best describes why you were tested for the Coronavirus? I want to make sure I don't spread the coronavirus to others,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,76aa2ae2ab1258502839a7e99b736c317d97fa7abc90d17185bcb84e2080377bafc3bba533709e2d70d0cc294ba40b99425de1fad28ba2ce58a4071d97d8049c
30138-covid_why-4,"The following best describes why the participant was tested for the Coronavirus, selected; I am required by my employer or school",Which of the following best describes why you were tested for the Coronavirus? I am required by my employer or school,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,f66787c4974b433737d490304d01be6060994572c8e33e52e3e84c532d7cb184085d207841adbd480391e7f9828b71629ff5827bac07089f2434e22225bc1275
30138-covid_why-5,"The following best describes why the participant was tested for the Coronavirus, selected; Other",Which of the following best describes why you were tested for the Coronavirus? Other,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,3f667eff2a796c1ecc593aea3dceeb581c2246d21241badde54be9cf1a3b93b4b37705817a6b11d270011935e84d844f8a1c4cb0302b41c1c78325f02af84c97
30138-covid_why-999,"The following best describes why the participant was tested for the Coronavirus, selected; Prefer not to answer",Which of the following best describes why you were tested for the Coronavirus? Prefer not to answer,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,0c5fe3596e16fbf16f40e895039f94120fa6c6537f3f3b54e34eb7931686e91b23852a2e3be3e968526dbf0bb011438b709593490053ed8d10a6ede2cd08c7ed
32006-whytested_specify,Other reasons tested for coronavirus,"Other reasons tested for coronavirus, please specify:",text,,,true,,,Symptom Screening,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,984711145a1e81ff09d72692a83eea04a94e7cb2cf713e0d26c8f074cf3df5c41670267413bf9c5d18f5a12a4342315915a081f91cea194eaaf55edaa86debd1
30141-covid_tst_symptoms-1,"Symptoms experienced prior to getting tested, selected; Any tingling/numbness/swelling in hands or feet",Which of the following symptoms did you experience prior to getting tested? Any tingling/numbness/swelling in hands or feet,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,dece9bf549ed94c10b31654349f4c9a48dd8e062272f94e711a35ef028ebbc61a9cef600c3f73301ecd753317445a0ac69030d4856264d7ad45f8bff61e51816
30141-covid_tst_symptoms-3,"Symptoms experienced prior to getting tested, selected; Change in or loss of appetite",Which of the following symptoms did you experience prior to getting tested? Change in or loss of appetite,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,6f2011b72ab5b8ce7d5cc6ec934de1addf47339b57645649b3039bd283c002fa55fc3ba8c4c7a5332efc32b47ec59d9e02a7b1a9b9e43933bc5bba4cdaec547c
30141-covid_tst_symptoms-4,"Symptoms experienced prior to getting tested, selected; Chest pain",Which of the following symptoms did you experience prior to getting tested? Chest pain,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,179cea6a9093917110d26c9d67c0fe2f4ce1eda8a3bdd032987dac8bf388d92ef1e481efc11d580dc518170323b18a726465f9a95b2482b974686aa26d8379b9
30141-covid_tst_symptoms-5,"Symptoms experienced prior to getting tested, selected; Chills",Which of the following symptoms did you experience prior to getting tested? Chills,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,0510ab3009262cdfd1777d98bd5aaa32a5c4877e9700b57ae657266d474ae7f0ad54a450f1ed4fded54169ebe92b298ac116bb0bbdb1d528b5eb34c5acd9379a
30141-covid_tst_symptoms-6,"Symptoms experienced prior to getting tested, selected; Cough",Which of the following symptoms did you experience prior to getting tested? Cough,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,04539c7f1ab63931b408d0f09310f368cd13c0f930c47d9370bdd1b1b528164602dee9ef8c393eaf68df4e42e846758cdff90f4efda0491512f3f0f9ebaccd64
30141-covid_tst_symptoms-7,"Symptoms experienced prior to getting tested, selected; Diarrhea",Which of the following symptoms did you experience prior to getting tested? Diarrhea,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,9b2fe6d59ac82b59eaae9ef2759ee72efeea34525713f72720216c3b06e7dd7376eb95fd737ed4c23682a7c3820f4f596d8ac7b1626842ee75f72398719a9b29
30141-covid_tst_symptoms-8,"Symptoms experienced prior to getting tested, selected; Difficulty breathing",Which of the following symptoms did you experience prior to getting tested? Difficulty breathing,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,2384b37db97571354e9f4c910c23411a7b06bac39652d032e3c5088dc49a0088118085374d0d0df65c5288e96a5d87761f50a85cd2a51d13876bdc84658910b8
30141-covid_tst_symptoms-9,"Symptoms experienced prior to getting tested, selected; Excessive sweating",Which of the following symptoms did you experience prior to getting tested? Excessive sweating,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,2dc0a6701c1f7eda9f4b051daefab52fdcf8f40ea7c170e286359768b5efd67ac0254a18e7181ab14468e4a55760014f8d6e6b767a7232d07e8f5258bd9fc46d
30141-covid_tst_symptoms-10,"Symptoms experienced prior to getting tested, selected; Fatigue (more than normal)",Which of the following symptoms did you experience prior to getting tested? Fatigue (more than normal),categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,aff05e6c2a78713ff83949ecadb1226120f515d27390dcf8dcebc2ccb91e5445a1c98ebb4e5681ccc6c2cfd2bbb2d94a0f5b0272c26d7415a80222479b61d1ce
30141-covid_tst_symptoms-11,"Symptoms experienced prior to getting tested, selected; Fever or feverish feeling",Which of the following symptoms did you experience prior to getting tested? Fever or feverish feeling,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,ad5878807b192eb24730e48e870f4d7608eb4b675ca018f20c9c46ffcf0a41a5f08f7beda862f737ef8ffba2770e6a59129be2c3a2bfb25762cd6ebbf8bc0e64
30141-covid_tst_symptoms-12,"Symptoms experienced prior to getting tested, selected; Headaches",Which of the following symptoms did you experience prior to getting tested? Headaches,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,59f63658462dacbba89e0542dfebb42e8ce1286d3a8bf9701e073785d1b3241da738d56ef6489d5d99dc2b4aa51a84e476622601bbce172244bb82767798f0bf
30141-covid_tst_symptoms-13,"Symptoms experienced prior to getting tested, selected; Joint or any other unexplained pain",Which of the following symptoms did you experience prior to getting tested? Joint or any other unexplained pain,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,8606460dab8d66dd51cfe4dcff128ebc341cf74e4765a36d47f8759f70e0b0a85f56aa2e196d71a2d7b5faa0cf96be374e5e9610f5a2aee71eb35c4074caf7d2
30141-covid_tst_symptoms-14,"Symptoms experienced prior to getting tested, selected; Loss of balance",Which of the following symptoms did you experience prior to getting tested? Loss of balance,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,eb9d5e2d34f4cd9e3ff8aba0f826cfdf73937c61b2ffc760b66e25a9096e5f668caecf7c1e10cb3cec550fe99b2a13dbf390becdca6ea88f648112328c391271
30141-covid_tst_symptoms-15,"Symptoms experienced prior to getting tested, selected; Loss of taste",Which of the following symptoms did you experience prior to getting tested? Loss of taste,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,b8857b8cf670b313c483a02ec7c0b6b3d2d2a0a53ab61cf0d43fc5aecd34b642b87f7db74daf53ec381aeb813e83d1104f65ac62229f61d01f7e4badd5545a2f
30141-covid_tst_symptoms-16,"Symptoms experienced prior to getting tested, selected; Loss of smell",Which of the following symptoms did you experience prior to getting tested? Loss of smell,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,3d2da971d52945d0dcf929f5296b4a171aff5dddb62ee4358dd84a142cf470f05af8735877ca8ebb376bad9b011d71a24b610a63282fce8413d65d4aecfaa512
30141-covid_tst_symptoms-17,"Symptoms experienced prior to getting tested, selected; Muscle aches (not due to exercise)",Which of the following symptoms did you experience prior to getting tested? Muscle aches (not due to exercise),categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,9506ae0865fb70c4cb0aecf8eb5e79915d665e00bf046de5f3b7d3920f6354a7ae3d84d6159300eed064d6657dfc3c2fdb6f41660f54f1eed1716168e69842f1
30141-covid_tst_symptoms-18,"Symptoms experienced prior to getting tested, selected; New confusion",Which of the following symptoms did you experience prior to getting tested? New confusion,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,f974c9425d841af9f0bafb25da0d1b55c62cc22d6f7f922546d5149f01c6cbaf74a4bc506a95211356474322de042685c5584c864a291b0bf428241013fefe2b
30141-covid_tst_symptoms-19,"Symptoms experienced prior to getting tested, selected; Pinkeye or Conjunctivitis",Which of the following symptoms did you experience prior to getting tested? Pinkeye or Conjunctivitis,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,e069bb1468be0eaa4961524c426f69756fbbfa8d342441f1e2a389a9c7f48be7c032c274e93d13a3332e53173353d16eced13436bbb898836b5cf688ee631011
30141-covid_tst_symptoms-21,"Symptoms experienced prior to getting tested, selected; Runny nose",Which of the following symptoms did you experience prior to getting tested? Runny nose,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,096fc161df02365e1ba7cef3635ece874e58536ab4b85f505ab71037b3bc564a4acb8dc95f2b5f195c50096c5fa2c46ffab4ce12e19b7cadea6aad4089647600
