variable_name,description,label,datatype,value_constraints,source_file,source_directory,Digest (variable_name|source_file|source_directory)
covid_rec_sympt,symptoms/problems that are still present,"What problems or symptoms do you notice that still trouble you after your illness? ",checkbox,"1, Need supplemental oxygen | 2, More short of breath than before the illness | 3, Tired (more than before illness) | 4, Muscle weakness | 5, Cough | 6, Chest pain | 7, Difficulty walking distances as well as before the illness | 8, Mental confusion | 9, None | 10, Other",Demographics_and_Clinical.csv,RADx-DHT,fd19d4c157d7ae016996bc850008daa9c23d68136c7cdf791667f428513abf9a08e5828ebe5d8c25f8e5ece28f1eebc65df45e980dd3bfd0f4c8e56007aee41a
other_rec_smpt,other symptoms that are still present,"What other symptoms do you have that still trouble you after your illness? ",text,,Demographics_and_Clinical.csv,RADx-DHT,eb77cff629a901217233e4b333652d5ded78e7bd6210de54119cb2507faf321e4651b252c130b466aeffac3dd82891b88638ca90be829f3ad2dcab5fb4762703
event,"clinical_event_1 occurred (Complete clinical_event_1 details, if the patient seeks medical care OR if the APP refers the subject for medical care. Place an event marker in pinpoint IQ (Event ED, Event Hosp, Event Obs))",Did a clinical event occur?,radio,"1, Yes | 0, No",Demographics_and_Clinical.csv,RADx-DHT,bf7ed967838cde24bc67f9863f655c48cd2db65f3c61b81df78d58f0c76f9100564772a60959f6cd3bb3bfd8b49a1a893448ac0737a1605641d6e5114d51762b
loc_death,"clinical_event_1 - if death reported, location of death?",Location of death,text,,Demographics_and_Clinical.csv,RADx-DHT,3c5b10947d3e38653fdc2d759e0aba89c276f8951ffc5f9a983fe8883ee0896ba98807b30f32c11cbcc0ab8a0f2635b7465e03bc4f732067a7a65053b4ce769e
cause_mortality,"clinical_event_1 - if death reported, cause of death?",Cause of death,text,,Demographics_and_Clinical.csv,RADx-DHT,0bb454366d6f631ca1985820ea8b541730a9369360bb6678e65ce090cce78e50488d0fea85a93cb1f3e09cdd147e8b0afd10124692d77fc046af1806e21a026d
sympt_types,clinical_event_1 - description of symptoms,Description of Symptoms-,notes,,Demographics_and_Clinical.csv,RADx-DHT,270d53e839e0838656d687be2719293c05e2c0407574a5e2e9481f1ef1e2d34eeecc68b04fa2f7e372eaeee465d942cf86f5194904e6d7f03f1c91927a366b71
reason_care,clinical_event_1 - reason for seeking care,Reason for seeking care-,notes,,Demographics_and_Clinical.csv,RADx-DHT,52362589290ca79f23a60ea23f6a6236ca06852bdad13dde7cbf8233e38d9ff2036a91812b8e8bb3d9534a63bed54b32afbe039a567c80526f0a425ebcde18fd
event_trt,clinical_event_1 - treatment received,What treatment did they receive?,text,,Demographics_and_Clinical.csv,RADx-DHT,05b2a1e77a9381e9c9d908561fe5564807d92673f5f112097dd9caa6676e03e6ab6893eae154506dacd1abad7bb7a155f5747189e02dda450fb53c2fcc9242f1
event_v2_008615,"clinical_event_2 occurred (Complete clinical_event_2 details (second reported event), if the patient seeks medical care OR if the APP refers the subject for medical care. Place an event marker in pinpoint IQ (Event ED, Event Hosp, Event Obs))",Did a clinical event occur?,radio,"1, Yes | 0, No",Demographics_and_Clinical.csv,RADx-DHT,b8398cd12fa47d19687db2713681e23dca30b1a304bbaadc0cefb228fec9dceebc9f4bbff0cf2fec79996b295f093a51b717db372102e74c448cf924685b5c58
loc_death_v2_106a05,"clinical_event_2 - if death reported, location of death?",Location of death,text,,Demographics_and_Clinical.csv,RADx-DHT,555f0c25bc99f3eb71e3b81ba05805d663cf4ec53b6561ec9c0e3715a1ed9920262e5169215533543aa86bbd7a1b34c339ce321ca6eabd5dadab66928543c9ef
cause_mortality_v2_7bb62a,"clinical_event_2 - if death reported, cause of death?",Cause of death,text,,Demographics_and_Clinical.csv,RADx-DHT,3bc73b14a70cced29f64a9d50d592d5b45ed7addd0f551a3aee9f0963c9b29e09861f3cd6cd1698773a6656e93dfa19312893dae6aa947e1aacedf39d99bc29f
sympt_types_v2_18fc4a,clinical_event_2 - description of symptoms,Description of Symptoms-,notes,,Demographics_and_Clinical.csv,RADx-DHT,44c8abe6ff3823aa8676f8297b49a119e4d4baff402c746565f707792c4cf7a83b4d6e1114b910c77f65a5e1f50d5bac0758a05e06e1690b29ebdf2364341f9e
reason_care_v2_6411a7,clinical_event_2 - reason for seeking care,Reason for seeking care-,notes,,Demographics_and_Clinical.csv,RADx-DHT,8125ed329d45af1c98bb061123a438b9ec09769c7966dc77724bca205691edfea9eef581d40f62fa9edb2f71307020b8e432f4c0e97b9dfecb1b162cbe72716d
event_trt_v2_082487,clinical_event_2 - treatment received,What treatment did they receive?,text,,Demographics_and_Clinical.csv,RADx-DHT,78cc23d420d0debba423bd48004d2d03915e980b99098e08e6a27daec0b211afc1ff5105e1b2852ddc0680a1c7b853d650e5c4d75087e43a2224b6b6ad3362d3
event_v2_008615_v2,"clinical_event_3 occurred (Complete clinical_event_3 details (third reported event), if the patient seeks medical care OR if the APP refers the subject for medical care. Place an event marker in pinpoint IQ (Event ED, Event Hosp, Event Obs))",Did a clinical event occur?,radio,"1, Yes | 0, No",Demographics_and_Clinical.csv,RADx-DHT,36774a78f57380129482da9500e3a795a89d891afaee683f6286939c23cbaee5908c2ab4419688974dd95addb5c465e8b42382295183139fdd38695920c976b8
loc_death_v2_106a05_v2,"clinical_event_3 - if death reported, location of death?",Location of death,text,,Demographics_and_Clinical.csv,RADx-DHT,f0ed4c17c5e4faa9bf8531cdc6f47cdb849d4e86f46509d597cf1e5e94da03031ca5aee378a28441e5d0db5b97f2753976d740b1bbcd3acc84f46e9b9776dced
cause_mortality_v2_7bb62a_v2,"clinical_event_3 - if death reported, cause of death?",Cause of death,text,,Demographics_and_Clinical.csv,RADx-DHT,38af7a2ccef39c4d7cd9876a2bac7cba442c7ec205011dafdabeba0a6adb483cc17b8f94bec55d6e6d7474c84ce5d210de3c324f171e715eeefb7ed2c7767022
sympt_types_v2_18fc4a_v2,clinical_event_3 - description of symptoms,Description of Symptoms-,notes,,Demographics_and_Clinical.csv,RADx-DHT,8a8127261db1d09de6104dfdcf2f3ad668c0f9f876e61645f48c2fd49a89007f130d8d4b08d2de3394c184da3c41c02bac78d7c0353be10b0ed08146a01834f9
reason_care_v2_6411a7_v2,clinical_event_3 - reason for seeking care,Reason for seeking care-,notes,,Demographics_and_Clinical.csv,RADx-DHT,8f068ea8cb92c0e6e4a4d4206e18ba4f67ae28134f3fb49218f39ade060571d71ffb06ce613219f13bcb5fdba325e06d7c19de8970e58175743e12fe1dc6eb37
event_trt_v2_082487_v2,clinical_event_3 - treatment received,What treatment did they receive?,text,,Demographics_and_Clinical.csv,RADx-DHT,63c0a65d4a595204f8d9cb5f4e8217bc69f76d16d5782fb81cc92d3e1eeb1340b4cb47fc8283398842605c9ce69acbf9823abf6018e00c6345626b7813dec5b9
event_v4,"clinical_event_4 occurred (Complete clinical_event_4 details (fourth reported event), if the patient seeks medical care OR if the APP refers the subject for medical care. Place an event marker in pinpoint IQ (Event ED, Event Hosp, Event Obs))",Did a clinical event occur?,radio,"1, Yes | 0, No",Demographics_and_Clinical.csv,RADx-DHT,318a3c31e6c950586418589178946b399118ae5221c3845fbc30d649efc41deae0dc2ca07eae248bf44a879a353a071b8723797c966d65af3ca972d8d8f64851
loc_death_v4,"clinical_event_4 - if death reported, location of death?",Location of death,text,,Demographics_and_Clinical.csv,RADx-DHT,a6c4dd5d045dd9876f586139147b687bc69645356a7298fe6dde93d8dcad1f2617f08c13c32fec6d4104d662814254af89b57ffe831ab8a0abc470baf7849cf7
cause_mortality_v4,"clinical_event_4 - if death reported, cause of death?",Cause of death,text,,Demographics_and_Clinical.csv,RADx-DHT,86b78deabf267c63a46ade9811fae3311f54dfb18e7424f8df8d18c8abcfaf43db02557ea6919208814a0f14fb7190510e9e22b3a9458590a310a276cb040e1e
sympt_types_v4,clinical_event_4 - description of symptoms,Description of Symptoms-,notes,,Demographics_and_Clinical.csv,RADx-DHT,99a0d3cdd0e1c0c4bd55e92e4abcd588f51fa495e01379c2712b78226aa539b4019376201fa2a34bcccf083557d15a6f6c3e7e3d2ed8632105008e268e9fcdc2
reason_care_v4,clinical_event_4 - reason for seeking care,Reason for seeking care-,notes,,Demographics_and_Clinical.csv,RADx-DHT,3c73cbf66ac1fec2c96f391b41ec61e8d142fedd064e70ae66bc73171984400917ed8175f988d03dadcd88fd7c95473d7c937546edd24d3fc6b1d24838d7bce5
event_trt_v4,clinical_event_4 - treatment received,What treatment did they receive?,text,,Demographics_and_Clinical.csv,RADx-DHT,5e489111bd6bb0a31ad8fdf5792c50afe36ac6268ac8950c441f06b93305a4a7d95e318e8eed2baabeaeeadf9ddb6a98ca227b6aaf7ae79101d77cb7fb88aec3
event_v5,"clinical_event_5 occurred (Complete clinical_event_5 details (fifth reported event), if the patient seeks medical care OR if the APP refers the subject for medical care. Place an event marker in pinpoint IQ (Event ED, Event Hosp, Event Obs))",Did a clinical event occur?,radio,"1, Yes | 0, No",Demographics_and_Clinical.csv,RADx-DHT,5874a1b09770d83f604db6dde93274cc52098172d690ce4aafac8ff98e43564fc3fc08f069c79d0926c0da467b7ceee65c8c21f8087f099f2d61d34d6acc6ebd
loc_death_v5,"clinical_event_5 - if death reported, location of death?",Location of death,text,,Demographics_and_Clinical.csv,RADx-DHT,3579425cd90f5c9cfae571ef9f27571a1c44c264cb80ed070325cf2658a18a0657cf114d1290a8d91c2b25d339a09211fb8f893834bf93a33d997ece0aec69ab
cause_mortality_v5,"clinical_event_5 - if death reported, cause of death?",Cause of death,text,,Demographics_and_Clinical.csv,RADx-DHT,ef1ef45df3dd662bbe14a44103dde32ff70deb580cf5042ab839597464ba9e7f32483956900f721812ed661c502131f9330932c5bfc645b41d871081cf299a7b
sympt_types_v5,clinical_event_5 - description of symptoms,Description of Symptoms-,notes,,Demographics_and_Clinical.csv,RADx-DHT,9620776bb8f8d944b9bb38df607d23bc5febee6e58468fdde3cc2b5cdc812a403b38aa5ae7e19c63aaaa0ff6a01d9382106d09f66f953692bbde99888edd2a6d
reason_care_v5,clinical_event_5 - reason for seeking care,Reason for seeking care-,notes,,Demographics_and_Clinical.csv,RADx-DHT,fe337935db26be4b236b36dc82d3efb0a2f1ee498a90bd91cb1d99e9cdb89e2f8481c2e85f708aaf3069f5a9c87376356739a3311e1982320f061be5bef27a63
event_trt_v5,clinical_event_5 - treatment received,What treatment did they receive?,text,,Demographics_and_Clinical.csv,RADx-DHT,51c2ab7786266d1550269231c04343600b4cbecaaf66875513a2492b2ce115ec91d381021b37f535030e4aeda703fc1e2873ee18a7aa4fb708fad9384f072d81
ongoing,clinical_event_1 - Observation/Hospitalization ongoing,Ongoing,radio,"1, Ongoing",Demographics_and_Clinical.csv,RADx-DHT,2b01abb2df0e96a2d7aec768b63c31677ca3ed8b4c472707b37cd8a4de7069694da3270696ca0e7c3ca8d6af285b5d735525a5207adcaef940c764c92c8d7462
review_date,clinical_event_1 - reviewer(1) date,Date of Review(1),text,,Demographics_and_Clinical.csv,RADx-DHT,a32d8f75609eda71bbf62a14dee8a94daacf637802fa93a5b708d554d044b20a7fe78a531ca48a4c7e62b88446b59502484226d45914470521ec4b20506a5611
review_eventcovid,clinical_event_1 - reviewer(1) opinion,"In the opinion of reviewer(1), this event is-",radio,"1, NOT considered a COVID19 event | 2, considered a COVID19 event",Demographics_and_Clinical.csv,RADx-DHT,c41870a316a5412580f9211539ef67ecc7bc79349a2a0b01ea0a6467ae7f350f6fbc858d4a0fa1f19f030b6fd4aebbe5247aa6d8f447436c56b741e7914c701c
whoscore,clinical_event_1 - reviewer(1) who score,Reviewer(1) Score on WHO Scale ______,text,,Demographics_and_Clinical.csv,RADx-DHT,6ca28c8af7c4b03cfcdeb68167c5ae1d3b4cb50c7a21347516b576d26750e952a7214d4812d011e8a76ac9e93364962242b8f8e523350851c4dda86e985e0dc5
review_date_2,clinical_event_1 - reviewer(2) date,Date of Review(2),text,,Demographics_and_Clinical.csv,RADx-DHT,9fdde3d4b283e8c00f19d5b81c90fd76e5fb40c24439964e0185037dc8faa58802844891fe14078916cb8f0e30b794dd1270297364e7f3d89df1cd4f06539427
review_eventcovid_2,clinical_event_1 - reviewer(2) opinion,"In the opinion of reviewer(2), this event is-",radio,"1, NOT considered a COVID19 event | 2, considered a COVID19 event",Demographics_and_Clinical.csv,RADx-DHT,b9ebdb3dc1da9a4d88e0a86f09194a69a4ca0c8f9caf5cc2d01a557991329d60335ecace56bfa4da28dd2a22d2bc82d7a7817b76c4d56092157a8fb1e72dcc91
whoscore_2,clinical_event_1 - reviewer(2) who score,Reviewer(2) Score on WHO Scale ______,text,,Demographics_and_Clinical.csv,RADx-DHT,e2db8b420396cc238fefac5daf99f9c3eb5daf97812fe1fb7248f7135d5fcc65ef116a1af0d90c392888d64a0432bff26dbf08ad019cb5e55befbd45b04ef982
event_reviewagree,clinical_event_1 - reviewer(1) and (2) agree,Do both investigators agree regarding the event category?,radio,"1, Yes | 2, No",Demographics_and_Clinical.csv,RADx-DHT,5ed95b2d6b6512d0389549d73b6d2d094c72f4fae9573d4394a15616f109e4fb6982fc6bc936acf18a93b184cc47a47742400d079221c72b980d82b14208d893
review_date_3,clinical_event_1 - reviewer(3) date,Date of Review(3),text,,Demographics_and_Clinical.csv,RADx-DHT,99793ff0642843738f62435646537665bdf1a237ed8792f8ac820ceeed065efc0495eaef3e789cd5cfa3c5a9640936cfb3352bbee6216e324064c55cae1b64c4
review_eventcovid_3,clinical_event_1 - reviewer(3) opinion,"In the opinion of reviewer(3), this event is-",radio,"1, NOT considered a COVID19 event | 2, considered a COVID19 event",Demographics_and_Clinical.csv,RADx-DHT,347ea03c5da4e9c3f4199ce7c442ac84f6d87a51a41aca3c3b4e3b4b53716545403879de26a85996bd2f43485b140ad87aa0ca89625a8ebce1b804d3d64ff396
whoscore_3,clinical_event_1 - reviewer(3) who score,Reviewer(3) Score on WHO Scale ______,text,,Demographics_and_Clinical.csv,RADx-DHT,50c9b0b73731c3b0e4951ed0fb8f0dea60d8a1250bcd60a4a1e7f82f42710b5067322d7d94f3e4d05956f16ec5129864f39726eff1858fefeef1c94acbae0e11
final_determination,clinical_event_1 - final determination,"Final Determination - This event is ",radio,"1, NOT a COVID19 event | 2, a COVID19 event",Demographics_and_Clinical.csv,RADx-DHT,c843c6312a994e1df3a1e2d53502776e2e9e4ee56e7d25499eaeeed40538bf1cb92df65526175bb385ef12b375f456cae7a9707aebc6b43b21363c75187646e1
final_whoscore,clinical_event_1 - final who score,Final Determination - Score on WHO Scale ____________,text,,Demographics_and_Clinical.csv,RADx-DHT,71d7a1ea04f90f717a4f02cd9591e7015bf7803d9759a7b23b3b75e3fef194295d4434355209d2ce3b14c6f974c6f1894f1f35f0d6e05c04c5d7ee567725fb26
narrative_event1,clinical_event_1 - narrative,Narrative,notes,,Demographics_and_Clinical.csv,RADx-DHT,147002745742923ed42712cd91b02e76e11984da983e2a0e6fdac29fd8d19f6e5877cd9220face326c2bae899dc695f15490bc58de6d95625007fd66ca75b57c
ongoing_v2,clinical_event_2 - Observation/Hospitalization ongoing,Ongoing,radio,"1, Ongoing",Demographics_and_Clinical.csv,RADx-DHT,69bd4f48b168e2b378364aab9e1e9eace885a3361c4989d1956713d2a2f60b755a70b3592b913b0e95749be8b7f8325097aec246ac43319a176811a6bdb740fd
review_date_v2,clinical_event_2 - reviewer(1) date,Date of Review(1),text,,Demographics_and_Clinical.csv,RADx-DHT,8729149328c2f516c603fa73e9d462f513edecf5d1294b786dd9e4751c9fb7e31316f701cffd15770bb36b3e89c1c5815574e725696f32327be26bc95c603372
review_eventcovid_v2,clinical_event_2 - reviewer(1) opinion,"In the opinion of reviewer(1), this event is-",radio,"1, NOT considered a COVID19 event | 2, considered a COVID19 event",Demographics_and_Clinical.csv,RADx-DHT,305f2e960f8c51b6895e4ee338297bd407be58c6a0f3908b67c600a8db31036bcf3304cad1e896f983b1c6754458a6fb05185fca26f7a9f7625a9311d58ef46d
whoscore_v2,clinical_event_2 - reviewer(1) who score,Reviewer(1) Score on WHO Scale ______,text,,Demographics_and_Clinical.csv,RADx-DHT,6659a6ec0928a8ef1306ec38b6ad14e1f2c71e293966c65b2e766a79aead6c0febc6e8f153fd974f12b3c9163c2e1790ceb84a6ddd45275cee66c030c7808f3b
review_date_2_v2,clinical_event_2 - reviewer(2) date,Date of Review(2),text,,Demographics_and_Clinical.csv,RADx-DHT,d2a3cac3defe0c80369e21ff7bd19ddf62c6f10eb014f06fe3f5de601fad3966351c2eeaee46712e569ea8004eabfbd1ee8f24a777d35c2d98af28452402be13
review_eventcovid_2_v2,clinical_event_2 - reviewer(2) opinion,"In the opinion of reviewer(2), this event is-",radio,"1, NOT considered a COVID19 event | 2, considered a COVID19 event",Demographics_and_Clinical.csv,RADx-DHT,b2c7507c22e31e4a27f17e43491d3cd505305143ae62b023b1028080b4e4755e67200ef6eae3ba0d24d3710f7798cd88db88dee0eba4481b7d2aa2047f8377fb
whoscore_2_v2,clinical_event_2 - reviewer(2) who score,Reviewer(2) Score on WHO Scale ______,text,,Demographics_and_Clinical.csv,RADx-DHT,22b4cae2588746c828bcb135cb0276ff343887218e5260d6c2e6a86680f0e499446c1f8c1b2a71b2f02a02b8d4ca35a1ff1d0ced2d81383633f0e1f61af517b2
event_reviewagree_v2,clinical_event_2 - reviewer(1) and (2) agree,Do both investigators agree regarding the event category?,radio,"1, Yes | 2, No",Demographics_and_Clinical.csv,RADx-DHT,c85ff66afe0ed716cab6de8ffa3cce3531afacfc2c1b8d6f10e3554f7caa545519a7551371aaf9e5663b04922da3ca0f14862408a7403693e9c9922085e6cc59
review_date_3_v2,clinical_event_2 - reviewer(3) date,Date of Review(3),text,,Demographics_and_Clinical.csv,RADx-DHT,af6aee9915d830894f25073eef03664541b5f9e5e64d94756cf95306de0ffd26790aaaa31cf7dbe607f1e2be1fafb3a2533fb5fc06d249e81df1e80bf4974bfe
review_eventcovid_3_v2,clinical_event_2 - reviewer(3) opinion,"In the opinion of reviewer(3), this event is-",radio,"1, NOT considered a COVID19 event | 2, considered a COVID19 event",Demographics_and_Clinical.csv,RADx-DHT,26163376302a2fdf131585641adeb938928480847c3dcc7c5fecf422dad3379534e6acd712f3059d68959e047db4e9c49219eafb249befc7b32e5e81dec8ad3d
whoscore_3_v2,clinical_event_2 - reviewer(3) who score,Reviewer(3) Score on WHO Scale ______,text,,Demographics_and_Clinical.csv,RADx-DHT,cd1cb2bd3c57061720ade534e9df18a04187c49c5c5bfd40cfff8b6094398af8a32a172ee81c46c9da5ca02ac4d6351909737173652ecbdbc50e4e15668052c7
final_determination_v2,clinical_event_2 - final determination,"Final Determination - This event is ",radio,"1, NOT a COVID19 event | 2, a COVID19 event",Demographics_and_Clinical.csv,RADx-DHT,7d1fba9cd7a76af5ab87579acb480aae85f97922a3007ab59be7d755ccf5a0fdfb4d446e8199bff912993dca0fcd54a264314bc5e9517b7208da92043f4420de
final_whoscore_v2,clinical_event_2 - final who score,Final Determination - Score on WHO Scale ____________,text,,Demographics_and_Clinical.csv,RADx-DHT,dfb28ea0b3a8173bf2b09a95a6cbd33eb5273fa0efcad02cb3926cce99f2823b5c7ee46167fe7ad0b1e0a9c1a8503e098f1cb736875b428ff3154a4e0aa4afe9
narrative_event2,clinical_event_2 - narrative,Narrative,notes,,Demographics_and_Clinical.csv,RADx-DHT,afe71b8d7d05a979319ed98ce1216d58387c43bc06ba2c5ae2cb97eee4b70ba142536af21b46d381c4c283585b0d9b61c7cbda05e72f9f70f5acd126b5e6e588
ongoing_v2_v3,clinical_event_3 - Observation/Hospitalization ongoing,Ongoing,radio,"1, Ongoing",Demographics_and_Clinical.csv,RADx-DHT,eb8c394dddacd8dfb8c1e2436108f96d3b4bfe4e97a5381cecf864f2ef451f84ac974468d5ea663ff4ee64982a115e14befb470ca1bc3155dcf0d9f1725f2480
review_date_v2_v3,clinical_event_3 - reviewer(1) date,Date of Review(1),text,,Demographics_and_Clinical.csv,RADx-DHT,84972c4ac3771b011ad26e7cae9bf766af28e2b40427bbaec50b6f632f2f9f4621557f139ac254ff28ba18845d57afc8751abc487ff7193bde87ff740ef160e4
review_eventcovid_v2_v3,clinical_event_3 - reviewer(1) opinion,"In the opinion of reviewer(1), this event is-",radio,"1, NOT considered a COVID19 event | 2, considered a COVID19 event",Demographics_and_Clinical.csv,RADx-DHT,5acaecf16396796b9a0d1350a5f6f7af76a724b824e405ccc5886d23040b59626199af4edb7e896cb41eda6e132af382b864a13f5b78f5fcc69c0ac6aa6084b7
whoscore_v2_v3,clinical_event_3 - reviewer(1) who score,Reviewer(1) Score on WHO Scale ______,text,,Demographics_and_Clinical.csv,RADx-DHT,3906de55bcbeed2992239c5fcb92fea846bcfd8a81d37a8c85870a22ea77820172543608c6bd9e0557d13a0720661bf6499fe2addf92a2529e2562b711afd026
review_date_2_v2_v3,clinical_event_3 - reviewer(2) date,Date of Review(2),text,,Demographics_and_Clinical.csv,RADx-DHT,df562ce1ffc8b48c7b58e6b14785521c37f9730c27e1934da2898c5b52aea0b0e583c0dba2a2b13b26b349d5a4f7f7181361bb86443d6c5ed9a7d143f68c8b30
review_eventcovid_2_v2_v3,clinical_event_3 - reviewer(2) opinion,"In the opinion of reviewer(2), this event is-",radio,"1, NOT considered a COVID19 event | 2, considered a COVID19 event",Demographics_and_Clinical.csv,RADx-DHT,375305afd38a723baca031d6067aa9226bdc0ff24f78fe6e919603be5d9c48c3ecd70fe15784cc97e56afe235285faa6951e904a2b0737ac21609e52722862e1
whoscore_2_v2_v3,clinical_event_3 - reviewer(2) who score,Reviewer(2) Score on WHO Scale ______,text,,Demographics_and_Clinical.csv,RADx-DHT,6fbdb390b0b8229d3331fdafa7effd343cf72a31a20fdbfde6a2e5504c27a174c6d0ec97ea0bac2812661f107e1a94cf39e5fa8497ab944decc7a4c5d42869bc
event_reviewagree_v2_v3,clinical_event_3 - reviewer(1) and (2) agree,Do both investigators agree regarding the event category?,radio,"1, Yes | 2, No",Demographics_and_Clinical.csv,RADx-DHT,199dd2c6baacbdfc869609841bc3c5766555de3fc2b721eee0195482024f9794cefd19c47b011c29938bf8013f125a9dd2aeef9c89a3c1d6741d52e891b19b88
review_date_3_v2_v3,clinical_event_3 - reviewer(3) date,Date of Review(3),text,,Demographics_and_Clinical.csv,RADx-DHT,8e2d61ff53d84827c242416344f7ba034f8cbe357a728bd8d9a87cb8220a2bd76fa8d61632fbce031e0b3f5e3fc9febc95b2c88d869d7299dbb4b708ad05fc2a
review_eventcovid_3_v2_v3,clinical_event_3 - reviewer(3) opinion,"In the opinion of reviewer(3), this event is-",radio,"1, NOT considered a COVID19 event | 2, considered a COVID19 event",Demographics_and_Clinical.csv,RADx-DHT,4e9eb599a1e0ec511c9f49774f7ca7445ce2e1628c9cd3628b6298338b0d51f1eea9c34babe63380c55756a857d94c541c5f2275c2354133bd70be94b019d90c
whoscore_3_v2_v3,clinical_event_3 - reviewer(3) who score,Reviewer(3) Score on WHO Scale ______,text,,Demographics_and_Clinical.csv,RADx-DHT,518ca805e3f7059ca66342c5c264aab29caa6d2358d90957ca2ae8dc16642943b98b37be9f56612488eba3668189089ce8a6cfc569074c47bbd4d1653a885074
final_determination_v2_v3,clinical_event_3 - final determination,"Final Determination - This event is ",radio,"1, NOT a COVID19 event | 2, a COVID19 event",Demographics_and_Clinical.csv,RADx-DHT,1604a7aca170a76d014b72346ccd42ac8d372d717cd136c5327223d53583ec98cd08e55439bb1fd043c389e8c9f4926f7df6cf4f0d37ea53b6346bb688da9116
final_whoscore_v2_v3,clinical_event_3 - final who score,Final Determination - Score on WHO Scale ____________,text,,Demographics_and_Clinical.csv,RADx-DHT,fb7a74d426d7aa25d7e937bcfe89daf9ed087bf7c9950fff4b1198e6ff947e1c291eb47a2f69d996a19132ed8b8c2097e286da6403a07f8b38ed729fc2f3b0da
narrative_event3,clinical_event_3 - narrative,Narrative,notes,,Demographics_and_Clinical.csv,RADx-DHT,77bd6de436f04a1eed1c2a48b02d681b613ae38fab37f8691fc43c57042d058e067f314e3485826913e94d198272d507b60472e2c5dcf01419123b7b3822a783
ongoing_v4,clinical_event_4 - Observation/Hospitalization ongoing,Ongoing,radio,"1, Ongoing",Demographics_and_Clinical.csv,RADx-DHT,85ba315578f6f5309517db67da3c832a9a4c1e5f3efca29d145162f0c866fe17baaec40a334cb3d4f7c49cdf49371481563364dbedb308c69fe0fafa90febf9b
review_date_v4,clinical_event_4 - reviewer(1) date,Date of Review(1),text,,Demographics_and_Clinical.csv,RADx-DHT,4d66d9cb4b9a54f419f4823b9f28d2381136449a53aea019e80e5e8a04403e2f92b7dc05bec008b665280a4986f5ea1ee81b4509ce6064b46c65d1715f2fd5ba
review_eventcovid_v4,clinical_event_4 - reviewer(1) opinion,"In the opinion of reviewer(1), this event is-",radio,"1, NOT considered a COVID19 event | 2, considered a COVID19 event",Demographics_and_Clinical.csv,RADx-DHT,f241cd37cdb9aaed326bb38855d1026a28b0483dc589284e514b0e0e06736542ae94cc67598b1e8d3cdfe3e082e8e56c2a4d2c3966d1270e619a9d60d6129257
whoscore_v4,clinical_event_4 - reviewer(1) who score,Reviewer(1) Score on WHO Scale ______,text,,Demographics_and_Clinical.csv,RADx-DHT,b6cb2bdede05ce566662560087f131224f254285515cbc5529cf70514aa68b34717ba50eb1fb1583cfc888c2cc5bbb0e396e6ff6cca93faa62fff5e19d0dc151
review_date_2_v4,clinical_event_4 - reviewer(2) date,Date of Review(2),text,,Demographics_and_Clinical.csv,RADx-DHT,33b9e38aa26749226a2fc98a7080082419295cda5d95538ece48f4ec87fee49bf6c88693fe341bd4861aa8de4b758db6f80ce8116d26cfb12c0600e42e565116
review_eventcovid_2_v4,clinical_event_4 - reviewer(2) opinion,"In the opinion of reviewer(2), this event is-",radio,"1, NOT considered a COVID19 event | 2, considered a COVID19 event",Demographics_and_Clinical.csv,RADx-DHT,529eefcdfebd0c15637b6eab970d04c8a18ff25ec6a726f8aa8793ed12d6c47d57cf732d70c9cfbc666d7c9b044e194f7a5359959d53dfced78ee4099b36a8a6
whoscore_2_v4,clinical_event_4 - reviewer(2) who score,Reviewer(2) Score on WHO Scale ______,text,,Demographics_and_Clinical.csv,RADx-DHT,0f36c32c4d43cb1e0ecede7008bcc12910bc09201ebd1033bcbade11b59d679ac771b68e66f656b9886b0b611ebf8058a60f04345cb35cfa63973a386733c190
event_reviewagree_v4,clinical_event_4 - reviewer(1) and (2) agree,Do both investigators agree regarding the event category?,radio,"1, Yes | 2, No",Demographics_and_Clinical.csv,RADx-DHT,3a1887c3bec385bca74de7229235a0cc484b6422fb9747d025dd6e87f635166e3b7cb2e17677c931bddadba66d7c79589784659818662dce67cb43b7aea76ff1
review_date_3_v4,clinical_event_4 - reviewer(3) date,Date of Review(3),text,,Demographics_and_Clinical.csv,RADx-DHT,a4611ca3fb1eb8ff0b35b64ffc50137493583293904b9896e21019204fd3c9e641d9accce9daf23feb9b56167f33323f29cdc0f14d4f11f1f00512ddf508cfa3
review_eventcovid_3_v4,clinical_event_4 - reviewer(3) opinion,"In the opinion of reviewer(3), this event is-",radio,"1, NOT considered a COVID19 event | 2, considered a COVID19 event",Demographics_and_Clinical.csv,RADx-DHT,ea79f584acf8f8506137e4f0f2f4414202549c34b56bf672e681fbd2a57891ce4f44e59ec657417b1eeb99c6cdad9db87a77e3b8c315662027653d788b83f185
whoscore_3_v4,clinical_event_4 - reviewer(3) who score,Reviewer(3) Score on WHO Scale ______,text,,Demographics_and_Clinical.csv,RADx-DHT,149bc8a1fcbf682321cdef25b78f8cd624ce0e503e8301ff289203905374b053d8887b51e39b43231ee149a5c35900ac0a2f153df6b4a5612f8b9835b27d8066
