Id,form_name,Section,ui,Label,Enumeration,Notes,pattern,min,max,branching_logic,required,source_file,source_directory
underlying conditions (check all that apply) (choice=hematologic),,Health Status,checkbox,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
underlying conditions (check all that apply) (choice=oncologic),,Health Status,checkbox,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
underlying conditions (check all that apply) (choice=cardiac),,Health Status,checkbox,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
underlying conditions (check all that apply) (choice=diabetes),,Health Status,checkbox,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
underlying conditions (check all that apply) (choice=obesity),,Health Status,checkbox,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
underlying conditions (check all that apply) (choice=neurologic),,Health Status,checkbox,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
underlying conditions (check all that apply) (choice=prematurity),,Health Status,checkbox,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
underlying conditions (check all that apply) (choice=transplant),,Health Status,checkbox,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
underlying conditions (check all that apply) (choice=immunosuppressed),,Health Status,checkbox,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
underlying conditions (check all that apply) (choice=other),,Health Status,checkbox,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
other underlying condition,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
how many other respiratory conditions?,,Health Status,dropdown,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
respiratory condition #1,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
respiratory condition #2,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
respiratory condition #3,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
cardiovascular conditions (choice=congenital heart disease),,Health Status,checkbox,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
cardiovascular conditions (choice=other),,Health Status,checkbox,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
cardiovascular conditions (choice=none),,Health Status,checkbox,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
how many other cardiovascular conditions?,,Health Status,checkbox,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
cardiac condition #1,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
cardiac condition #2,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
cardiac condition #3,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
immunocompromised conditions (choice=malignancy),,Health Status,checkbox,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
immunocompromised conditions (choice=solid organ transplant),,Health Status,checkbox,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
immunocompromised conditions (choice=bmt),,Health Status,checkbox,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
immunocompromised conditions (choice=hiv),,Health Status,checkbox,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
immunocompromised conditions (choice=other),,Health Status,checkbox,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
immunocompromised conditions (choice=none),,Health Status,checkbox,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
how many other immuno conditions?,,Health Status,dropdown,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
other immuno #1,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
other immuno #2,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
other immuno #3,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
obesity,,Health Status,radio,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
other past medical history,,Health Status,radio,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
how many past medical histories?,,Health Status,dropdown,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
past medical history #1,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
past medical history #2,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
past medical history #3,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
past medical history #4,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
past medical history #5,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
past medical history #6,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
lab type,,Health Status,radio,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of labs,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
lab location,,Health Status,radio,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
other (specify),,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
white blood cell count (wbc),,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
units,,Health Status,dropdown,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of wbc,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
hemoglobin,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
units19,,Health Status,dropdown,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of hgb,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
hematocrit,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of hct,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
units21,,Health Status,dropdown,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of rbc,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
red blood cell count (rbcs),,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
units33,,Health Status,dropdown,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
platelet count,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of plt,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
units2,,Health Status,dropdown,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
red cell distribution width (rdw),,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of rdw,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
units20,,Health Status,dropdown,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
mean corpuscular volume (mcv),,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
units23,,Health Status,dropdown,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of mcv,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
mch (mean corpuscular hemoglobin),,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
units31,,Health Status,dropdown,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of mch,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
mchc (mean corpuscular hemoglobin concentration),,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
units32,,Health Status,dropdown,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of mchc,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
absolute neutrophil count (anc),,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
units3,,Health Status,dropdown,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of anc,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
absolute lymphocyte count,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
units4,,Health Status,dropdown,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of abs lymphocyte,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
absolute monocyte count,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
units24,,Health Status,dropdown,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of abs monocyte,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
absolute eosinophil count,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
units26,,Health Status,dropdown,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of abs eosinophil,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
absolute basophil count,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
units25,,Health Status,dropdown,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of abs basophil,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
"immature granulocytes, left shift",,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of imm granulocytes,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
units34,,Health Status,dropdown,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
pt,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of pt,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
units41,,Health Status,dropdown,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
inr,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of inr,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
units42,,Health Status,dropdown,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of ptt,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
units40,,Health Status,dropdown,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
ptt,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of fibrinogen,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
units43,,Health Status,dropdown,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
fibrinogen,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of d-dimer,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
units44,,Health Status,dropdown,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
d-dimer,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of fdp,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
units45,,Health Status,dropdown,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
fdp,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
units13,,Health Status,dropdown,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of esr,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
erythrocyte sedimentation rate (esr),,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of tropnonin,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
troponin,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
units5,,Health Status,dropdown,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of crp,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
crp,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
units14,,Health Status,dropdown,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of bnp,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
brain natriuretic peptide (bnp),,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
units7,,Health Status,dropdown,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of ferritin,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
ferritin,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
units6,,Health Status,dropdown,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
sodium,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of sodium,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
units10,,Health Status,dropdown,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
potassium,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of potassium,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
units11,,Health Status,dropdown,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
chloride,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of chloride,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
units28,,Health Status,dropdown,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
co2/bicarbonate ,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of co2,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
units46,,Health Status,dropdown,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
units8,,Health Status,dropdown,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
blood urea nitrogen (bun),,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of bun,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
units30,,Health Status,dropdown,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
serum (blood) creatinine,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
units12,,Health Status,dropdown,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of creatinine,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
blood glucose (fasting or nonfasting),,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
fasting?,,Health Status,dropdown,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of glucose,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
calcium,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of calcium,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
units9,,Health Status,dropdown,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
albumin,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of albumin,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
units35,,Health Status,dropdown,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
magnesium,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of magnesium,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
units,,Health Status,dropdown,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
phosphorus,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of phosphorus,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
units,,Health Status,dropdown,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
lactate dehydrogenase (ldh),,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of ldh,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
units47,,Health Status,dropdown,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
alanine aminotransferase (alt),,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of alt,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
units27,,Health Status,dropdown,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
aspartate aminotransferase (ast),,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of ast,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
units29,,Health Status,dropdown,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
units37,,Health Status,dropdown,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
alkaline phosphatase,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of alkaline phosphatase,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
bilirubin,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of bilirubin,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
units36,,Health Status,dropdown,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
amylase,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of amylase,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
units38,,Health Status,dropdown,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
lipase,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of lipase,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
units39,,Health Status,dropdown,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of sil-2r,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
soluble interleukin-2 receptor (sil-2r),,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
units15,,Health Status,dropdown,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of il-6,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
il-6,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
units16,,Health Status,dropdown,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
pyuria,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
additional labs performed?,,Health Status,radio,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
how many other labs?,,Health Status,dropdown,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
name of other lab 1,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
other lab 1 value,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
units,,Health Status,dropdown,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
name of other lab 2,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
other lab 2 value,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
units 51,,Health Status,dropdown,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
name of other lab 3,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
other lab 3 value,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
units 52,,Health Status,dropdown,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
name of other lab 4,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
value of other lab 4,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
units 53,,Health Status,dropdown,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
name of other lab 5,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
value of other lab 5,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
units 54,,Health Status,dropdown,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of other lab 5,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
result,,Health Status,radio,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
respiratory pathogen panel: name of pathogen(s),,Health Status,notes,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
instrument used,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
other positive microbiology tests?,,Health Status,radio,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
how many other microbiology tests?,,Health Status,dropdown,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
other positive microbiologic test #1,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of other positive microbiologic test #1,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
source,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
results,,Health Status,notes,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
other positive microbiologic test #2,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of other positive microbiologic test #2,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
source,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
results,,Health Status,notes,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
other positive microbiologic test #3,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of other positive microbiologic test #3,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
source,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
results,,Health Status,notes,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
other positive microbiologic test #4,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of other positive microbiologic test #4,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
source,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
results,,Health Status,notes,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
chest x-ray,,Health Status,radio,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
chest x-ray date,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
chest x-ray results,,Health Status,radio,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
chest x-ray findings (choice=focal infiltrate),,Health Status,checkbox,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
chest x-ray findings (choice=diffuse infiltrate),,Health Status,checkbox,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
chest x-ray findings (choice=pleural effusion or empyema),,Health Status,checkbox,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
chest x-ray findings (choice=atelectasis),,Health Status,checkbox,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
chest x-ray findings (choice=other),,Health Status,checkbox,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
other,,Health Status,text,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
notes,,Health Status,notes,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
chest ct,,Health Status,radio,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
