Id,form_name,Section,ui,Label,Enumeration,Notes,pattern,min,max,branching_logic,required
Was other imaging performed?,,Health Status,radio,,,,,,,,
How many other imaging methods?,,Health Status,dropdown,,,,,,,,
Other Imaging Method #1,,Health Status,text,,,,,,,,
Other Imaging Method #1: Results,,Health Status,notes,,,,,,,,
Other Imaging Method #2,,Health Status,text,,,,,,,,
Other Imaging Method #2: Results,,Health Status,notes,,,,,,,,
Other Imaging Method #3,,Health Status,text,,,,,,,,
Other Imaging Method #3: Results,,Health Status,notes,,,,,,,,
Other Imaging Method #4,,Health Status,text,,,,,,,,
Other Imaging Method #4: Results,,Health Status,notes,,,,,,,,
Other Imaging Method #5,,Health Status,text,,,,,,,,
Other Imaging Method #5: Results,,Health Status,notes,,,,,,,,
"Methylprednisolone ",,Health Status,radio,,,,,,,,
Methylprednisolone Start Date,,Health Status,date,,,,,,,,
Methylprednisolone End Date,,Health Status,date,,,,,,,,
Methylprednisolone Dose,,Health Status,radio,,,,,,,,
Other dose,,Health Status,text,,,,,,,,
Notes,,Health Status,notes,,,,,,,,
Hydrocortisone,,Health Status,radio,,,,,,,,
Hydrocortisone Start Date,,Health Status,date,,,,,,,,
Hydrocortisone End Date,,Health Status,date,,,,,,,,
Hydrocortisone Dose,,Health Status,radio,,,,,,,,
Other dose,,Health Status,text,,,,,,,,
"Number of days ",,Health Status,text,,,,,,,,
Notes,,Health Status,notes,,,,,,,,
Oral Prednisone (upon discharge),,Health Status,radio,,,,,,,,
Oral Prednisone (upon discharge) Start Date,,Health Status,text,,,,,,,,
Oral Prednisone (upon discharge) End Date,,Health Status,text,,,,,,,,
Number of days,,Health Status,text,,,,,,,,
Notes,,Health Status,notes,,,,,,,,
Prednisolone (upon discharge),,Health Status,radio,,,,,,,,
Prednisolone (upon discharge) Start Date,,Health Status,date,,,,,,,,
Prednisolone (upon discharge) End Date,,Health Status,date,,,,,,,,
Number of days,,Health Status,text,,,,,,,,
Notes,,Health Status,notes,,,,,,,,
Dexamethasone,,Health Status,radio,,,,,,,,
Dexamethasone Start Date,,Health Status,date,,,,,,,,
Dexamethasone End Date,,Health Status,date,,,,,,,,
Dexamethasone Peak Dose,,Health Status,text,,,,,,,,
Number of days,,Health Status,text,,,,,,,,
Notes,,Health Status,notes,,,,,,,,
Infliximab,,Health Status,radio,,,,,,,,
Infliximab Dose,,Health Status,radio,,,,,,,,
Other dose,,Health Status,text,,,,,,,,
Notes,,Health Status,notes,,,,,,,,
"Remdesivir ",,Health Status,radio,,,,,,,,
Remdesivir Start Date,,Health Status,date,,,,,,,,
Remdesivir End Date,,Health Status,date,,,,,,,,
Remdesivir Dose,,Health Status,text,,,,,,,,
Units,,Health Status,dropdown,,,,,,,,
Frequency,,Health Status,dropdown,,,,,,,,
Other frequency,,Health Status,text,,,,,,,,
Notes,,Health Status,notes,,,,,,,,
Tocilizumab,,Health Status,radio,,,,,,,,
Tocilizumab Start Date,,Health Status,date,,,,,,,,
Tocilizumab End Date,,Health Status,date,,,,,,,,
Tocilizumab Dose,,Health Status,text,,,,,,,,
units4,,Health Status,dropdown,,,,,,,,
Frequency,,Health Status,dropdown,,,,,,,,
Other frequency,,Health Status,text,,,,,,,,
Notes,,Health Status,notes,,,,,,,,
Baricitinib,,Health Status,radio,,,,,,,,
Start Date,,Health Status,date,,,,,,,,
End Date,,Health Status,date,,,,,,,,
Baricitinib dose,,Health Status,text,,,,,,,,
units6,,Health Status,dropdown,,,,,,,,
Frequency,,Health Status,dropdown,,,,,,,,
Notes,,Health Status,notes,,,,,,,,
Other frequency,,Health Status,text,,,,,,,,
Aspirin,,Health Status,radio,,,,,,,,
Aspirin Start Date,,Health Status,date,,,,,,,,
Aspirin End Date,,Health Status,date,,,,,,,,
Aspirin dose,,Health Status,text,,,,,,,,
units7,,Health Status,dropdown,,,,,,,,
Frequency,,Health Status,dropdown,,,,,,,,
Other frequency,,Health Status,text,,,,,,,,
Notes,,Health Status,notes,,,,,,,,
Anakinra,,Health Status,radio,,,,,,,,
Anakinra Start Date,,Health Status,date,,,,,,,,
Anakinra End Date,,Health Status,date,,,,,,,,
Anakinra Dose,,Health Status,radio,,,,,,,,
Other dose,,Health Status,text,,,,,,,,
Notes,,Health Status,notes,,,,,,,,
Hydroxychloroquine,,Health Status,radio,,,,,,,,
Hydroxychloroquine Start Date,,Health Status,date,,,,,,,,
Hydroxychloroquine End Date,,Health Status,date,,,,,,,,
Hydroxychloroquine dose,,Health Status,text,,,,,,,,
units9,,Health Status,dropdown,,,,,,,,
Frequency,,Health Status,dropdown,,,,,,,,
Other frequency,,Health Status,text,,,,,,,,
Notes,,Health Status,notes,,,,,,,,
"Monoclonal Antibodies ",,Health Status,radio,,,,,,,,
Monoclonal Antibodies Type,,Health Status,dropdown,,,,,,,,
"Name of Other Monoclonal Antibodies ",,Health Status,text,,,,,,,,
Start Date,,Health Status,date,,,,,,,,
End Date,,Health Status,date,,,,,,,,
Notes,,Health Status,notes,,,,,,,,
IVIG (Intravenous immune globulin),,Health Status,radio,,,,,,,,
How many doses of IVIG were administered?,,Health Status,radio,,,,,,,,
Notes,,Health Status,notes,,,,,,,,
Convalescent Plasma,,Health Status,radio,,,,,,,,
How many doses of convalescent plasma were administered?,,Health Status,dropdown,,,,,,,,
Convalescent Plasma Dose #1 Date,,Health Status,date,,,,,,,,
Convalescent Plasma Dose #2 Date,,Health Status,date,,,,,,,,
Convalescent Plasma Dose #3 Date,,Health Status,date,,,,,,,,
Convalescent Plasma Dose #4 Date,,Health Status,date,,,,,,,,
Convalescent Plasma Dose #5 Date,,Health Status,date,,,,,,,,
Convalescent Plasma Dose #6 Date,,Health Status,date,,,,,,,,
Notes,,Health Status,notes,,,,,,,,
"Anticoagulation ",,Health Status,radio,,,,,,,,
Anticoagulation Type,,Health Status,dropdown,,,,,,,,
Name of Other Anticoagulation,,Health Status,text,,,,,,,,
Other Anticoagulation Start Date,,Health Status,date,,,,,,,,
Other Anticoagulation End Date,,Health Status,date,,,,,,,,
Anticoagulation Dose,,Health Status,text,,,,,,,,
units10,,Health Status,dropdown,,,,,,,,
Frequency,,Health Status,dropdown,,,,,,,,
Other frequency,,Health Status,text,,,,,,,,
Notes,,Health Status,notes,,,,,,,,
Other,,Health Status,radio,,,,,,,,
"How many other treatments? ",,Health Status,dropdown,,,,,,,,
Other Treatment #1,,Health Status,text,,,,,,,,
Notes,,Health Status,notes,,,,,,,,
Other Treatment #2,,Health Status,text,,,,,,,,
Notes,,Health Status,notes,,,,,,,,
Other Treatment #3,,Health Status,text,,,,,,,,
Notes,,Health Status,notes,,,,,,,,
Other Treatment #4,,Health Status,text,,,,,,,,
Notes,,Health Status,notes,,,,,,,,
Other Treatment #5,,Health Status,text,,,,,,,,
Notes,,Health Status,notes,,,,,,,,
Other Treatment #6,,Health Status,text,,,,,,,,
Notes,,Health Status,notes,,,,,,,,
Other Treatment #7,,Health Status,text,,,,,,,,
Notes,,Health Status,notes,,,,,,,,
Other Treatment #8,,Health Status,text,,,,,,,,
Notes,,Health Status,notes,,,,,,,,
Other Treatment #9,,Health Status,text,,,,,,,,
Notes,,Health Status,notes,,,,,,,,
Other Treatment #10,,Health Status,text,,,,,,,,
Notes,,Health Status,notes,,,,,,,,
Vasopressor Use,,Health Status,radio,,,,,,,,
Pressors (duration and type),,Health Status,notes,,,,,,,,
Respiratory Support,,Health Status,radio,,,,,,,,
Overall duration of oxygen support (days),,Health Status,text,,,,,,,,
Type of oxygen support (choice=Nasal cannula),,Health Status,checkbox,,,,,,,,
Type of oxygen support (choice=Face mask),,Health Status,checkbox,,,,,,,,
Type of oxygen support (choice=High-flow nasal cannula),,Health Status,checkbox,,,,,,,,
Type of oxygen support (choice=BiPap),,Health Status,checkbox,,,,,,,,
Type of oxygen support (choice=Mechanical ventilation),,Health Status,checkbox,,,,,,,,
Type of oxygen support (choice=ECMO),,Health Status,checkbox,,,,,,,,
Type of oxygen support (choice=CPAP),,Health Status,checkbox,,,,,,,,
Duration of mechanical oxygen support (days),,Health Status,text,,,,,,,,
Peak Fi02,,Health Status,text,,,,,,,,
Peak PEEP,,Health Status,text,,,,,,,,
Low-flow O2,,Health Status,radio,,,,,,,,
High-flow O2,,Health Status,radio,,,,,,,,
Non-invasive Ventilation,,Health Status,radio,,,,,,,,
Mechanical Ventilation,,Health Status,radio,,,,,,,,
ECMO,,Health Status,radio,,,,,,,,
ECMO Start Date,,Health Status,date,,,,,,,,
ECMO End Date,,Health Status,date,,,,,,,,
Dialysis,,Health Status,radio,,,,,,,,
Dialysis Start Date,,Health Status,date,,,,,,,,
Dialysis End Date,,Health Status,date,,,,,,,,
Antiplatelet,,Health Status,radio,,,,,,,,
Antiplatelet Start Date,,Health Status,date,,,,,,,,
Antiplatelet End Date,,Health Status,date,,,,,,,,
Antiplatelet dose,,Health Status,text,,,,,,,,
units11,,Health Status,dropdown,,,,,,,,
Frequency,,Health Status,dropdown,,,,,,,,
Other frequency,,Health Status,text,,,,,,,,
Notes,,Health Status,notes,,,,,,,,
Hospitalization,,Health Status,radio,,,,,,,,
"Reason for hospitalization? (If patient had COVID-19, but it was found incidentally after they were hospitalized for a car accident, the answer here would be other)  (choice=COVID-19)",,Health Status,checkbox,,,,,,,,
"Reason for hospitalization? (If patient had COVID-19, but it was found incidentally after they were hospitalized for a car accident, the answer here would be other)  (choice=MISC)",,Health Status,checkbox,,,,,,,,
"Reason for hospitalization? (If patient had COVID-19, but it was found incidentally after they were hospitalized for a car accident, the answer here would be other)  (choice=Other)",,Health Status,checkbox,,,,,,,,
"Reason for hospitalization? (If patient had COVID-19, but it was found incidentally after they were hospitalized for a car accident, the answer here would be other)  (choice=Unknown)",,Health Status,checkbox,,,,,,,,
Other reason for hospitalization,,Health Status,text,,,,,,,,
"Hospitalization: Date of onset (if a transfer, enter first date)",,Health Status,date,,,,,,,,
Hospitalization: Date resolved,,Health Status,date,,,,,,,,
ICU Stay,,Health Status,radio,,,,,,,,
"Was the ICU stay consistent (ex. in 1/1, out 1/10), or inconsistent (ex. in 1/1, out 1/2 but still hospitalized, in again 1/5, out again 1/10)? ",,Health Status,radio,,,,,,,,
ICU: Date of onset,,Health Status,date,,,,,,,,
ICU: Date resolved,,Health Status,date,,,,,,,,
"Amount of total days spent in the ICU? ",,Health Status,text,,,,,,,,
"Other Complications (includes during hospitalization, up to 3 months post-discharge) (choice=Myocarditis / cardiac dysfunction)",,Health Status,checkbox,,,,,,,,
"Other Complications (includes during hospitalization, up to 3 months post-discharge) (choice=Pulmonary Embolus)",,Health Status,checkbox,,,,,,,,
"Other Complications (includes during hospitalization, up to 3 months post-discharge) (choice=Stroke)",,Health Status,checkbox,,,,,,,,
"Other Complications (includes during hospitalization, up to 3 months post-discharge) (choice=Encephalitis)",,Health Status,checkbox,,,,,,,,
"Other Complications (includes during hospitalization, up to 3 months post-discharge) (choice=Dialysis)",,Health Status,checkbox,,,,,,,,
"Other Complications (includes during hospitalization, up to 3 months post-discharge) (choice=Other)",,Health Status,checkbox,,,,,,,,
"Other Complications (includes during hospitalization, up to 3 months post-discharge) (choice=None)",,Health Status,checkbox,,,,,,,,
Complication(s) notes,,Health Status,notes,,,,,,,,
How many other complications?,,Health Status,dropdown,,,,,,,,
Other Complication #1,,Health Status,text,,,,,,,,
Other Complication #2,,Health Status,text,,,,,,,,
Other Complication #3,,Health Status,text,,,,,,,,
Other Complication #4,,Health Status,text,,,,,,,,
Other Complication #5,,Health Status,text,,,,,,,,
"Death ",,Health Status,radio,,,,,,,,
Date  of death,,Health Status,date,,,,,,,,
Was death due to COVID?,,Health Status,radio,,,,,,,,
Notes,,Health Status,notes,,,,,,,,
ICU: Date resolved,,Health Status,date,,,,,,,,
"Amount of total days spent in the ICU? ",,Health Status,text,,,,,,,,
"Other Complications (includes during hospitalization, up to 3 months post-discharge) (choice=Myocarditis / cardiac dysfunction)",,Health Status,text,,,,,,,,
"Other Complications (includes during hospitalization, up to 3 months post-discharge) (choice=Pulmonary Embolus)",,Health Status,text,,,,,,,,
"Other Complications (includes during hospitalization, up to 3 months post-discharge) (choice=Stroke)",,Health Status,text,,,,,,,,
"Other Complications (includes during hospitalization, up to 3 months post-discharge) (choice=Encephalitis)",,Health Status,text,,,,,,,,
"Other Complications (includes during hospitalization, up to 3 months post-discharge) (choice=Dialysis)",,Health Status,text,,,,,,,,
"Other Complications (includes during hospitalization, up to 3 months post-discharge) (choice=Other)",,Health Status,text,,,,,,,,
"Other Complications (includes during hospitalization, up to 3 months post-discharge) (choice=None)",,Health Status,text,,,,,,,,
Complication(s) notes,,Health Status,notes,,,,,,,,
How many other complications?,,Health Status,dropdown,,,,,,,,
Other Complication #1,,Health Status,text,,,,,,,,
Other Complication #2,,Health Status,text,,,,,,,,
Other Complication #3,,Health Status,text,,,,,,,,
Other Complication #4,,Health Status,text,,,,,,,,
Other Complication #5,,Health Status,text,,,,,,,,
"Death ",,Health Status,radio,,,,,,,,
Date  of death,,Health Status,date,,,,,,,,
Was death due to COVID?,,Health Status,radio,,,,,,,,
Notes,,Health Status,notes,,,,,,,,
sample_ID,,Identity,text,Study ID and date of sampling,,,,,,,
chr,,Methylation_Reference,text,Chromosome,,,,,,,
start,,Methylation_Reference,text,Start of interval,,,,,,,
stop,,Methylation_Reference,text,Stop of interval,,,,,,,
reference,,Methylation_Reference,text,DOI Source of Interval - Background information,,,,,,,
genomic_loci,,Methylation_Reference,text,"Build from Chromosome_Start of interval_Stop of interval ",,,,,,,
CFDNA_data,,Methylation_Data,Float,Refer to Methylation_Reference_File for variable definition,,,,,,,
gene_ID,,Gene_count_reference,text,Ensembl gene id,,,,,,,
gene_name,,Gene_count_reference,text,hgnc gene symbol,,,,,,,
gene_type,,Gene_count_reference,text,Gene biotype,,,,,,,
genomic_reference,,Gene_count_reference,text,Source of gene information - Background information,,,,,,,
CFRNA_data,,Gene_count_data,Float,Refer to Gene_Count_Reference_File for variable definition,,,,,,,
WBRNA_data,,Gene_count_data,Float,Refer to Gene_Count_Reference_File for variable definition,,,,,,,
