Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
odor_ident_2_strawberry_2,scentinel_9_odors,,radio,"<div style=""font-size: 14pt"">You selected PLAY DOH which was <font color=""red"">incorrect</font>. Please try again!</div>","1, <img src= ""https://i.postimg.cc/Df921Wfd/strawberry-copy.jpg"" alt= ""Strawberry""> | 2, <img src= ""https://i.postimg.cc/90N5FQXM/coconut1.jpg"" alt= ""Coconut""> | 3, <img src=""https://i.postimg.cc/7LTFSBLD/Sml-20201010-Lemon17635-Edit.jpg"" alt=""Lemon"">",,,,,,([odor_sn] = '6'  OR [odor_manual_sn]='6') and [odor_ident_strawberry] = '3',,LH,,,, @RANDOMORDER
odor_ident_2_strawberry_3,scentinel_9_odors,,radio,"<div style=""font-size: 14pt"">You selected LEMON which was <font color=""red"">incorrect</font>. Please try again!</div>","1, <img src= ""https://i.postimg.cc/Df921Wfd/strawberry-copy.jpg"" alt= ""Strawberry""> | 2, <img src= ""https://i.postimg.cc/90N5FQXM/coconut1.jpg"" alt= ""Coconut""> | 3, <img src=""https://i.postimg.cc/rsg3q3fG/Sml-20201010-Play-Doh17627-Edit.jpg"" alt=""Play Doh"">",,,,,,([odor_sn] = '6'  OR [odor_manual_sn]='6') and [odor_ident_strawberry] = '4',,LH,,,, @RANDOMORDER
odor_ident_coconut,scentinel_9_odors, ,radio,"<div style=""font-size: 14pt"">What does <font color=""blue"">ODOR [odor_discrim]</font> smell like?</div>","1, <img src= ""https://i.postimg.cc/90N5FQXM/coconut1.jpg"" alt= ""Coconut""> | 2, <img src= ""https://i.postimg.cc/L8KcSkLV/20210227orange067-copy.jpg"" alt= ""Orange""> | 3, <img src=""https://i.postimg.cc/rpsF81Sm/20201010-Rose17577-Edit.jpg"" alt=""Flower""> | 4, <img src= ""https://i.postimg.cc/Df921Wfd/strawberry-copy.jpg"" alt= ""Strawberry"">",,,,,,[odor_sn] = '7'  OR [odor_manual_sn]='7',,LH,,,, @RANDOMORDER
odor_ident_2_coconut_1,scentinel_9_odors, ,radio,"<div style=""font-size: 14pt"">You selected ORANGE which was <font color=""red"">incorrect</font>. Please try again!</div>","1, <img src= ""https://i.postimg.cc/90N5FQXM/coconut1.jpg"" alt= ""Coconut""> | 2, <img src=""https://i.postimg.cc/rpsF81Sm/20201010-Rose17577-Edit.jpg"" alt=""Flower""> | 3, <img src= ""https://i.postimg.cc/Df921Wfd/strawberry-copy.jpg"" alt= ""Strawberry"">",,,,,,([odor_sn] = '7'  OR [odor_manual_sn]='7') and [odor_ident_coconut] = '2',,LH,,,,
odor_ident_2_coconut_2,scentinel_9_odors,,radio,"<div style=""font-size: 14pt"">You selected FLOWER which was <font color=""red"">incorrect</font>. Please try again!</div>","1, <img src= ""https://i.postimg.cc/90N5FQXM/coconut1.jpg"" alt= ""Coconut""> | 2, <img src= ""https://i.postimg.cc/L8KcSkLV/20210227orange067-copy.jpg"" alt= ""Orange""> | 3, <img src= ""https://i.postimg.cc/Df921Wfd/strawberry-copy.jpg"" alt= ""Strawberry"">",,,,,,([odor_sn] = '7'  OR [odor_manual_sn]='7') and [odor_ident_coconut] = '3',,LH,,,, @RANDOMORDER
odor_ident_2_coconut_3,scentinel_9_odors,,radio,"<div style=""font-size: 14pt"">You selected STRAWBERRY which was <font color=""red"">incorrect</font>. Please try again!</div>","1, <img src= ""https://i.postimg.cc/90N5FQXM/coconut1.jpg"" alt= ""Coconut""> | 2, <img src= ""https://i.postimg.cc/L8KcSkLV/20210227orange067-copy.jpg"" alt= ""Orange""> | 3, <img src=""https://i.postimg.cc/rpsF81Sm/20201010-Rose17577-Edit.jpg"" alt=""Flower"">",,,,,,([odor_sn] = '7'  OR [odor_manual_sn]='7') and [odor_ident_coconut] = '4',,LH,,,, @RANDOMORDER
odor_ident_smoke,scentinel_9_odors, ,radio,"<div style=""font-size: 14pt"">What does <font color=""blue"">ODOR [odor_discrim]</font> smell like?</div>","1, <img src=""https://i.postimg.cc/HsLQ7sz2/woody4.jpg"" alt=""Woody""> | 2, <img src= ""https://i.postimg.cc/90N5FQXM/coconut1.jpg"" alt= ""Coconut""> | 3, <img src= ""https://i.postimg.cc/TPTBLRkL/20210227banana060-copy.jpg"" alt= ""Banana""> | 4, <img src=""https://i.postimg.cc/Prr0SfqS/Sml-20201015-Bubble-Gum17647-Edit.jpg"" alt=""Bubble Gum"">",,,,,,[odor_sn] = '8'  OR [odor_manual_sn]='8',,LH,,,, @RANDOMORDER
odor_ident_2_smoke_1,scentinel_9_odors, ,radio,"<div style=""font-size: 14pt"">You selected COCONUT which was <font color=""red"">incorrect</font>. Please try again!</div>","1, <img src=""https://i.postimg.cc/HsLQ7sz2/woody4.jpg"" alt=""Woody""> | 2, <img src= ""https://i.postimg.cc/TPTBLRkL/20210227banana060-copy.jpg"" alt= ""Banana""> | 3, <img src=""https://i.postimg.cc/Prr0SfqS/Sml-20201015-Bubble-Gum17647-Edit.jpg"" alt=""Bubble Gum"">",,,,,,([odor_sn] = '8'  OR [odor_manual_sn]='8') and [odor_ident_smoke] = '2',,LH,,,, @RANDOMORDER
odor_ident_2_smoke_2,scentinel_9_odors,,radio,"<div style=""font-size: 14pt"">You selected BANANA which was <font color=""red"">incorrect</font>. Please try again!</div>","1, <img src=""https://i.postimg.cc/HsLQ7sz2/woody4.jpg"" alt=""Woody""> | 2, <img src= ""https://i.postimg.cc/90N5FQXM/coconut1.jpg"" alt= ""Coconut""> | 3, <img src=""https://i.postimg.cc/Prr0SfqS/Sml-20201015-Bubble-Gum17647-Edit.jpg"" alt=""Bubble Gum"">",,,,,,([odor_sn] = '8'  OR [odor_manual_sn]='8') and [odor_ident_smoke] = '3',,LH,,,, @RANDOMORDER
odor_ident_2_smoke_3,scentinel_9_odors,,radio,"<div style=""font-size: 14pt"">You selected BUBBLE GUM which was <font color=""red"">incorrect</font>. Please try again!</div>","1, <img src=""https://i.postimg.cc/HsLQ7sz2/woody4.jpg"" alt=""Woody""> | 2, <img src= ""https://i.postimg.cc/90N5FQXM/coconut1.jpg"" alt= ""Coconut""> | 3, <img src= ""https://i.postimg.cc/TPTBLRkL/20210227banana060-copy.jpg"" alt= ""Banana"">",,,,,,([odor_sn] = '8'  OR [odor_manual_sn]='8') and [odor_ident_smoke] = '4',,LH,,,, @RANDOMORDER
odor_ident_lemon,scentinel_9_odors, ,radio,"<div style=""font-size: 14pt"">What does <font color=""blue"">ODOR [odor_discrim]</font> smell like?</div>","1, <img src=""https://i.postimg.cc/7LTFSBLD/Sml-20201010-Lemon17635-Edit.jpg"" alt=""Lemon""> | 2, <img src=""https://i.postimg.cc/HsLQ7sz2/woody4.jpg"" alt=""Woody""> | 3, <img src= ""https://i.postimg.cc/Df921Wfd/strawberry-copy.jpg"" alt= ""Strawberry""> | 4, <img src=""https://i.postimg.cc/Prr0SfqS/Sml-20201015-Bubble-Gum17647-Edit.jpg"" alt=""Bubble Gum"">",,,,,,[odor_sn] = '9'  OR [odor_manual_sn]='9',,LH,,,, @RANDOMORDER
odor_ident_2_lemon_1,scentinel_9_odors, ,radio,"<div style=""font-size: 14pt"">You selected WOODY which was <font color=""red"">incorrect</font>. Please try again!</div>","1, <img src=""https://i.postimg.cc/7LTFSBLD/Sml-20201010-Lemon17635-Edit.jpg"" alt=""Lemon""> | 2, <img src= ""https://i.postimg.cc/Df921Wfd/strawberry-copy.jpg"" alt= ""Strawberry""> | 3, <img src=""https://i.postimg.cc/Prr0SfqS/Sml-20201015-Bubble-Gum17647-Edit.jpg"" alt=""Bubble Gum"">",,,,,,([odor_sn] = '9'  OR [odor_manual_sn]='9') and [odor_ident_lemon] = '2',,LH,,,, @RANDOMORDER
odor_ident_2_lemon_2,scentinel_9_odors,,radio,"<div style=""font-size: 14pt"">You selected STRAWBERRY which was <font color=""red"">incorrect</font>. Please try again!</div>","1, <img src=""https://i.postimg.cc/7LTFSBLD/Sml-20201010-Lemon17635-Edit.jpg"" alt=""Lemon""> | 2, <img src=""https://i.postimg.cc/HsLQ7sz2/woody4.jpg"" alt=""Woody""> | 3, <img src=""https://i.postimg.cc/Prr0SfqS/Sml-20201015-Bubble-Gum17647-Edit.jpg"" alt=""Bubble Gum"">",,,,,,([odor_sn] = '9'  OR [odor_manual_sn]='9') and [odor_ident_lemon] = '3',,LH,,,,
odor_ident_2_lemon_3,scentinel_9_odors,,radio,"<div style=""font-size: 14pt"">You selected BUBBLE GUM which was <font color=""red"">incorrect</font>. Please try again!</div>","1, <img src=""https://i.postimg.cc/7LTFSBLD/Sml-20201010-Lemon17635-Edit.jpg"" alt=""Lemon""> | 2, <img src=""https://i.postimg.cc/HsLQ7sz2/woody4.jpg"" alt=""Woody""> | 3, <img src= ""https://i.postimg.cc/Df921Wfd/strawberry-copy.jpg"" alt= ""Strawberry"">",,,,,,([odor_sn] = '9'  OR [odor_manual_sn]='9') and [odor_ident_lemon] = '4',,LH,,,, @RANDOMORDER
odor_hedonic,scentinel_9_odors, ,slider,"<div style=""font-size: 14pt;"">Please re-smell <span style=""color: #0000ff;"">ODOR [odor_discrim] </span>and rate the pleasantness of the odor.</div>",Very Unpleasant |  | Very Pleasant,Click on the slider first. Then move the slider.,number,,,,,,RH,,,, @HIDDEN-SURVEY
vomit_hedonic,scentinel_9_odors, ,slider,"<div style=""font-size: 14pt;"">Now imagine the smell of <span style=""color: #0000ff;"">vomit </span>and rate the pleasantness of that smell.</div>",Very Unpleasant |  | Very Pleasant,Click on the slider first. Then move the slider.,number,,,,,,RH,,,, @HIDDEN-SURVEY
scentinel_9_odors_complete,scentinel_9_odors,,text,end of scentinle_9_odors complete,,,,,,,,,,,,,
