Variable / Field Name,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,,,,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
grapechoice,,"<div class=""rich-text-field-label""><p>Please select from one of the following that best matches the FRUIT FLAVOR of the candy.</p></div>","1, Orange | 2, Grape | 3, Lime | 4, Apple",,,,,,,,,[first_candy_id] = '938',y,LH,,,,
raspberrychoice,,"<div class=""rich-text-field-label""><p>Please select from one of the following that best matches the FRUIT FLAVOR of the candy.</p></div>","1, Apple | 2, Grape | 3, Raspberry | 4, Peach",,,,,,,,,[first_candy_id] = '183',y,LH,,,,
pineapplechoice,,"<div class=""rich-text-field-label""><p>Please select from one of the following that best matches the FRUIT FLAVOR of the candy.</p></div>","1, Pineapple | 2, Lime | 3, Raspberry | 4, Orange",,,,,,,,,[first_candy_id] = '571',y,LH,,,,
orangechoice,,"<div class=""rich-text-field-label""><p>Please select from one of the following that best matches the FRUIT FLAVOR of the candy.</p></div>","1, Grape | 2, Orange | 3, Peach | 4, Pineapple",,,,,,,,,[first_candy_id] = '294',y,LH,,,,
applechoice,,"<div class=""rich-text-field-label""><p>Please select from one of the following that best matches the FRUIT FLAVOR of the candy.</p></div>","1, Orange | 2, Pineapple | 3, Raspberry | 4, Apple",,,,,,,,,[first_candy_id] = '785',y,LH,,,,
peachchoice,,"<div class=""rich-text-field-label""><p>Please select from one of the following that best matches the FRUIT FLAVOR of the candy.</p></div>","1, Apple | 2, Grape | 3, Peach | 4, Lime",,,,,,,,,[first_candy_id] = '806',y,LH,,,,
overall_liking,,"<div class=""rich-text-field-label""><p>How much do you LIKE/DISLIKE the fruit flavor of the candy?</p></div>","1, Dislike extremely | 2, Dislike very much | 3, Dislike moderately | 4, Dislike slightly | 5, Neither like nor dislike | 6, Like slightly | 7, Like moderately | 8, Like very much | 9, Like extremely",,,,,,,,,,y,,,,,
second_candy_id,,"<div class=""rich-text-field-label""><p>Please randomly select another bag of candy and select the 2nd candy number you are evaluating today:</p></div>","327, 327 | 938, 938 | 183, 183 | 571, 571 | 294, 294 | 785, 785 | 806, 806",,,,,,,,,[limechoice] = '2' or [limechoice] = '3' or [limechoice] = '4' or [grapechoice] = '1' or [grapechoice] = '3' or [grapechoice] = '4' or [raspberrychoice] = '1' or [raspberrychoice] = '2' or [raspberrychoice] = '4' or [pineapplechoice] = '2' or [pineapplechoice] = '3' or [pineapplechoice] = '4' or [orangechoice] = '1' or [orangechoice] = '3' or [orangechoice] = '4' or [applechoice] = '1' or [applechoice] = '2' or [applechoice] = '3' or [peachchoice] = '1' or [peachchoice] = '2' or [peachchoice] = '4',y,,,,,
limechoice_ortho_2,Unwrap the candy and smell it.,"<div class=""rich-text-field-label""><p style=""text-align: left;"">Unwrap the candy and SMELL it. Select from one of the following that best matches the FRUIT AROMA of the candy.</p></div>","1, Lime | 2, Pineapple | 3, Peach | 4, Raspberry",,,,,,,,,[second_candy_id] = '327',y,LH,,,,
grapechoice_ortho_2,,"<div class=""rich-text-field-label""><p style=""text-align: left;"">Unwrap the candy and SMELL it. Select from one of the following that best matches the FRUIT AROMA of the candy.</p></div>","1, Orange | 2, Grape | 3, Lime | 4, Apple",,,,,,,,,[second_candy_id] = '938',y,LH,,,,
pineapplechoice_ortho_2,,"<div class=""rich-text-field-label""><p style=""text-align: left;"">Unwrap the candy and SMELL it. Select from one of the following that best matches the FRUIT AROMA of the candy.</p></div>","1, Pineapple | 2, Lime | 3, Raspberry | 4, Orange",,,,,,,,,[second_candy_id] = '571',y,LH,,,,
raspberrychoice_ortho_2,,"<div class=""rich-text-field-label""><p>Unwrap the candy and SMELL it. Select from one of the following that best matches the FRUIT AROMA of the candy.</p></div>","1, Apple | 2, Grape | 3, Raspberry | 4, Peach",,,,,,,,,[second_candy_id] = '183',y,LH,,,,
orangechoice_ortho_2,,"<div class=""rich-text-field-label""><p style=""text-align: left;"">Unwrap the candy and SMELL it. Select from one of the following that best matches the FRUIT AROMA of the candy.</p></div>","1, Grape | 2, Orange | 3, Peach | 4, Pineapple",,,,,,,,,[second_candy_id] = '294',y,LH,,,,
applechoice_ortho_2,,"<div class=""rich-text-field-label""><p style=""text-align: left;"">Unwrap the candy and SMELL it. Select from one of the following that best matches the FRUIT AROMA of the candy.</p></div>","1, Orange | 2, Pineapple | 3, Raspberry | 4, Apple",,,,,,,,,[second_candy_id] = '785',y,LH,,,,
peachchoice_ortho_2,,"<div class=""rich-text-field-label""><p style=""text-align: left;"">Unwrap the candy and SMELL it. Select from one of the following that best matches the FRUIT AROMA of the candy.</p></div>","1, Apple | 2, Grape | 3, Peach | 4, Lime",,,,,,,,,[second_candy_id] = '806',y,LH,,,,
aroma_2,,"<div class=""rich-text-field-label""><p>Rate the FRUIT AROMA INTENSITY of the candy.</p></div>",No sensation |  | Extremely strong,,,,,,,,,"[age10] = '1' and ([second_candy_id] = ""327"" or [second_candy_id] = ""938"" or [second_candy_id] = ""183"" or [second_candy_id] = ""571"" or [second_candy_id] = ""294"" or [second_candy_id] = ""785"" or [second_candy_id] = ""806"")",y,LH,,,,
sweet_2,,"<div class=""rich-text-field-label""><p>Now taste the candy and rate the SWEETNESS INTENSITY of the candy.</p></div>",No sensation |  | Extremely strong,,,,,,,,,"[age10] = '1' and ([second_candy_id] = ""327"" or [second_candy_id] = ""938"" or [second_candy_id] = ""183"" or [second_candy_id] = ""571"" or [second_candy_id] = ""294"" or [second_candy_id] = ""785"" or [second_candy_id] = ""806"")",y,LH,,,,
sour_2,,"<div class=""rich-text-field-label""><p>Rate the SOURNESS INTENSITY of the candy.</p></div>",No sensation |  | Extremely strong,,,,,,,,,"[age10] = '1' and ([second_candy_id] = ""327"" or [second_candy_id] = ""938"" or [second_candy_id] = ""183"" or [second_candy_id] = ""571"" or [second_candy_id] = ""294"" or [second_candy_id] = ""785"" or [second_candy_id] = ""806"")",y,LH,,,,
flavor_2,,"<div class=""rich-text-field-label""><p>Please ignore the sweetness and sourness of the candy and rate the FRUIT FLAVOR INTENSITY of the candy.</p></div>",No sensation |  | Extremely strong,,,,,,,,,"[age10] = '1' and ([second_candy_id] = ""327"" or [second_candy_id] = ""938"" or [second_candy_id] = ""183"" or [second_candy_id] = ""571"" or [second_candy_id] = ""294"" or [second_candy_id] = ""785"" or [second_candy_id] = ""806"")",y,LH,,,,
aroma_kid_2,,"<div class=""rich-text-field-label""><p>How strong does the fruit candy smell?</p></div>","1, I can't smell anything | 2, I can smell it a little bit | 3, I can smell it easily | 4, It smells really strong",,,,,,,,,"[age10] = '0' and ([second_candy_id] = ""327"" or [second_candy_id] = ""938"" or [second_candy_id] = ""183"" or [second_candy_id] = ""571"" or [second_candy_id] = ""294"" or [second_candy_id] = ""785"" or [second_candy_id] = ""806"")",y,LH,,,,
sweet_kid_2,,"<div class=""rich-text-field-label""><p>Now taste the candy.</p> <p>How SWEET is the candy?</p></div>","1, I can't taste anything | 2, It tastes a little bit sweet | 3, It tastes pretty sweet | 4, It tastes really sweet",,,,,,,,,"[age10] = '0' and ([second_candy_id] = ""327"" or [second_candy_id] = ""938"" or [second_candy_id] = ""183"" or [second_candy_id] = ""571"" or [second_candy_id] = ""294"" or [second_candy_id] = ""785"" or [second_candy_id] = ""806"")",y,LH,,,,
sour_kid_2,,"<div class=""rich-text-field-label""><p>How SOUR is the candy? </p></div>","1, I can't taste anything | 2, It tastes a little bit sour | 3, It tastes pretty sour | 4, It tastes really sour",,,,,,,,,"[age10] = '0' and ([second_candy_id] = ""327"" or [second_candy_id] = ""938"" or [second_candy_id] = ""183"" or [second_candy_id] = ""571"" or [second_candy_id] = ""294"" or [second_candy_id] = ""785"" or [second_candy_id] = ""806"")",y,LH,,,,
flavor_kid_2,,"<div class=""rich-text-field-label""><p>How strong is the candy's FRUIT FLAVOR in your mouth?</p></div>","1, I can't taste any fruit flavor | 2, I can taste it a little bit | 3, I can taste it easily | 4, It tastes really strong",,,,,,,,,"[age10] = '0' and ([second_candy_id] = ""327"" or [second_candy_id] = ""938"" or [second_candy_id] = ""183"" or [second_candy_id] = ""571"" or [second_candy_id] = ""294"" or [second_candy_id] = ""785"" or [second_candy_id] = ""806"")",y,LH,,,,
limechoice2,,"<div class=""rich-text-field-label""><p>Please select from one of the following that best matches the FRUIT FLAVOR of the candy.</p></div>","1, Lime | 2, Pineapple | 3, Peach | 4, Raspberry",,,,,,,,,[second_candy_id] = '327',y,LH,,,,
grapechoice2,,"<div class=""rich-text-field-label""><p>Please select from one of the following that best matches the FRUIT FLAVOR of the candy.</p></div>","1, Orange | 2, Grape | 3, Lime | 4, Apple",,,,,,,,,[second_candy_id] = '938',y,LH,,,,
raspberrychoice_2,,"<div class=""rich-text-field-label""><p>Please select from one of the following that best matches the FRUIT FLAVOR of the candy.</p></div>","1, Apple | 2, Grape | 3, Raspberry | 4, Peach",,,,,,,,,[second_candy_id] = '183',y,LH,,,,
pineapplechoice_2,,"<div class=""rich-text-field-label""><p>Please select from one of the following that best matches the FRUIT FLAVOR of the candy.</p></div>","1, Pineapple | 2, Lime | 3, Raspberry | 4, Orange",,,,,,,,,[second_candy_id] = '571',y,LH,,,,
orangechoice_2,,"<div class=""rich-text-field-label""><p>Please select from one of the following that best matches the FRUIT FLAVOR of the candy.</p></div>","1, Grape | 2, Orange | 3, Peach | 4, Pineapple",,,,,,,,,[second_candy_id] = '294',y,LH,,,,
applechoice_2,,"<div class=""rich-text-field-label""><p>Please select from one of the following that best matches the FRUIT FLAVOR of the candy.</p></div>","1, Orange | 2, Pineapple | 3, Raspberry | 4, Apple",,,,,,,,,[second_candy_id] = '785',y,LH,,,,
peachchoice_2,,"<div class=""rich-text-field-label""><p>Please select from one of the following that best matches the FRUIT FLAVOR of the candy.</p></div>","1, Apple | 2, Grape | 3, Peach | 4, Lime",,,,,,,,,[second_candy_id] = '806',y,LH,,,,
overall_liking_2,,"<div class=""rich-text-field-label""><p>How much do you LIKE/DISLIKE the fruit flavor of the candy?</p></div>","1, Dislike extremely | 2, Dislike very much | 3, Dislike moderately | 4, Dislike slightly | 5, Neither like nor dislike | 6, Like slightly | 7, Like moderately | 8, Like very much | 9, Like extremely",,,,,,,,,"([second_candy_id] = ""327"" or [second_candy_id] = ""938"" or [second_candy_id] = ""183"" or [second_candy_id] = ""571"" or [second_candy_id] = ""294"" or [second_candy_id] = ""785"" or [second_candy_id] = ""806"")",y,,,,,
warning,,WARNING: You may be experiencing smell/taste loss. Did you receive this warning yesterday?,"0, Yes | 1, No",,,,,,,,,([limechoice] = '2' or [limechoice] = '3' or [limechoice] = '4' or [grapechoice] = '1' or [grapechoice] = '3' or [grapechoice] = '4' or [raspberrychoice] = '1' or [raspberrychoice] = '2' or [raspberrychoice] = '4' or [pineapplechoice] = '2' or [pineapplechoice] = '3' or [pineapplechoice] = '4' or [orangechoice] = '1' or [orangechoice] = '3' or [orangechoice] = '4' or [applechoice] = '1' or [applechoice] = '2' or [applechoice] = '3' or [peachchoice] = '1' or [peachchoice] = '2' or [peachchoice] = '4') AND ([limechoice2] = '2' or [limechoice2] = '3' or [limechoice2] = '4' or [grapechoice2] = '1' or [grapechoice2] = '3' or [grapechoice2] = '4' or [raspberrychoice_2] = '1' or [raspberrychoice_2] = '2' or [raspberrychoice_2] = '4' or [pineapplechoice_2] = '2' or [pineapplechoice_2] = '3' or [pineapplechoice_2] = '4' or [orangechoice_2] = '1' or [orangechoice_2] = '3' or [orangechoice_2] = '4' or [applechoice_2] = '1' or [applechoice_2] = '2' or [applechoice_2] = '3' or [peachchoice_2] = '1' or [peachchoice_2] = '2' or [peachchoice_2] = '4'),y,,,,,
can_uuid,"<div class=""rich-text-field-label""><p>MyCap App Fields - Do Not Modify</p></div>",UUID,,,,,,,,,,,,,,,, @MC-TASK-UUID
startdate,,Start Date,,,,,,,,,,,,,,,, @MC-TASK-STARTDATE
enddate,,End Date,,,,,,,,,,,,,,,, @MC-TASK-ENDDATE
scheduledate,,Schedule Date,,,,,,,,,,,,,,,, @MC-TASK-SCHEDULEDATE
status,,Status,"0, Deleted | 1, Completed | 2, Incomplete",,,,,,,,,,,,,,, @MC-TASK-STATUS
supplementaldata,,Supplemental Data (JSON),,,,,,,,,,,,,,,, @MC-TASK-SUPPLEMENTALDATA
serializedresult,,Serailized Result,,,,,,,,,,,,,,,, @MC-TASK-SERIALIZEDRESULT
instructions,,Please indicate your level of agreement/disagreement on the following statements regarding the usability and acceptability of this candy-based testing kit.,,,,,,,,,,,,,,,,
sus1,,I think that I would be willing to use this testing kit frequently.,"1, Strongly Disagree | 2, Disagree | 3, Neither Agree nor Disagree | 4, Agree | 5, Strongly Agree",,,,,,,,,,y,LV,,,,
sus2,,I found the instructions/procedures unnecessarily complex.,"1, Strongly Disagree | 2, Disagree | 3, Neither Agree nor Disagree | 4, Agree | 5, Strongly Agree",,,,,,,,,,y,LV,,,,
sus3,,I thought the testing kit was easy to use.,"1, Strongly Disagree | 2, Disagree | 3, Neither Agree nor Disagree | 4, Agree | 5, Strongly Agree",,,,,,,,,,y,LV,,,,
sus4,,I think that I would need the support of a technical person to be able to use this testing kit.,"1, Strongly Disagree | 2, Disagree | 3, Neither Agree nor Disagree | 4, Agree | 5, Strongly Agree",,,,,,,,,,y,LV,,,,
sus5,,I found the various components/procedures of this testing kit were well designed/explained.,"1, Strongly Disagree | 2, Disagree | 3, Neither Agree nor Disagree | 4, Agree | 5, Strongly Agree",,,,,,,,,,y,LV,,,,
sus6,,I thought there was too much inconsistency in this testing kit.,"1, Strongly Disagree | 2, Disagree | 3, Neither Agree nor Disagree | 4, Agree | 5, Strongly Agree",,,,,,,,,,y,LV,,,,
sus7,,I would imagine that most people would learn to use this testing kit very quickly.,"1, Strongly Disagree | 2, Disagree | 3, Neither Agree nor Disagree | 4, Agree | 5, Strongly Agree",,,,,,,,,,y,LV,,,,
sus8,,I found the testing kit very cumbersome to use.,"1, Strongly Disagree | 2, Disagree | 3, Neither Agree nor Disagree | 4, Agree | 5, Strongly Agree",,,,,,,,,,y,LV,,,,
sus9,,I felt very confident using the testing kit/following the instructions.,"1, Strongly Disagree | 2, Disagree | 3, Neither Agree nor Disagree | 4, Agree | 5, Strongly Agree",,,,,,,,,,y,LV,,,,
sus10,,I think I need to practice a few?times before I can get going with this testing kit.,"1, Strongly Disagree | 2, Disagree | 3, Neither Agree nor Disagree | 4, Agree | 5, Strongly Agree",,,,,,,,,,y,LV,,,,
tolerance, ,I could tolerate assessing a piece of candy daily.,"1, Strongly Disagree | 2, Disagree | 3, Neither Agree nor Disagree | 4, Agree | 5, Strongly Agree",,,,,,,,,,y,LV,,,,
candy_liking,,Please rate your overall liking on the candies of this testing kit.,"9, Like extremely | 8, Like very much | 7, Like moderately | 6, Like slightly | 5, Neither like nor dislike | 4, Dislike slightly | 3, Dislike moderately | 2, Dislike very much | 1, Dislike extremely",,,,,,,,,,y,LV,,,,
feedback,,Please provide any additional feedback you may have on your candy testing experience so far.,,,,,,,,,,,,,,,,
tes_uuid,MyCap App Fields - Do Not Modify,UUID,,,,,,,,,,,,,,,, @MC-TASK-UUID
tes_startdate,,Start Date,,,,,,,,,,,,,,,, @MC-TASK-STARTDATE
tes_enddate,,End Date,,,,,,,,,,,,,,,, @MC-TASK-ENDDATE
tes_scheduledate,,Schedule Date,,,,,,,,,,,,,,,, @MC-TASK-SCHEDULEDATE
tes_status,,Status,"0, Deleted | 1, Completed | 2, Incomplete",,,,,,,,,,,,,,, @MC-TASK-STATUS
tes_supplementaldata,,Supplemental Data (JSON),,,,,,,,,,,,,,,, @MC-TASK-SUPPLEMENTALDATA
tes_serializedresult,,Serailized Result,,,,,,,,,,,,,,,, @MC-TASK-SERIALIZEDRESULT
