variable_name,description,label,datatype,value_constraints,units,required,unique,CDE,form_name
30141-covid_tst_symptoms-6,"Symptoms experienced prior to getting tested, selected; Cough",Which of the following symptoms did you experience prior to getting tested? Cough,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30141-covid_tst_symptoms-7,"Symptoms experienced prior to getting tested, selected; Diarrhea",Which of the following symptoms did you experience prior to getting tested? Diarrhea,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30141-covid_tst_symptoms-8,"Symptoms experienced prior to getting tested, selected; Difficulty breathing",Which of the following symptoms did you experience prior to getting tested? Difficulty breathing,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30141-covid_tst_symptoms-9,"Symptoms experienced prior to getting tested, selected; Excessive sweating",Which of the following symptoms did you experience prior to getting tested? Excessive sweating,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30141-covid_tst_symptoms-10,"Symptoms experienced prior to getting tested, selected; Fatigue (more than normal)",Which of the following symptoms did you experience prior to getting tested? Fatigue (more than normal),categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30141-covid_tst_symptoms-11,"Symptoms experienced prior to getting tested, selected; Fever or feverish feeling",Which of the following symptoms did you experience prior to getting tested? Fever or feverish feeling,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30141-covid_tst_symptoms-12,"Symptoms experienced prior to getting tested, selected; Headaches",Which of the following symptoms did you experience prior to getting tested? Headaches,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30141-covid_tst_symptoms-13,"Symptoms experienced prior to getting tested, selected; Joint or any other unexplained pain",Which of the following symptoms did you experience prior to getting tested? Joint or any other unexplained pain,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30141-covid_tst_symptoms-14,"Symptoms experienced prior to getting tested, selected; Loss of balance",Which of the following symptoms did you experience prior to getting tested? Loss of balance,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30141-covid_tst_symptoms-15,"Symptoms experienced prior to getting tested, selected; Loss of taste",Which of the following symptoms did you experience prior to getting tested? Loss of taste,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30141-covid_tst_symptoms-16,"Symptoms experienced prior to getting tested, selected; Loss of smell",Which of the following symptoms did you experience prior to getting tested? Loss of smell,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30141-covid_tst_symptoms-17,"Symptoms experienced prior to getting tested, selected; Muscle aches (not due to exercise)",Which of the following symptoms did you experience prior to getting tested? Muscle aches (not due to exercise),categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30141-covid_tst_symptoms-18,"Symptoms experienced prior to getting tested, selected; New confusion",Which of the following symptoms did you experience prior to getting tested? New confusion,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30141-covid_tst_symptoms-19,"Symptoms experienced prior to getting tested, selected; Pinkeye or Conjunctivitis",Which of the following symptoms did you experience prior to getting tested? Pinkeye or Conjunctivitis,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30141-covid_tst_symptoms-21,"Symptoms experienced prior to getting tested, selected; Runny nose",Which of the following symptoms did you experience prior to getting tested? Runny nose,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30141-covid_tst_symptoms-23,"Symptoms experienced prior to getting tested, selected; Shortness of breath",Which of the following symptoms did you experience prior to getting tested? Shortness of breath,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30141-covid_tst_symptoms-25,"Symptoms experienced prior to getting tested, selected; Sore throat",Which of the following symptoms did you experience prior to getting tested? Sore throat,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30141-covid_tst_symptoms-26,"Symptoms experienced prior to getting tested, selected; Stomach or abdominal pain",Which of the following symptoms did you experience prior to getting tested? Stomach or abdominal pain,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30141-covid_tst_symptoms-28,"Symptoms experienced prior to getting tested, selected; Unusual shivering or shaking",Which of the following symptoms did you experience prior to getting tested? Unusual shivering or shaking,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30141-covid_tst_symptoms-29,"Symptoms experienced prior to getting tested, selected; Nausea or vomiting",Which of the following symptoms did you experience prior to getting tested? Nausea or vomiting,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30141-covid_tst_symptoms-30,"Symptoms experienced prior to getting tested, selected; Wheezing",Which of the following symptoms did you experience prior to getting tested? Wheezing,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30141-covid_tst_symptoms-31,"Symptoms experienced prior to getting tested, selected; Other",Which of the following symptoms did you experience prior to getting tested? Other,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30141-covid_tst_symptoms-998,"Symptoms experienced prior to getting tested, selected; None of the above",Which of the following symptoms did you experience prior to getting tested? None of the above,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
32008-testsypmtoms_specify,Other symptoms prior to testing for coronavirus,"Other symptoms prior to testing, please specify:",text,,,true,,,Symptom Screening
30144-flu_result,Last 30 Days FLU Tested Results,"In the past 30 days, have you been tested for the flu, and if so, what was the result of your most recent test?",categorical,"1, No, I have not been tested; 2, Yes, and I tested positive; 3, Yes, and I tested negative; 4, Yes, and my results were inconclusive; 5, Yes, and my results are still pending; 999, Prefer not to answer",,true,,,Symptom Screening
32027-flu_tst_date_deid,Number of days from day of Consent when Participant received a FLU test,What was the date of the FLU test that you received in the past 30 days (outside of this research study)?,integer,De-identified Value in Days,days,true,,,Symptom Screening
30147-flu_why-1,"The following best describes why the participant was tested for the Flu, selected; I had Flu symptoms (fever, cough, chills, nausea, etc…)","Which of the following best describes why you were tested for the Flu? I had Flu symptoms (fever, cough, chills, nausea, etc…)",categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30147-flu_why-3,"The following best describes why the participant was tested for the Flu, selected; Other",Which of the following best describes why you were tested for the Flu? Other,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30147-flu_why-999,"The following best describes why the participant was tested for the Flu, selected; Prefer not to answer",Which of the following best describes why you were tested for the Flu? Prefer not to answer,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
32009-flu_why_specify,Other reasons tested for FLU,"Other reasons tested for FLU, please specify:",text,,,true,,,Symptom Screening
30150-flu_tst_symptoms-1,"Symptoms experienced prior to getting tested, selected; Any tingling/numbness/swelling in hands or feet",Which of the following symptoms did you experience prior to getting tested? Any tingling/numbness/swelling in hands or feet,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30150-flu_tst_symptoms-3,"Symptoms experienced prior to getting tested, selected; Change in or loss of appetite",Which of the following symptoms did you experience prior to getting tested? Change in or loss of appetite,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30150-flu_tst_symptoms-5,"Symptoms experienced prior to getting tested, selected; Chills",Which of the following symptoms did you experience prior to getting tested? Chills,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30150-flu_tst_symptoms-6,"Symptoms experienced prior to getting tested, selected; Cough",Which of the following symptoms did you experience prior to getting tested? Cough,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30150-flu_tst_symptoms-7,"Symptoms experienced prior to getting tested, selected; Diarrhea",Which of the following symptoms did you experience prior to getting tested? Diarrhea,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30150-flu_tst_symptoms-8,"Symptoms experienced prior to getting tested, selected; Difficulty breathing",Which of the following symptoms did you experience prior to getting tested? Difficulty breathing,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30150-flu_tst_symptoms-9,"Symptoms experienced prior to getting tested, selected; Excessive sweating",Which of the following symptoms did you experience prior to getting tested? Excessive sweating,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30150-flu_tst_symptoms-10,"Symptoms experienced prior to getting tested, selected; Fatigue (more than normal)",Which of the following symptoms did you experience prior to getting tested? Fatigue (more than normal),categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30150-flu_tst_symptoms-12,"Symptoms experienced prior to getting tested, selected; Headaches",Which of the following symptoms did you experience prior to getting tested? Headaches,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30150-flu_tst_symptoms-13,"Symptoms experienced prior to getting tested, selected; Joint or any other unexplained pain",Which of the following symptoms did you experience prior to getting tested? Joint or any other unexplained pain,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30150-flu_tst_symptoms-15,"Symptoms experienced prior to getting tested, selected; Loss of taste",Which of the following symptoms did you experience prior to getting tested? Loss of taste,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30150-flu_tst_symptoms-16,"Symptoms experienced prior to getting tested, selected; Loss of smell",Which of the following symptoms did you experience prior to getting tested? Loss of smell,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30150-flu_tst_symptoms-21,"Symptoms experienced prior to getting tested, selected; Runny nose",Which of the following symptoms did you experience prior to getting tested? Runny nose,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30150-flu_tst_symptoms-23,"Symptoms experienced prior to getting tested, selected; Shortness of breath",Which of the following symptoms did you experience prior to getting tested? Shortness of breath,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30150-flu_tst_symptoms-30,"Symptoms experienced prior to getting tested, selected; Wheezing",Which of the following symptoms did you experience prior to getting tested? Wheezing,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
32010-flu_tst_specify,Other symptoms prior to testing for FLU,"Other symptoms prior to testing, please specify:",text,,,true,,,Symptom Screening
30153-symptoms-1,"In the last 14 days, the participant experienced the following symptoms, selected; None","In the last 14 days, did you experience any of the following symptoms? None",categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30153-symptoms-2,"In the last 14 days, the participant experienced the following symptoms, selected; Fever or feeling feverish","In the last 14 days, did you experience any of the following symptoms? Fever or feeling feverish",categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,Symptoms,Symptom Screening
30153-symptoms-3,"In the last 14 days, the participant experienced the following symptoms, selected; Muscle aches (not due to exercise)","In the last 14 days, did you experience any of the following symptoms? Muscle aches (not due to exercise)",categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,Symptoms,Symptom Screening
30153-symptoms-4,"In the last 14 days, the participant experienced the following symptoms, selected; Pinkeye or Conjunctivitis","In the last 14 days, did you experience any of the following symptoms? Pinkeye or Conjunctivitis",categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,Symptoms,Symptom Screening
30153-symptoms-5,"In the last 14 days, the participant experienced the following symptoms, selected; Fatigue (more than normal)","In the last 14 days, did you experience any of the following symptoms? Fatigue (more than normal)",categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,Symptoms,Symptom Screening
30153-symptoms-6,"In the last 14 days, the participant experienced the following symptoms, selected; Chills","In the last 14 days, did you experience any of the following symptoms? Chills",categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,Symptoms,Symptom Screening
30153-symptoms-999,"In the last 14 days, the participant experienced the following symptoms, selected; Prefer not to answer","In the last 14 days, did you experience any of the following symptoms? Prefer not to answer",categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30154-symptoms_resp-1,"In the last 14 days, did you experience any of the following respiratory symptoms? None","In the last 14 days, did you experience any of the following respiratory symptoms? None",categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30154-symptoms_resp-2,"In the last 14 days,  the participant experienced the following respiratory symptoms; Runny nose","In the last 14 days, did you experience any of the following respiratory symptoms? Runny nose",categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30154-symptoms_resp-3,"In the last 14 days,  the participant experienced the following respiratory symptoms; Cough","In the last 14 days, did you experience any of the following respiratory symptoms? Cough",categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,Symptoms,Symptom Screening
30154-symptoms_resp-4,"In the last 14 days,  the participant experienced the following respiratory symptoms; Difficulty breathing","In the last 14 days, did you experience any of the following respiratory symptoms? Difficulty breathing",categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,Symptoms,Symptom Screening
30154-symptoms_resp-5,"In the last 14 days,  the participant experienced the following respiratory symptoms; Wheezing","In the last 14 days, did you experience any of the following respiratory symptoms? Wheezing",categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30154-symptoms_resp-6,"In the last 14 days,  the participant experienced the following respiratory symptoms; Shortness of breath","In the last 14 days, did you experience any of the following respiratory symptoms? Shortness of breath",categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,Symptoms,Symptom Screening
30154-symptoms_resp-7,"In the last 14 days,  the participant experienced the following respiratory symptoms; Chest pain","In the last 14 days, did you experience any of the following respiratory symptoms? Chest pain",categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30154-symptoms_resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat","In the last 14 days, did you experience any of the following respiratory symptoms? Sore throat",categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30154-symptoms_resp-999,"In the last 14 days,  the participant experienced the following respiratory symptoms; Prefer not to answer","In the last 14 days, did you experience any of the following respiratory symptoms? Prefer not to answer",categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30155-symptom_resp_other,Respiratory pre-existing,Are these symptoms consistent with any chronic respiratory conditions you have?,categorical,"1, No; 2, Yes; 3, Not sure; 999, Prefer not to answer",,true,,,Symptom Screening
30156-symptom_gi-1,"In the last 14 days,  the participant experienced the following gastrointestinal symptoms; None","In the last 14 days, did you experience any of the following gastrointestinal symptoms? None",categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30156-symptom_gi-2,"In the last 14 days,  the participant experienced the following gastrointestinal symptoms; Diarrhea","In the last 14 days, did you experience any of the following gastrointestinal symptoms? Diarrhea",categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,Symptoms,Symptom Screening
30156-symptom_gi-3,"In the last 14 days,  the participant experienced the following gastrointestinal symptoms; Stomach or abdominal pain","In the last 14 days, did you experience any of the following gastrointestinal symptoms? Stomach or abdominal pain",categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,Symptoms,Symptom Screening
30156-symptom_gi-4,"In the last 14 days,  the participant experienced the following gastrointestinal symptoms; Change in or loss of appetite","In the last 14 days, did you experience any of the following gastrointestinal symptoms? Change in or loss of appetite",categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30156-symptom_gi-5,"In the last 14 days,  the participant experienced the following gastrointestinal symptoms; Nausea or vomiting","In the last 14 days, did you experience any of the following gastrointestinal symptoms? Nausea or vomiting",categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,Symptoms,Symptom Screening
30156-symptom_gi-999,"In the last 14 days,  the participant experienced the following gastrointestinal symptoms; Prefer not to answer","In the last 14 days, did you experience any of the following gastrointestinal symptoms? Prefer not to answer",categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30157-symtpom_gi_other,Gastrointestinal Pre-existing,"Are these symptoms consistent with any chronic gastrointestinal conditions you have, such as Celiac, Crohn's, Diverticulitis, GERD, Irritable Bowel Syndrome, food allergies, or other similar chronic conditions?",categorical,"1, No; 2, Yes; 3, Not sure; 999, Prefer not to answer",,true,,,Symptom Screening
30158-symtpom_neuro-1,"In the last 14 days,  the participant experienced the following neurological symptoms; None","In the last 14 days, did you experience any of the following neurological symptoms? None",categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30158-symtpom_neuro-2,"In the last 14 days,  the participant experienced the following neurological symptoms; Headaches","In the last 14 days, did you experience any of the following neurological symptoms? Headaches",categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,Symptoms,Symptom Screening
30158-symtpom_neuro-3,"In the last 14 days,  the participant experienced the following neurological symptoms; Loss of balance","In the last 14 days, did you experience any of the following neurological symptoms? Loss of balance",categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30158-symtpom_neuro-4,"In the last 14 days,  the participant experienced the following neurological symptoms; Slurred speech","In the last 14 days, did you experience any of the following neurological symptoms? Slurred speech",categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30158-symtpom_neuro-5,"In the last 14 days,  the participant experienced the following neurological symptoms; New confusion","In the last 14 days, did you experience any of the following neurological symptoms? New confusion",categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30158-symtpom_neuro-6,"In the last 14 days,  the participant experienced the following neurological symptoms; Unusual shivering or shaking","In the last 14 days, did you experience any of the following neurological symptoms? Unusual shivering or shaking",categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30158-symtpom_neuro-7,"In the last 14 days,  the participant experienced the following neurological symptoms; Loss of smell","In the last 14 days, did you experience any of the following neurological symptoms? Loss of smell",categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,Symptoms,Symptom Screening
30158-symtpom_neuro-8,"In the last 14 days,  the participant experienced the following neurological symptoms; Loss of taste","In the last 14 days, did you experience any of the following neurological symptoms? Loss of taste",categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,Symptoms,Symptom Screening
30158-symtpom_neuro-9,"In the last 14 days,  the participant experienced the following neurological symptoms; Any tingling/numbness/swelling in hands or feet","In the last 14 days, did you experience any of the following neurological symptoms? Any tingling/numbness/swelling in hands or feet",categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30158-symtpom_neuro-999,"In the last 14 days,  the participant experienced the following neurological symptoms; Prefer not to answer","In the last 14 days, did you experience any of the following neurological symptoms? Prefer not to answer",categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30159-symptom_neuro_other,Neurological pre-existing,"Are these symptoms consistent with any chronic neurological conditions you have, such as migraines, stroke, or other similar chronic conditions?",categorical,"1, No; 2, Yes; 3, Not sure; 999, Prefer not to answer",,true,,,Symptom Screening
30160-symptom_inflamm-1,"In the last 14 days,  the participant experienced the following  inflammatory symptoms; None","In the last 14 days, did you experience any of the following inflammatory symptoms? None",categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30160-symptom_inflamm-2,"In the last 14 days,  the participant experienced the following  inflammatory symptoms; Joint or any other unexplained pain","In the last 14 days, did you experience any of the following inflammatory symptoms? Joint or any other unexplained pain",categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30160-symptom_inflamm-3,"In the last 14 days,  the participant experienced the following  inflammatory symptoms; Red or purple rash or lesions on your toes","In the last 14 days, did you experience any of the following inflammatory symptoms? Red or purple rash or lesions on your toes",categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,Symptoms,Symptom Screening
30160-symptom_inflamm-4,"In the last 14 days,  the participant experienced the following  inflammatory symptoms; Unexplained rashes anywhere else","In the last 14 days, did you experience any of the following inflammatory symptoms? Unexplained rashes anywhere else",categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,Symptoms,Symptom Screening
30160-symptom_inflamm-5,"In the last 14 days,  the participant experienced the following  inflammatory symptoms; Excessive sweating","In the last 14 days, did you experience any of the following inflammatory symptoms? Excessive sweating",categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30160-symptom_inflamm-999,"In the last 14 days,  the participant experienced the following  inflammatory symptoms; Prefer not to answer","In the last 14 days, did you experience any of the following inflammatory symptoms? Prefer not to answer",categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30161-symptom_inflamm_othe,Inflammatory pre-existing,"Are these symptoms consistent with any chronic immune system conditions you have, such as Graves' disease, Lupus, Lyme disease, Rheumatoid arthritis or other similar chronic conditions?",categorical,"1, No; 2, Yes; 3, Not sure; 999, Prefer not to answer",,true,,,Symptom Screening
32588-symptoms_ill_1,(If applicable) The participant indicates this was a first symptom related to: Any tingling/numbness/swelling in hands or feet,Did you experience this symptom first? Any tingling/numbness/swelling in hands or feet,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,false,,,Symptom Screening
32589-symptoms_ill_2,(If applicable) The participant indicates this was a first symptom related to: Bluish lips or face,Did you experience this symptom first? Bluish lips or face,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,false,,,Symptom Screening
32590-symptoms_ill_3,(If applicable) The participant indicates this was a first symptom related to: Change in or loss of appetite,Did you experience this symptom first? Change in or loss of appetite,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,false,,,Symptom Screening
32591-symptoms_ill_4,(If applicable) The participant indicates this was a first symptom related to: Chest pain,Did you experience this symptom first? Chest pain,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,false,,,Symptom Screening
32592-symptoms_ill_5,(If applicable) The participant indicates this was a first symptom related to: Chills,Did you experience this symptom first? Chills,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,false,,,Symptom Screening
32593-symptoms_ill_6,(If applicable) The participant indicates this was a first symptom related to: Cough,Did you experience this symptom first? Cough,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,false,,,Symptom Screening
32594-symptoms_ill_7,(If applicable) The participant indicates this was a first symptom related to: Diarrhea,Did you experience this symptom first? Diarrhea,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,false,,,Symptom Screening
32595-symptoms_ill_8,(If applicable) The participant indicates this was a first symptom related to: Difficulty breathing,Did you experience this symptom first? Difficulty breathing,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,false,,,Symptom Screening
32596-symptoms_ill_9,(If applicable) The participant indicates this was a first symptom related to: Excessive sweating,Did you experience this symptom first? Excessive sweating,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,false,,,Symptom Screening
32597-symptoms_ill_10,(If applicable) The participant indicates this was a first symptom related to: Fatigue (more than normal),Did you experience this symptom first? Fatigue (more than normal),categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,false,,,Symptom Screening
32598-symptoms_ill_11,(If applicable) The participant indicates this was a first symptom related to: Fever or feverish feeling,Did you experience this symptom first? Fever or feverish feeling,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,false,,,Symptom Screening
32599-symptoms_ill_12,(If applicable) The participant indicates this was a first symptom related to: Headaches,Did you experience this symptom first? Headaches,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,false,,,Symptom Screening
32600-symptoms_ill_13,(If applicable) The participant indicates this was a first symptom related to: Joint or any other unexplained pain,Did you experience this symptom first? Joint or any other unexplained pain,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,false,,,Symptom Screening
32601-symptoms_ill_14,(If applicable) The participant indicates this was a first symptom related to: Loss of balance,Did you experience this symptom first? Loss of balance,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,false,,,Symptom Screening
32602-symptoms_ill_15,(If applicable) The participant indicates this was a first symptom related to: Loss of taste,Did you experience this symptom first? Loss of taste,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,false,,,Symptom Screening
32603-symptoms_ill_16,(If applicable) The participant indicates this was a first symptom related to: Loss of smell,Did you experience this symptom first? Loss of smell,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,false,,,Symptom Screening
32604-symptoms_ill_17,(If applicable) The participant indicates this was a first symptom related to: Muscle aches (not due to exercise),Did you experience this symptom first? Muscle aches (not due to exercise),categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,false,,,Symptom Screening
32605-symptoms_ill_18,(If applicable) The participant indicates this was a first symptom related to: New confusion,Did you experience this symptom first? New confusion,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,false,,,Symptom Screening
32606-symptoms_ill_19,(If applicable) The participant indicates this was a first symptom related to: Pinkeye or Conjunctivitis,Did you experience this symptom first? Pinkeye or Conjunctivitis,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,false,,,Symptom Screening
32607-symptoms_ill_20,(If applicable) The participant indicates this was a first symptom related to: Red or purple rash or lesions on your toes,Did you experience this symptom first? Red or purple rash or lesions on your toes,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,false,,,Symptom Screening
32608-symptoms_ill_21,(If applicable) The participant indicates this was a first symptom related to: Runny nose,Did you experience this symptom first? Runny nose,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,false,,,Symptom Screening
32609-symptoms_ill_22,(If applicable) The participant indicates this was a first symptom related to: Seizures,Did you experience this symptom first? Seizures,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,false,,,Symptom Screening
32610-symptoms_ill_23,(If applicable) The participant indicates this was a first symptom related to: Shortness of breath,Did you experience this symptom first? Shortness of breath,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,false,,,Symptom Screening
32611-symptoms_ill_24,(If applicable) The participant indicates this was a first symptom related to: Slurred speech,Did you experience this symptom first? Slurred speech,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,false,,,Symptom Screening
32612-symptoms_ill_25,(If applicable) The participant indicates this was a first symptom related to: Sore throat,Did you experience this symptom first? Sore throat,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,false,,,Symptom Screening
32613-symptoms_ill_26,(If applicable) The participant indicates this was a first symptom related to: Stomach or abdominal pain,Did you experience this symptom first? Stomach or abdominal pain,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,false,,,Symptom Screening
32614-symptoms_ill_27,(If applicable) The participant indicates this was a first symptom related to: Unexplained rashes anywhere else,Did you experience this symptom first? Unexplained rashes anywhere else,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,false,,,Symptom Screening
32615-symptoms_ill_28,(If applicable) The participant indicates this was a first symptom related to: Unusual shivering or shaking,Did you experience this symptom first? Unusual shivering or shaking,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,false,,,Symptom Screening
32616-symptoms_ill_29,(If applicable) The participant indicates this was a first symptom related to: Nausea or vomiting,Did you experience this symptom first? Nausea or vomiting,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,false,,,Symptom Screening
32617-symptoms_ill_30,(If applicable) The participant indicates this was a first symptom related to: Wheezing,Did you experience this symptom first? Wheezing,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,false,,,Symptom Screening
32618-symptoms_ill_999,Participant declines to provide details on first symptoms,Select this if you are not willing to share your first symptoms,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,false,,,Symptom Screening
33473-_symptom_success,"System generated variable, not required",,text,,,false,,,Symptom Screening
