datatype,variable_name,description,value_constraints
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__SORE_THROAT__5_DAYS_AGO,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Sore throat | 5 days ago","[""""5_days_ago""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__SORE_THROAT__6_DAYS_AGO,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Sore throat | 6 days ago","[""""6_days_ago""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__MUSCLE_OR_BODY_ACHES__TODAY,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Muscle or body aches | Today","[""""today""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__MUSCLE_OR_BODY_ACHES__YESTERDAY,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Muscle or body aches | Yesterday","[""""yesterday""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__MUSCLE_OR_BODY_ACHES__2_DAYS_AGO,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Muscle or body aches | 2 days ago","[""""2_days_ago""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__MUSCLE_OR_BODY_ACHES__3_DAYS_AGO,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Muscle or body aches | 3 days ago","[""""3_days_ago""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__MUSCLE_OR_BODY_ACHES__4_DAYS_AGO,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Muscle or body aches | 4 days ago","[""""4_days_ago""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__MUSCLE_OR_BODY_ACHES__5_DAYS_AGO,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Muscle or body aches | 5 days ago","[""""5_days_ago""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__MUSCLE_OR_BODY_ACHES__6_DAYS_AGO,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Muscle or body aches | 6 days ago","[""""6_days_ago""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__FATIGUE_FEELING_WEAK_OR_TIRED__TODAY,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Fatigue (feeling weak or tired) | Today","[""""today""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__FATIGUE_FEELING_WEAK_OR_TIRED__YESTERDAY,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Fatigue (feeling weak or tired) | Yesterday","[""""yesterday""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__FATIGUE_FEELING_WEAK_OR_TIRED__2_DAYS_AGO,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Fatigue (feeling weak or tired) | 2 days ago","[""""2_days_ago""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__FATIGUE_FEELING_WEAK_OR_TIRED__3_DAYS_AGO,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Fatigue (feeling weak or tired) | 3 days ago","[""""3_days_ago""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__FATIGUE_FEELING_WEAK_OR_TIRED__4_DAYS_AGO,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Fatigue (feeling weak or tired) | 4 days ago","[""""4_days_ago""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__FATIGUE_FEELING_WEAK_OR_TIRED__5_DAYS_AGO,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Fatigue (feeling weak or tired) | 5 days ago","[""""5_days_ago""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__FATIGUE_FEELING_WEAK_OR_TIRED__6_DAYS_AGO,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Fatigue (feeling weak or tired) | 6 days ago","[""""6_days_ago""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__HEADACHE__TODAY,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Headache | Today","[""""today""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__HEADACHE__YESTERDAY,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Headache | Yesterday","[""""yesterday""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__HEADACHE__2_DAYS_AGO,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Headache | 2 days ago","[""""2_days_ago""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__HEADACHE__3_DAYS_AGO,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Headache | 3 days ago","[""""3_days_ago""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__HEADACHE__4_DAYS_AGO,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Headache | 4 days ago","[""""4_days_ago""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__HEADACHE__5_DAYS_AGO,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Headache | 5 days ago","[""""5_days_ago""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__HEADACHE__6_DAYS_AGO,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Headache | 6 days ago","[""""6_days_ago""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__NASAL_CONGESTION_HAVING_A_STUFFY_NOSE_OR_A_RUNNY_NOSE__TODAY,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Nasal congestion (having a stuffy nose) or a runny nose | Today","[""""today""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__NASAL_CONGESTION_HAVING_A_STUFFY_NOSE_OR_A_RUNNY_NOSE__YESTERDAY,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Nasal congestion (having a stuffy nose) or a runny nose | Yesterday","[""""yesterday""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__NASAL_CONGESTION_HAVING_A_STUFFY_NOSE_OR_A_RUNNY_NOSE__2_DAYS_AGO,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Nasal congestion (having a stuffy nose) or a runny nose | 2 days ago","[""""2_days_ago""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__NASAL_CONGESTION_HAVING_A_STUFFY_NOSE_OR_A_RUNNY_NOSE__3_DAYS_AGO,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Nasal congestion (having a stuffy nose) or a runny nose | 3 days ago","[""""3_days_ago""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__NASAL_CONGESTION_HAVING_A_STUFFY_NOSE_OR_A_RUNNY_NOSE__4_DAYS_AGO,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Nasal congestion (having a stuffy nose) or a runny nose | 4 days ago","[""""4_days_ago""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__NASAL_CONGESTION_HAVING_A_STUFFY_NOSE_OR_A_RUNNY_NOSE__5_DAYS_AGO,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Nasal congestion (having a stuffy nose) or a runny nose | 5 days ago","[""""5_days_ago""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__NASAL_CONGESTION_HAVING_A_STUFFY_NOSE_OR_A_RUNNY_NOSE__6_DAYS_AGO,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Nasal congestion (having a stuffy nose) or a runny nose | 6 days ago","[""""6_days_ago""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__SNEEZING__TODAY,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Sneezing | Today","[""""today""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__SNEEZING__YESTERDAY,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Sneezing | Yesterday","[""""yesterday""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__SNEEZING__2_DAYS_AGO,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Sneezing | 2 days ago","[""""2_days_ago""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__SNEEZING__3_DAYS_AGO,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Sneezing | 3 days ago","[""""3_days_ago""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__SNEEZING__4_DAYS_AGO,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Sneezing | 4 days ago","[""""4_days_ago""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__SNEEZING__5_DAYS_AGO,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Sneezing | 5 days ago","[""""5_days_ago""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__SNEEZING__6_DAYS_AGO,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Sneezing | 6 days ago","[""""6_days_ago""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__NAUSEA_FEELING_LIKE_YOU_WANTED_TO_THROW_UP_AND_OR_VOMITING__TODAY,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Nausea (feeling like you wanted to throw up) and/or vomiting | Today","[""""today""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__NAUSEA_FEELING_LIKE_YOU_WANTED_TO_THROW_UP_AND_OR_VOMITING__YESTERDAY,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Nausea (feeling like you wanted to throw up) and/or vomiting | Yesterday","[""""yesterday""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__NAUSEA_FEELING_LIKE_YOU_WANTED_TO_THROW_UP_AND_OR_VOMITING__2_DAYS_AGO,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Nausea (feeling like you wanted to throw up) and/or vomiting | 2 days ago","[""""2_days_ago""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__NAUSEA_FEELING_LIKE_YOU_WANTED_TO_THROW_UP_AND_OR_VOMITING__3_DAYS_AGO,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Nausea (feeling like you wanted to throw up) and/or vomiting | 3 days ago","[""""3_days_ago""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__NAUSEA_FEELING_LIKE_YOU_WANTED_TO_THROW_UP_AND_OR_VOMITING__4_DAYS_AGO,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Nausea (feeling like you wanted to throw up) and/or vomiting | 4 days ago","[""""4_days_ago""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__NAUSEA_FEELING_LIKE_YOU_WANTED_TO_THROW_UP_AND_OR_VOMITING__5_DAYS_AGO,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Nausea (feeling like you wanted to throw up) and/or vomiting | 5 days ago","[""""5_days_ago""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__NAUSEA_FEELING_LIKE_YOU_WANTED_TO_THROW_UP_AND_OR_VOMITING__6_DAYS_AGO,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Nausea (feeling like you wanted to throw up) and/or vomiting | 6 days ago","[""""6_days_ago""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__DIARRHEA__TODAY,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Diarrhea | Today","[""""today""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__DIARRHEA__YESTERDAY,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Diarrhea | Yesterday","[""""yesterday""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__DIARRHEA__2_DAYS_AGO,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Diarrhea | 2 days ago","[""""2_days_ago""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__DIARRHEA__3_DAYS_AGO,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Diarrhea | 3 days ago","[""""3_days_ago""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__DIARRHEA__4_DAYS_AGO,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Diarrhea | 4 days ago","[""""4_days_ago""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__DIARRHEA__5_DAYS_AGO,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Diarrhea | 5 days ago","[""""5_days_ago""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__DIARRHEA__6_DAYS_AGO,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Diarrhea | 6 days ago","[""""6_days_ago""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__ABDOMINAL_STOMACH_OR_BELLY_PAIN__TODAY,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Abdominal, stomach, or belly pain | Today","[""""today""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__ABDOMINAL_STOMACH_OR_BELLY_PAIN__YESTERDAY,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Abdominal, stomach, or belly pain | Yesterday","[""""yesterday""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__ABDOMINAL_STOMACH_OR_BELLY_PAIN__2_DAYS_AGO,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Abdominal, stomach, or belly pain | 2 days ago","[""""2_days_ago""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__ABDOMINAL_STOMACH_OR_BELLY_PAIN__3_DAYS_AGO,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Abdominal, stomach, or belly pain | 3 days ago","[""""3_days_ago""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__ABDOMINAL_STOMACH_OR_BELLY_PAIN__4_DAYS_AGO,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Abdominal, stomach, or belly pain | 4 days ago","[""""4_days_ago""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__ABDOMINAL_STOMACH_OR_BELLY_PAIN__5_DAYS_AGO,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Abdominal, stomach, or belly pain | 5 days ago","[""""5_days_ago""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__ABDOMINAL_STOMACH_OR_BELLY_PAIN__6_DAYS_AGO,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Abdominal, stomach, or belly pain | 6 days ago","[""""6_days_ago""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__RASH__TODAY,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Rash | Today","[""""today""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__RASH__YESTERDAY,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Rash | Yesterday","[""""yesterday""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__RASH__2_DAYS_AGO,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Rash | 2 days ago","[""""2_days_ago""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__RASH__3_DAYS_AGO,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Rash | 3 days ago","[""""3_days_ago""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__RASH__4_DAYS_AGO,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Rash | 4 days ago","[""""4_days_ago""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__RASH__5_DAYS_AGO,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Rash | 5 days ago","[""""5_days_ago""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__RASH__6_DAYS_AGO,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Rash | 6 days ago","[""""6_days_ago""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__SHORTNESS_OF_BREATH_OR_DIFFICULTY_BREATHING__TODAY,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Shortness of breath or difficulty breathing | Today","[""""today""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__SHORTNESS_OF_BREATH_OR_DIFFICULTY_BREATHING__YESTERDAY,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Shortness of breath or difficulty breathing | Yesterday","[""""yesterday""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__SHORTNESS_OF_BREATH_OR_DIFFICULTY_BREATHING__2_DAYS_AGO,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Shortness of breath or difficulty breathing | 2 days ago","[""""2_days_ago""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__SHORTNESS_OF_BREATH_OR_DIFFICULTY_BREATHING__3_DAYS_AGO,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Shortness of breath or difficulty breathing | 3 days ago","[""""3_days_ago""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__SHORTNESS_OF_BREATH_OR_DIFFICULTY_BREATHING__4_DAYS_AGO,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Shortness of breath or difficulty breathing | 4 days ago","[""""4_days_ago""""]"
