variable_name,form_name,section_header,ui,label,value_constraints,field_note,pattern,min,max,branching_logic,required,Custom Alignment,question_id,Matrix Group Name,description,source_file,source_directory,Digest (variable_name|source_file|source_directory)
vaccine_options,tier2_vaccine_acceptance,"In deciding whether to get the COVID-19 vaccine, how important are/were these statements to you ?  
1 = Not Important, 3 = Neutral,  5 = Very Important",radio,"On a scale of 1-5, How informed are you that you know which vaccine option is right for you?  (1 is least informed, 5 is most informed)","1, 1- Least informed | 2, 2 | 3, 3 | 4, 4 | 5, 5 - Most informed | 98, Don't know | 99, Prefer not to answer",,,,,,,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,7e3c304975bdd82ee14b221ee43c0f8b29b98e19574946e32f7fbb3bbf5e5e8cb4c8ad8088ec54fa9254435bda9bf02d83c95c8e358aa40af9ee0c35762237bf
vaccine_requirement,tier2_vaccine_acceptance,"In deciding whether to get the COVID-19 vaccine, how important are/were these statements to you ?  
1 = Not Important, 3 = Neutral,  5 = Very Important",radio,Is the vaccine required by your school or job?,"1, Yes | 0, No | 98, Don't know | 99, Prefer not to answer",,,,,,,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,0fb68ade8e8e508379cb5a1a9e6f0618856d4f3cd8d99a69bf08ac64aa974e583007dbf2694357bb644bf134515811604c5780e3df78660a3394322d5b8701f0
vaccine_booster,tier2_vaccine_acceptance,"In deciding whether to get the COVID-19 vaccine, how important are/were these statements to you ?  
1 = Not Important, 3 = Neutral,  5 = Very Important",radio,"If you are given a recommendation for a vaccine booster, will you get a booster?","1, Yes | 0, No | 98, Don't know | 99, Prefer not to answer",,,,,,,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,c7233932886c68a57a1bfae89132c7077dc5251e176612e5dfe32bf74ea352febd9acacf4e29dafc56bb9cae9c6025592f6d0bec444f344005066a3241edec62
test_percvaccuneg_2,tier2_testing,Perceived accuracy of testing,radio,How confident are you that a negative test result means that you do not have COVID-19?,"0, Not at all confident | 1, Somewhat confident | 2, Confident | 3, Very confident| 99, Prefer not to answer",,,,,,,,,,RADX UP,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,29f4891029aedab789706de4dcf439881802d29239d4152a965925a3ae269822aff55b4f1493e1c6c94d365bfcdfac1992a283f81fcaa497434e362e4b641a20
test_percvaccupos_2,tier2_testing,Perceived accuracy of testing,radio,How confident are you that a positive test result means that you do have COVID-19?,"0, Not at all confident | 1, Somewhat confident | 2, Confident | 3, Very confident| 99, Prefer not to answer",,,,,,,,,,RADX UP,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,cbc86e6c8098ce4bcecbd8dfc391656af829d88f644dc1e05d4dd39025c641d41c433580d0bfc813ed72015104d49fcc2a7a10be164307dc14590cb57f53243d
test_pbene,tier2_testing,Perceived benefits of testing,descriptive,How much do the following encourage you to get tested?,,,,,,,,,,,RADX UP,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,82bedad12f17a5bdc97e12fb57fba7c8133a265fda392b05f543e9f540756506556446100c848ce8e656b75138c565f6d125bd88c495954373f738b3f7c50d37
test_pbeneworry_2,tier2_testing,Perceived benefits of testing,radio,Reduce worry that I might have COVID-19.,"0, Not at all | 1, Slightly | 2, Somewhat | 3, Moderately | 4, Very much| 99, Prefer not to answer",,,,,,,,,test_pbene_list,RADX UP,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,b2ba36b3c2564877e2fca06443fc768e2f6ad201680e1458c05e126e0c5a22188e00ffdb71bab7c212154d9717ffc213a5d8d4f6d6ad2e057f4bc3479dad18c0
test_pbeneexposed_2,tier2_testing,Perceived benefits of testing,radio,Believe that I was exposed to someone who has COVID-19.,"0, Not at all | 1, Slightly | 2, Somewhat | 3, Moderately | 4, Very much| 99, Prefer not to answer",,,,,,,,,test_pbene_list,RADX UP,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,dce87693145d05bb6066bc9ba00b193e819c19ee6dd9f6882bc6d903f5545b873a72cc46ddb7461c28cdbfd0bf106752a0ca5e64acddc42393a1c092d2d0b487
test_pbenesafe_2,tier2_testing,Perceived benefits of testing,radio,To know if I am safe not to give COVID-19 to friends and family.,"0, Not at all | 1, Slightly | 2, Somewhat | 3, Moderately | 4, Very much| 99, Prefer not to answer",,,,,,,,,test_pbene_list,RADX UP,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,8490bea06276b2d6b477df32e9d7462302e06f1ae5283f717812979bc193476fc455469c6aace34d557b6d531a025ad7c3a64da8dc54e4761d758db8df63c296
test_pbenearound_2,tier2_testing,Perceived benefits of testing,radio,To know if I am safe not to give COVID-19 to anyone I am around.,"0, Not at all | 1, Slightly | 2, Somewhat | 3, Moderately | 4, Very much| 99, Prefer not to answer",,,,,,,,,test_pbene_list,RADX UP,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,1c52de6e722318e2947887e0176eb36132f11d484f14a01bac79d74ac67da428a70528429287f76be685c0105e7a2d0faf4249b7edb1e9d3bcedcbd8ac0d2bac
test_pbenework_2,tier2_testing,Perceived benefits of testing,radio,To let my employer know that I am safe to work.,"0, Not at all | 1, Slightly | 2, Somewhat | 3, Moderately | 4, Very much| 99, Prefer not to answer",,,,,,,,,test_pbene_list,RADX UP,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,97b93f472dcc5d07b3b258a81ea0312352c79428c33d4dc29e7477b698537f698660c8201aaac0e131abf74aa4db91fd2b173c9819dd9d4d5d42329ff0905b4f
test_pbenepos_2,tier2_testing,Perceived benefits of testing,radio,To get treated early (if I am positive).,"0, Not at all | 1, Slightly | 2, Somewhat | 3, Moderately | 4, Very much| 99, Prefer not to answer",,,,,,,,,test_pbene_list,RADX UP,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,1c40a46a2be964c62c4d5ae6fcc61293eca938f0009bf6907ff18d23c6d11d5dcbdb6e1164373c0d98e36140377233f182b96128c83fc7f3d7e3acefeb13c000
test_prisk,tier2_testing,Perceived risks of testing,descriptive,How much do the following discourage you to get tested?,,,,,,,,,,,RADX UP,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,461cd37354d6be324a5f4be762d8e9b9ddd2bcb14defaef0e12f7124f6a1c5470dc2a262dfdbeef36b576f8d0d042f0c4a91f1c1b366226bda55c50fddf02c33
test_priskouch_2,tier2_testing,Perceived risks of testing,radio,May experience discomfort from being tested.,"0, Not at all | 1, Slightly | 2, Somewhat | 3, Moderately | 4, Very much| 99, Prefer not to answer",,,,,,,,,test_prisk_list,RADX UP,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,ba1ff8a9faa9e21d94edf2899efccb1357a80b0cd3a7bdb55fc0dc2de5c7bd5759edf4bc5dd0304651412cecd2b00d8aacf532560016abb633215b885b7fe926
test_prisklater_2,tier2_testing,Perceived risks of testing,radio,"Even if I don't have it when tested, I can still get COVID-19 later.","0, Not at all | 1, Slightly | 2, Somewhat | 3, Moderately | 4, Very much| 99, Prefer not to answer",,,,,,,,,test_prisk_list,RADX UP,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,b726a5825eb8505a7a3af3673457fa53d5b5cb4632f76335964253837128d7d2eb969291cbe2d3bdbb3c0652ca70449a25bd85ac64ac542049fe9acdadd199bc
test_prisknosymp_2,tier2_testing,Perceived risks of testing,radio,I don't have COVID-19 symptoms so I don't need to be tested.,"0, Not at all | 1, Slightly | 2, Somewhat | 3, Moderately | 4, Very much| 99, Prefer not to answer",,,,,,,,,test_prisk_list,RADX UP,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,ded615465ce345e0e844719cd7b7e6bd63847880fe1de8c12d4d3592d6f29e9e96fefd7bd18694f89def0f8ae32d986ea4f755160846141fc8da5ef573eabe73
test_priskcontact_2,tier2_testing,Perceived risks of testing,radio,"If I'm positive, officials will need to contact the people I've been in contact with.","0, Not at all | 1, Slightly | 2, Somewhat | 3, Moderately | 4, Very much| 99, Prefer not to answer",,,,,,,,,test_prisk_list,RADX UP,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,a93b487fb3b30ec3e458924bc65227f6bf65781b701e5992ddd3bc2a1bc2e285fa51f6183a3c7002efbc4f091faf362a673c17c243ec836b10bc0a7260fdb26e
test_priskknow_2,tier2_testing,Perceived risks of testing,radio,I don't want to know if I have it.,"0, Not at all | 1, Slightly | 2, Somewhat | 3, Moderately | 4, Very much| 99, Prefer not to answer",,,,,,,,,test_prisk_list,RADX UP,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,8a673e85c3f9a4ebd35158da8a27c1fa62b5c7e3c047b76e06503efeadab704e4c0832b3df03fe5af56647cef380de267d8456325db720f02f2904e8633d4fe4
test_prisknohelp_2,tier2_testing,Perceived risks of testing,radio,Not much they can do for me if I have it.,"0, Not at all | 1, Slightly | 2, Somewhat | 3, Moderately | 4, Very much| 99, Prefer not to answer",,,,,,,,,test_prisk_list,RADX UP,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,8922b982c4d72b47fda38da89d3f23aa4626e2dae5d5add2b7bb05390fbbc49d83b9585f404c32af7a8d43587abaf5bee6f1a4827a4e5a3c406e952433e6587b
test_priskhlthcare_2,tier2_testing,Perceived risks of testing,radio,Difficult to get needed healthcare if I have it.,"0, Not at all | 1, Slightly | 2, Somewhat | 3, Moderately | 4, Very much| 99, Prefer not to answer",,,,,,,,,test_prisk_list,RADX UP,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,eca9d890688f10872696ee6805b067cb53a09baa1aa4b36f099f78501c6ac722f90e0715d6bd1c96ae8f4d2ff402ab7f35f92b89bfa7f702688c88c56f7a202a
test_intent_2,tier2_testing,Intention to be tested,radio,"I plan to get tested as often as needed. ","0, Strongly Disagree | 1, Disagree | 2, Neither disagree or agree | 3, Agree | 4, Strongly agree| 99, Prefer not to answer",,,,,,,,,,RADX UP,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,0b8089a8d1ab7e5f8f2ace0c97b37122c1c283037a813daa06efc2302a2c3b903834eb3606831a22abefd744a9cbb98c085d99daedb48e8622570733134144fc
test_resneg_2,tier2_testing,Interpretation of negative or positive results,checkbox,"If I get a negative test result, it means 

[check all that apply]:","1, I don't have to worry about getting COVID-19 | 2, I don't have COVID-19 now | 3, I can be around others without giving the virus to them | 4, I can be around others without getting the virus from them| 99, Prefer not to answer",Check all that apply,,,,,,,,,RADX UP,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,7398d660994ed538544ff2c9d811616cf56f57b6ace167106778dcbc44154bfcc8860f2cca73a8ffaf04247b453d186e64da633cfaf4d1c75c5e04092454e3eb
test_respos_2,tier2_testing,Interpretation of negative or positive results,checkbox,"If I get a positive result, it means: 

[check all that apply]","1, I will need to be admitted to the hospital | 2, I will need to isolate myself from others | 3, I will need to take off work| 99, Prefer not to answer",Check all that apply,,,,,,,,,RADX UP,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,da02f7ed7c507c19eeb300fdd952b1d3bc7dfc271324351eeefc9f69f25d5f7aa1d3f6dd2e69d2ba14fea028a4d084c2b6db512bb24c6bc8e6ca0e8beccc3596
testing_sick,tier2_testing,Has any one close to you:,radio,Become sick from COVID-19?,"1, Yes | 0, No | 98, Don't know | 99, Prefer not to answer",,,,,,,,,covid_testing,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,7a3acb08aae213791de9f985b4a7d999e77935648cb73cb5369f567733dfdf306e56696f1ed952c2094c1d44b0720fcb4fae5e4662a46e0bbe953fdef349c1be
testing_hosp,tier2_testing,Has any one close to you:,radio,Been hospitalized from COVID-19?,"1, Yes | 0, No | 98, Don't know | 99, Prefer not to answer",,,,,,,,,covid_testing,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,174364d8e4a7026a0fe89a35f6cd1bfd42e26fbf8f5f2635830af0e95809a54153d50300cd01f120f8056f7fb6254f137edf96576133698e1d373d72de799b98
testing_died,tier2_testing,Has any one close to you:,radio,Died from COVID-19?,"1, Yes | 0, No | 98, Don't know | 99, Prefer not to answer",,,,,,,,,covid_testing,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,6aad22af496b3a5988a1e816aa4e956ed2a4793f1e9d64967204aef6fe9e41459c6f46030ce532de66a0b29ea901d500b38a43ed3b650adcfb8744b4c564a7df
covid_had,tier2_testing,Tier 2 Covid,radio,Have you had COVID?,"1, Yes | 0, No | 98, Don't know | 99, Prefer not to answer",,,,,,,RV,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,169eee3827885a017f0f28ee2adc3835580485c5f92d72a8ca097c754bd791c5cd8654430dcf626e999f95dc8258af1736990a9077756afdea0f65e12b2cf9ed
covid_risk,tier2_testing,Tier 2 Covid,radio,What do you think your personal level of risk is for getting sick from COVID-19?,"1, Low Risk | 2, Medium Risk | 3, High Risk | 98 , Don't know |99, Prefer not to answer",,,,,[covid_had]= '0',,RV,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,a15ef20032d30a68ddeb4c2a4fb28abcd3a6c521bdf93f944b7a80c103b9f8b0b6ad59b6cd7a0beb0bd52ecd20b6699ab36d86928a7a23b089ff29fa359878fb
covid_tested_30,tier2_testing,Tier 2 Covid,radio,Have you been tested for COVID-19 in the last 30 days?,"1, Yes | 0, No | 98, Don't know | 99, Prefer not to answer",,,,,,,RV,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,9b759f70208460ac44ccd0f0d08330f855beb8a3555f79f59b3dcb072ce086a1aac427084c05079979b0acef210524e5445fdc1439668156c512a9dec3344556
covid_tst_reas,tier2_testing,Tier 2 Covid,radio,"Why were you tested? (Select the primary reason for your latest test.) ","1, Required for work| 2, I had symptoms  | 3, I had contact with someone who tested positive or was sick | 4, I had no symptoms, but wanted to know if I was infected | 5, Other | 98, Don't know| 99, Prefer not to answer",,,,,[covid_tested_30]='1',,RV,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,ac97d2222632151481e50044a60eac90496eb4dd520eaf74fcaea3db593894d9c1bf2ee07fdb1768fb0ad44b265a3d538d8ff4a2ab4df19cc0c5bb38b0b4ac0b
covid_tst_reas_other,tier2_testing,Tier 2 Covid,notes,Other reason why you were tested.,,,,,,[covid_tst_reas] = '5',,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,5720a13f1a007667489f4cc4f1ae27cb6d100a161bcb93fbf9d352b29a8fc1ddbe11325961bb133e8d606a23956bc50310199255f5022eb2721f07e41abab0de
covid_barrier,tier2_testing,Tier 2 Covid,checkbox,Have you encountered any of the following barriers or problems with testing? (Select all that apply.),"1,Need to take time off work to get tested | 2, Out of pocket costs for test | 3, Out of pocket costs for transportation, childcare, or time off work to get tested | 4, I do not know where to go to be tested  | 5, Pain or discomfort from the test| 6, Saliva | 7, Concern about others handling my personal data | 8, Other | 9, None of the above  |98 , Don't know |99, Prefer not to answer",,,,,,,RV,,," @NONEOFTHEABOVE = '9,98,99'",RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,bcaf269c658bd50e7e3778c1ebaeb92b7d279d8ca262abcb737fa132a7453beb6b326f6af2e9159be77075690967817ed3a4fb9b054fb567f90aa5c934726641
covid_barrier_other,tier2_testing,Tier 2 Covid,notes,Other barriers or problems encountered.,,,,,,[covid_barrier(8)] = '1',,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,adb341b46a7d14f3c9d8529e3534b3617d66762d58ec7c04d84563ae4b68c9ad202da156e782c23eb760736454d2f7b034f627cf22e9ef9004f5877708ceb183
covid_pto,tier2_testing,Tier 2 Covid,radio,"Does your employer offer paid time off if you test positive?  ","1, Yes | 0, No | 98, Don't know | 99, Prefer not to answer",,,,,"[current_employment_status] = '1' ",,RV,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,f1cfca65ff0e9b4fcb5d3e6c4925973c1bbe8939b5064774928a1efaa4d3d4632f443f77b571daf1875278a3a9269cb411095cfa192f03e7fc18d363249b739b
covid_iso_chal,tier2_testing,Tier 2 Covid,checkbox,"If you needed to isolate due to a positive test or illness, what challenges do you face? ","1,There are other people in my household | 2, There are children in my household | 3, There are older adults in my household | 4, I don't have a good place where I could isolate | 5, No one to help me if I am sick| 6, Lost income or wages | 7, People might blame me or treat me badly | 8, Other | 9, None of the above  |98 , Don't know |99, Prefer not to answer",,,,,,,RV,,," @NONEOFTHEABOVE = '9,98,99'",RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,3f6c1fcc989d5b3c0fcaa29fefc99c558a5f6b2d1d4c2683a8af5bd3d883ae55334085e974577d06f7e98992f1bb05fbd4e365560b72ed4356a3894ef977da40
covid_iso_chal_other,tier2_testing,Tier 2 Covid,notes,Other challenges to isolation.,,,,,,[covid_iso_chal(8)] = '1',,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,264bfab17713f6dfec04dcfdc592e3bb4087e71ac22b41743628588d1bfbfd746d2af9dc02233675125849372c693ecbfc7a559a152602c0a6a3b6a3cabae4df
testing_wait_2,tier2_testing,Tier 2 Covid,radio,"For your previous covid testing, how long did you wait between scheduling the test and when the test was performed?","1, Same day as scheduled| 2, Within a few days| 3, Within a week/same week|4,Within the same month|5,  More than a month | 99, Prefer not to answer",,,,,,,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,fe5992b637f552f8ac0725b6179988a69ad1ff486f9d395e51dbb015852cd544352fb9d15ff7263c679f51a409976bdfb9f6f822626aa4144f15e4a406c8f791
testing_comm_2,tier2_testing,Tier 2 Covid,checkbox,How are test results communicated?,"1, Phone call| 2, Email|3, Text|4, In person| 99, Prefer not to answer",,,,,,,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,ea53137719c04618d1a543acfef845d14bca2ff2c75afee669faf372323e41d22893396e43482aba98c1fff964a45c784c142c22ce81c28aeb885f07a9010998
med_date_mdy,tier2_medications,Tier 2 Covid,text,Date of Medication Collection,,MM/DD/YYYY,date_mdy,01/01/1900,,,,,,,Note: Maximum expected day = Current day.,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,22b69138c07753410cd15383f00fe1542a80d9ecac8b68cee514206f81f27adbc4b233ff4bad0523cc26f22454ea21564cad751cf526d33844af5f8855f470f2
take_presc_meds,tier2_medications,"Medications

The US Food and Drug Administration (FDA) maintains a searchable database of brand name drugs, generic drugs and therapeutic biological products that can assist with classification and action of medications.",radio,"Do you currently take prescription medications? ","1, Yes| 0, No | 99, Prefer not to answer or do not remember",,,,,,,,,,PX0140301|https://www.phenxtoolkit.org/protocols/view/140301|,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,351914f5b9b18e03851270aef9884e76b8869bdaf9daeb531cb1f8305452dabdfb6175392928c43db33b197fb23cbd5f5d229ebe00dbc3943d496fcae5a85863
name_of_rx_med1,tier2_medications,Prescription Medication 1,text,,BIOPORTAL:RXNORM,,,,,"[take_presc_meds] = ""1""",,,,,PX0140301|https://www.phenxtoolkit.org/protocols/view/140301|,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,a03f3f54016be2db65eae53342259100a33419b952a3caf7b116abfadd1e6d4aa49a8381242a52a26549c17625d52e279104e801ec64d95caf21fd61ebfd3b00
name_of_rx_med2,tier2_medications,Prescription Medication 2,text,,BIOPORTAL:RXNORM,,,,,[name_of_rx_med1] <> '',,,,,PX0140301|https://www.phenxtoolkit.org/protocols/view/140301|,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,25034fccfb06d49a4fa8fbfc0a31c6a8ce22974d32f9f071d00918501f36d48f0b25460d8ff14a4d9c8e49c9da9014fa2c22845a508ab7325acf3710e492555b
name_of_rx_med3,tier2_medications,Prescription Medication 3,text,,BIOPORTAL:RXNORM,,,,,[name_of_rx_med2] <> '',,,,,PX0140301|https://www.phenxtoolkit.org/protocols/view/140301|,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,6298c939604557059f908c045e3f7939f32eb760798bdf2039e91d266bccfa4506706e9275ccff603c152a4bba3dd82d623246767383157d49afaed569a68c47
name_of_rx_med4,tier2_medications,Prescription Medication 4,text,,BIOPORTAL:RXNORM,,,,,[name_of_rx_med3] <> '',,,,,PX0140301|https://www.phenxtoolkit.org/protocols/view/140301|,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,da3021e914fec7d19b0e61a222a25512fd5c15da00fd73df9f38d35a164c76f1eecb3cac83bb1d7a1ed878a17328d3b47ec67fd46c3c1db1c36e719fddccb709
name_of_rx_med5,tier2_medications,Prescription Medication 5,text,,BIOPORTAL:RXNORM,,,,,[name_of_rx_med4] <> '',,,,,PX0140301|https://www.phenxtoolkit.org/protocols/view/140301|,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,15c22e19eba5f026f0ae2cd102d72f06e53ed2a7ba32aa5d34b21182e65436d97cfad5443ac0b0829ba38de0d3246928b9ebe4596b1756d203f81680db88f0d6
name_of_rx_med6,tier2_medications,Prescription Medication 6,text,,BIOPORTAL:RXNORM,,,,,[name_of_rx_med5] <> '',,,,,PX0140301|https://www.phenxtoolkit.org/protocols/view/140301|,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,51d296f56a1cb1eea0e38909a0a1c1e2dbfe6134f06a3f34c90688798c5d60c479f9ebd75d87011da9bd1ab0aa18a0a1b2bcebead74fc6354920d888e0c32cf6
name_of_rx_med7,tier2_medications,Prescription Medication 7,text,,BIOPORTAL:RXNORM,,,,,[name_of_rx_med6] <> '',,,,,PX0140301|https://www.phenxtoolkit.org/protocols/view/140301|,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,12bdecb80eb7d6f42ad5c6a9099344ba39ee1a299ded5c85deb75d5306426705827cc7b955f22c79674baa58734419e85ce47e4583f57b4722bbf1181c0e00e0
name_of_rx_med8,tier2_medications,Prescription Medication 8,text,,BIOPORTAL:RXNORM,,,,,[name_of_rx_med7] <> '',,,,,PX0140301|https://www.phenxtoolkit.org/protocols/view/140301|,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,26941b8302a4bf6dd936f7cfae8ccafbe5e84ede6c5b0adb22d0e43ce2eab3c8a302a32f28d89ccc8e4e67a62d15ba210b8b7eb7c4979ab9ee1770baef610b92
name_of_rx_med9,tier2_medications,Prescription Medication 9,text,,BIOPORTAL:RXNORM,,,,,[name_of_rx_med8] <> '',,,,,PX0140301|https://www.phenxtoolkit.org/protocols/view/140301|,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,e2faaac0dddba1b818025f84b8ef5d2dcdac9ba2843681cdaaa054f31d4f593101d142e1b7fc38a6e73d41d6f34e30d39e55c6e18dbb8b58c3d20eac2bb0c9ec
name_of_rx_med10,tier2_medications,Prescription Medication 10,text,,BIOPORTAL:RXNORM,,,,,[name_of_rx_med9] <> '',,,,,PX0140301|https://www.phenxtoolkit.org/protocols/view/140301|,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,2e0d03e72c427bc4d50ac941e8d71b29d60aec5148a2d5806d2c455ec480da5303d7ea20ad9924ba0ff8ee594ed18658e6e8a0e19cf151e572845b135642f455
name_of_rx_med11,tier2_medications,Prescription Medication 11,text,,BIOPORTAL:RXNORM,,,,,[name_of_rx_med10] <> '',,,,,PX0140301|https://www.phenxtoolkit.org/protocols/view/140301|,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,37c5ca035dd2dd0701707d3cb3da457313c45b43e262a200ecaa0e805d213253bf22bc127dad38371dce2f8e9634b306e8a716fca6bdf8efc0144b6966ded2d8
name_of_rx_med12,tier2_medications,Prescription Medication 12,text,,BIOPORTAL:RXNORM,,,,,[name_of_rx_med11] <> '',,,,,PX0140301|https://www.phenxtoolkit.org/protocols/view/140301|,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,d8213d288801f6d8c31e1d051409c247831de60e62f5a151a80fe494f527edfc6133b7dce4bb88d71789f9d11e917e6af7c9bf7d48bc3aab6504727393a70818
name_of_rx_med13,tier2_medications,Prescription Medication 13,text,,BIOPORTAL:RXNORM,,,,,[name_of_rx_med12] <> '',,,,,PX0140301|https://www.phenxtoolkit.org/protocols/view/140301|,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,44b0d3ff6c30e2db5c973479451b19bf55fdd612d298c3646305b1e9e09cdbb18977a9093186be27bb7a756492d71e26143463391bd136e80d82a8a4286d476c
name_of_rx_med14,tier2_medications,Prescription Medication 14,text,,BIOPORTAL:RXNORM,,,,,[name_of_rx_med13] <> '',,,,,PX0140301|https://www.phenxtoolkit.org/protocols/view/140301|,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,3c05013f474aa39b2d1e51930aba71fc3cbb8a3455ee88a0675902affc3c0a123bd64aee0b7c1d67cef872fca56956b0180ade4660edbf976863b235cc35de73
name_of_rx_med15,tier2_medications,Prescription Medication 15,text,,BIOPORTAL:RXNORM,,,,,[name_of_rx_med14] <> '',,,,,PX0140301|https://www.phenxtoolkit.org/protocols/view/140301|,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,50c5aa2cafba2ddd47eebfe9e113fb10b0864c45ea1416c6dd79afa8fb3c589c4add8149f985a50b5d7edc398d425d2a0b221eaf2a658314304510576db44f2b
num_rxs_unable_to_trans,tier2_medications,Prescription Medication 15,notes,Prescribed medications unable to transcribe:,,,,,,"[take_presc_meds] = ""1""",,,,,PX0140301|https://www.phenxtoolkit.org/protocols/view/140301|,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,9dda78e241a60d4c00d587a7af9ff71193dff5a4de6588fd56dcba4a82c471a092a1009c886bd9621d310b326e0b27eefa76e93b150d6031f95904d2fcfb84c7
alcohol_drinksperday,tier2_alcohol_and_tobacco,Prescription Medication 15,radio,How many drinks containing alcohol do you have on a typical day when you are drinking?,"0, 1 or 2|1,3 or 4|2,5 or 6|3,7, 8 or 9|4,10 or more|5,Prefer not to answer",,,,,[lifetime_use_alcohol] = 1,,,,,|https://www.drugabuse.gov/sites/default/files/audit.pdf| Alcohol Use Disorders Identification Test (AUDIT) |,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,8f827feb775891f746ff4114269600fefa074961c898c57dfc93b5b297aa44f8aaeac2801d27d1a189c20b795be868c85edaa078c835c466d6037cd81581a531
smoke_years,tier2_alcohol_and_tobacco,Prescription Medication 15,text,How many years have you smoked?,,,number,0.1,100,"[smoker_cur_stat] ='4' or  [smoker_cur_stat] ='3'  ",,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,37f0eefc53d47f25e7b6b77f01a8988e444d182f6f039c8233346058390de3952b6c142d25de97935a90d30da0bcb96b9b2a746f119c0cb32e0a96bc013d25a1
