Variable / Field Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Branching Logic (Show field only if...),Units,CDE Reference,,
primary_immunodeficiencies,clinical_data_abstraction,,checkbox,"Primary immunodeficiencies, check all that apply","1, Phagocyte disorder (e.g., chronic granulomatous disease, leukocyte adhesion disorder) | 2, Immunoglobulin disorder (e.g. CVID, X-linked agammaglobulinemia, IgA deficiency) | 3, Severe combined immunodeficiency disorder |4, Other immune disorder",,,,,,[non_onco_immsup_dis_which(4)]='1',y,
specific_immunodeficiency,clinical_data_abstraction,,text,Please specify which immunodeficiency/ies.,,,,,,,[non_onco_immsup_dis_which(4)]='1',y,
duration_since_transplant,clinical_data_abstraction,,radio,Duration since transplant,"1, <100 days | 2, >=100 days",,,,,,[non_onco_immsup_dis_which(5)]='1',y,
specific_non_onco_disorder,clinical_data_abstraction,,text,What other non-oncologic immunosuppressive disorder(s)?,,,,,,,[non_onco_immsup_dis_which(6)]='1',y,
resolved_onco_disorder,clinical_data_abstraction,"Resolved oncologic disorders include:
- Leukemia, lymphoma, or unspecified cancer of bloodstream
- Solid non-CNS tumor of organ (e.g. renal, heart, liver, lung)
- Central nervous system tumor
- Neuroblastoma
- Soft tissue neoplasm (e.g. rhabdomyosarcoma)
- Any tumor of the lung including metastatic disease
",yesno,Pre-existing resolved oncologic disorder?,,,,,,,,y,
resolved_onco_disorder_which,clinical_data_abstraction,,checkbox,Which resolved oncologic disorder(s)?,"1, Leukemia, Lymphoma, or unspecified bloodstream cancer (resolved) | 2, Solid non-CNS tumor of organ (e.g. renal, heart, liver, lung) (resolved) | 3, Central nervous system tumor (resolved) | 4, Neuroblastoma (resolved) | 5, Soft tissue neoplasm (e.g. rhabdomyosarcoma) (resolved) | 6, Any lung tumor including metastatic disease (resolved)",Check all that apply,,,,,[resolved_onco_disorder]='1',y,
active_oncologic_dis,clinical_data_abstraction,"Active oncologic disorders include:
- Leukemia, Lymphoma, or unspecified cancer of bloodstream
- Solid non-CNS tumor of organ (e.g. renal, heart, liver, lung)
- Central nervous system tumor
- Neuroblastoma
- Soft tissue neoplasm (e.g. rhabdomyosarcoma)
- Any tumor of the lung including metastatic disease
",yesno,Pre-existing active oncologic disorder?,,,,,,,,y,
active_oncologic_dis_which,clinical_data_abstraction,,checkbox,Which active oncologic disorder(s)?,"1, Leukemia, Lymphoma, or unspecified bloodstream cancer (active) | 2, Solid non-CNS tumor of organ (e.g. renal, heart, liver, lung) (active) | 3, Central nervous system tumor (active) | 4, Neuroblastoma (active) | 5, Soft tissue neoplasm (e.g. rhabdomyosarcoma) (active) | 6, Any lung tumor including metastatic disease (active)",Check all that apply,,,,,[active_oncologic_dis]='1',y,
stem_cell_transplant,clinical_data_abstraction,,yesno,Bone marrow or stem cell transplant for oncologic disease?,,,,,,,[active_oncologic_dis]='1',y,
transplant_type,clinical_data_abstraction,,radio,Type of transplant:,"1, Autologous | 2, Allogeneic",,,,,,[stem_cell_transplant] = '1',y,
transplant_duration,clinical_data_abstraction,,radio,Duration since transplant:,"1, < 100 days | 2, >= 100 days",,,,,,[stem_cell_transplant] = '1',y,
acute_chronic_gvhd,clinical_data_abstraction,,radio,Current diagnosis of acute or chronic GVHD?,"1, Yes acute | 2, Yes chronic | 3, No",,,,,,[stem_cell_transplant] = '1',y,
mental_illness,clinical_data_abstraction,"Mental health conditions include:
   -ADHD
   -Anxiety
   -Depression
-Bipolar disorder   
-Behavioral disorder
-Psychotic disorder
-Substance use disorder ",yesno,Pre-existing mental health condition(s),,,,,,,,y,
mental_illness_which,clinical_data_abstraction,,checkbox,Which mental health condition(s)?,"1, ADHD | 2, Anxiety | 3, Depression | 4, Bipolar disorder | 5, Behavioral disorder (e.g., oppositional defiant disorder) | 6, Psychotic disorder | 7, Substance use disorder | 8, Other disorder",,,,,,[mental_illness] = '1',y,
mental_illness_oth,clinical_data_abstraction,,text,Which other mental health condition(s)?,,,,,,,[mental_illness_which(8)] = '1',y,
mental_illness_tx,clinical_data_abstraction,,checkbox,Has the subject needed/received the following?,"1, Medication for the mental health condition(s) | 2, Hospitalization for the mental health condition(s)",,,,,,[mental_illness] = '1',,
pregnancy_status,clinical_data_abstraction,Pregnancy status,radio,Pregnancy status at time of illness,"1, Pregnant | 2, Not pregnant | 3, Not appicable",,,,,,[sex_at_birth] <> '1',y,
onset_date,clinical_data_abstraction,Clinical presentation at diagnosis,yesno,"Is date of symptom onset known? ",,,,,,,,y,
symptom_onset_date,clinical_data_abstraction,,text,"Date of symptom onset: ",,,date_mdy,,,y,[onset_date] = '1',y,
contact_w_covid,clinical_data_abstraction,,radio,Did the patient have contact with a person with suspected or confirmed COVID-19?,"1, Yes | 2, No | 3, Unknown",,,,,,,y,
height,clinical_data_abstraction,,text,"Earliest height at time of diagnosis: ",,"If height not available, may enter most recent known height prior to diagnosis (preferably within prior 6 months)",number,,,,,y,
height_units,clinical_data_abstraction,,radio,Units of height:,"1, cm | 2, in | 3, Not done",,,,,,,y,
weight,clinical_data_abstraction,,text,Earliest weight at time of diagnosis:,,"If weight not available, may enter most recent known weight prior to diagnosis (preferably within prior 6 months)",number,,,,,y,
weight_units,clinical_data_abstraction,,radio,Units of weight:,"1, kgs | 2, lbs",,,,,,,y,
bmi_perc,clinical_data_abstraction,,text,BMI percentile (if available),,,number,1,99.99,,,,
clin_pres_hosp,clinical_data_abstraction,Clinical Presentation,checkbox,Clinical presentation to ED or within 4 hours of hospital admission,"1, Lower respiratory infection | 2, Suspected central nervous system infection | 3, Shock requiring vasopressors | 4, Respiratory failure requiring support | 5, Cardiac arrest with CPR | 6, Stroke or acute intracranial hemorrhage | 7, Other",Check all that apply,,,,,"[cohort_type] = '9' or [cohort_type] = '10' ",y,
clin_pres_hosp_oth,clinical_data_abstraction,,text,Which other clinical presentation(s)?,,May keep description general; separate symptom questions below,,,,,[clin_pres_hosp(7)] = '1',y,
clin_pres_op1,clinical_data_abstraction,,yesno,Clinical presentation: Did the subject have symptoms with SARS-CoV-2 infection / COVID-19?,,,,,,,[cohort_type] = '8',y,
clin_pres_op_set,clinical_data_abstraction,,radio,Setting of care at time of diagnosis in control subject,"1, Telemedicine | 2, Clinic visit | 3, Urgent care | 4, Emergency room | 5, Other",,,,,,[cohort_type] = '8',y,
clin_pres_op_set_oth,clinical_data_abstraction,,text,What other setting of care?,,,,,,,[clin_pres_op_set] = '5',,
symptoms,clinical_data_abstraction,Symptoms,checkbox,Symptoms prior to clinical presentation,"1, Fever ≥ 38°C (100.4°F)| 2, Cough | 3, Hemoptysis | 4, Shortness of breath | 5, Chills/Rigors | 6, Wheezing | 7, Sore throat | 8, Rhinorrhea/Congestion | 9, Chest pain/chest burning/chest tightness | 10, Lower chest wall indrawing/retractions | 11, New difficulty walking or crawling | 12, Abdominal pain | 13, Nausea/loss of appetite | 14, Vomiting | 15, Diarrhea | 16, Headache | 17, Dizziness | 18, Syncope (fainting) | 19, Muscle aches (myalgias) | 20, Joint pain (arthalgia) | 21, Fatigue/weakness | 22, Altered awareness/confusion | 23, Seizure | 24, Eye pain | 25, Conjunctivitis | 26, Skin rash/Skin ulcers | 27, Swollen lymph nodes | 28, Loss of sense of smell | 29, Loss of sense of taste | 30, ""COVID toes"" (changes or purple spots on toes) | 31, Erythema of palms or soles | 32, Edema of hands or feet | 33, Periungual (nails) desquamation | 34, Peripheral gangrene | 35, Other",Check all that apply,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([cohort_type] = '8' and [clin_pres_op1] = '1'),y,
symptoms_oth,clinical_data_abstraction,,text,What other symptom(s) prior to clinical presentation?,,,,,,,[symptoms(35)] = '1',y,
mech_vent,clinical_data_abstraction,Respiratory and cardiovascular support during hospital admission,yesno,Did the patient receive new or increased oxygen support or mechanical ventilation during hospital admission?,,,,,,,"[cohort_type] = '9' or [cohort_type] = '10' ",y,
vasoactive_infusions,clinical_data_abstraction,,yesno,Vasoactive infusions (including ECMO) received during admission?,,,,,,,"[cohort_type] = '9' or [cohort_type] = '10' ",y,
ecmo,clinical_data_abstraction,,yesno,ECMO support received?,,,,,,,[vasoactive_infusions]='1',y,
cpr_cardiac_arrest,clinical_data_abstraction,,yesno,CPR received for cardiac arrest?,,,,,,,"[cohort_type] = '9' or [cohort_type] = '10' ",y,
rtpcr,clinical_data_abstraction,SARS-CoV-2 Viral Testing,radio,SARS-CoV-2 virus test done?,"1, Not done | 2, Done",,,,,,,y,
sarscov2_test_which,clinical_data_abstraction,,checkbox,Which SARS-CoV-2 virus test was performed?,"1, PCR | 2, Rapid antigen test | 3, Unknown",Enter the type of first positive test,,,,,[rtpcr]='2',y,
sarscov2_test_error,clinical_data_abstraction,,descriptive,"<div style=""background-color:#FFCCCC;padding:10px"">You checked both a specific test type and unknown. Please uncheck one of those boxes.</div>",,,,,,,([sarscov2_test_which(1)] = '1' and [sarscov2_test_which(3)] = '1') or ([sarscov2_test_which(2)] = '1' and [sarscov2_test_which(3)] = '1'),,
pcr_collection_date,clinical_data_abstraction,,text,"Date of Collection	",,"If subject tested positive, enter date of first positive test",date_mdy,,,y,[rtpcr]='2',y,
covid_test_results1,clinical_data_abstraction,,radio,SARS-CoV-2 virus test results,"1, Positive | 2, Negative | 3, Inconclusive","If subject tested positive at or before diagnosis, mark as positive, even if other tests were negative or inconclusive",,,,,[rtpcr]='2',y,
antibody_testing,clinical_data_abstraction,"SARS-CoV-2 Antibody Testing
",yesno,Anti SARS-CoV-2 / COVID-19 antibody testing documented before or during acute illness?,,,,,,,,y,
antibody_testing_res,clinical_data_abstraction,,radio,What was the result of the SARS-CoV-2 / COVID-19 antibody test?,"1, Positive | 2, Negative | 3, Inconclusive","If subject tested positive, mark as positive, even if other tests were negative or inconclusive
Record test results from illness and not after recovery.",,,,,[antibody_testing]='1',y,
antibody_testing_neg,clinical_data_abstraction,,checkbox,Which anti SARS-CoV-2 / COVID-19 antibody test was tested?,"1, Nucleocapsid | 2, Spike IgG | 3, Spike IgM | 4, Spike NOS | 5, Unknown type",Check all that apply,,,,,[antibody_testing]='1',y,
antibody_testing_pos,clinical_data_abstraction,,checkbox,"Which anti SARS-CoV-2 / COVID-19 antibody test was positive?	","1, Nucleocapsid | 2, Spike IgG | 3, Spike IgM | 4, Spike NOS | 5, Unknown type",Check all that apply,,,,,[antibody_testing_res]='1',y,
bac_fungal_testing,clinical_data_abstraction,Superinfection,yesno,Was the subject diagnosed with a secondary bacterial/fungal (super)infection?,,Organisms could have been identified at another hospital prior to admission or identified soon after admission.,,,,,"[cohort_type] = '9' or [cohort_type] = '10' ",y,
superinfect_type,clinical_data_abstraction,,checkbox,What type of secondary bacterial/fungal (super)infection(s) was/were diagnosed?,"1, Bacteremia/sepsis | 2, Pneumonia | 8, Urinary tract infection | 6, Meningitis | 7, Wound infection | 10, Other",,,,,,[bac_fungal_testing]='1',,
superinfect_type_oth,clinical_data_abstraction,,text,What other type of secondary bacterial/fungal (super)infection was diagnosed?,,,,,,,[superinfect_type(10)] = '1',,
superinfect_type_type,clinical_data_abstraction,,checkbox,What type of organism was identified or reported as the cause of secondary (super)infection?,"1, Bacterial | 2, Fungal | 3, Unknown/Not reported",,,,,,[bac_fungal_testing]='1',,
superinfect_type_bug,clinical_data_abstraction,,checkbox,What type of bacteria was identified or reported as the cause of secondary (super)infection?,"1, Streptococcus pneumoniae | 2, Group A Streptococcus | 3, Moraxella catarrhalis | 4, Staphylococcus aureus Methacillin-sensitive | 5, Staphylococcus aureus Methacillin-resistant | 6, Staphylococcus non-aureus | 7, Proteus species | 8, E. coli | 9, Klebsiella | 10, Haemophilus influenzae type b | 11, Haemophilus influenzae non-typeable | 12, Pseudomonas | 13, Other Gram negative rods | 14, Other",,,,,,[superinfect_type_type(1)] = '1',,
superinfect_type_bug_oth,clinical_data_abstraction,,text,What other type of microbe was identified or reported?,,,,,,,[superinfect_type_bug(14)] = '1' or [superinfect_type_type(2)] = '1',,
labs_mild,clinical_data_abstraction,"Laboratory Values

If only one laboratory value is available, or if the high and low laboratory values are equal, list the same values for high and low where applicable.",yesno,"Were any labs completed for this illness besides SARS-CoV-2 virus or antibody testing (e.g., blood counts, chemistries)?",,,,,,,[cohort_type] = '8',y,
labs_mild_which,clinical_data_abstraction,,checkbox,"What labs were completed for this illness besides SARS-CoV-2 virus or antibody testing (e.g., blood counts, chemistries)?","1, Complete blood count (CBC) | 2, Basic metabolic panel (BMP,) comprehensive metabolic panel (CMP), or liver enzymes/panel (LFTs) | 3, Inflammatory markers or ferritin (e.g., CRP, ESR, ferritin, procalcitonin) | 4, Coags or D-dimer (e.g., PT, INR, PTT, fibrinogen, D-dimer) | 5, Other labs (e.g., LDH, triglycerides, lactate, BNP, Troponin, IL-6)",,,,,,[labs_mild] = '1',,
wbc_high,clinical_data_abstraction,,text,WBC Count (x10^3/µL or 10^9/L) HIGH,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(1)] = '1'),y,
wbc_low,clinical_data_abstraction,,text,WBC Count (x10^3/µL or 10^9/L) LOW,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(1)] = '1'),y,
hemoglobin_low,clinical_data_abstraction,,text,Hemoglobin (g/dL) LOW,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(1)] = '1'),y,
platelets_high,clinical_data_abstraction,,text,Platelets (x10^3/µL or x10^9/L) HIGH,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(1)] = '1'),y,
platelets_low,clinical_data_abstraction,,text,Platelets (x10^3/µL or x10^9/L) LOW,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(1)] = '1'),y,
lymphocytes_high,clinical_data_abstraction,,text,Absolute lymphocyte count (cells/µL or cells/mm^3) HIGH,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(1)] = '1'),y,
lymphocytes_low,clinical_data_abstraction,,text,Absolute lymphocyte count (cells/µL or cells/mm^3) LOW,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(1)] = '1'),y,
neutrophils_high,clinical_data_abstraction,,text,Absolute neutrophil count (cells/µL) HIGH,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(1)] = '1'),y,
neutrophils_low,clinical_data_abstraction,,text,Absolute neutrophil count (cells/µL) LOW,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(1)] = '1'),y,
sodium_high,clinical_data_abstraction,,text,Sodium (mmol/L) HIGH,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(2)] = '1'),y,
sodium_low,clinical_data_abstraction,,text,Sodium (mmol/L) LOW,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(2)] = '1'),y,
potassium_high,clinical_data_abstraction,,text,Potassium (mmol/L) HIGH,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(2)] = '1'),y,
potassium_low,clinical_data_abstraction,,text,Potassium (mmol/L) LOW,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(2)] = '1'),y,
urea_high,clinical_data_abstraction,,text,Urea (BUN) (mg/dL) HIGH,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(2)] = '1'),y,
creatinine_high,clinical_data_abstraction,,text,Creatinine (mg/dL) HIGH,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(2)] = '1'),y,
glucose_high,clinical_data_abstraction,,text,Glucose (mg/dL) HIGH,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(2)] = '1'),y,
glucose_low,clinical_data_abstraction,,text,Glucose (mg/dL) LOW,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(2)] = '1'),y,
bilirubin_high,clinical_data_abstraction,,text,Total bilirubin (mg/dL) HIGH,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(2)] = '1'),y,
albumin_low,clinical_data_abstraction,,text,Albumin (g/dL) LOW,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(2)] = '1'),y,
ast_sgot_high,clinical_data_abstraction,,text,AST/SGOT (U/L) HIGH,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(2)] = '1'),y,
alt_sgpt_high,clinical_data_abstraction,,text,ALT/SGPT (U/L) HIGH,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(2)] = '1'),y,
ggt_ggtp_high,clinical_data_abstraction,,text,Gamma-glutamyl transferase (GGT/GGTP) (U/L) HIGH,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(2)] = '1'),y,
crp_high,clinical_data_abstraction,,text,"C-Reactive Protein, CRP (mg/L or mg/dL) HIGH ",,Mark -6 if not done. Enter units below.,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(3)] = '1'),y,
crp_unit,clinical_data_abstraction,,radio,CRP units,"1, mg/L | 2, mg/dL",,,,,,[crp_high] <> '' and [crp_high] <> '-6',y,
esr_high,clinical_data_abstraction,,text,ESR (mm/hr) HIGH,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(3)] = '1'),y,
esr_low,clinical_data_abstraction,,text,ESR (mm/hr) LOW,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(3)] = '1'),y,
ferritin_high,clinical_data_abstraction,,text,Ferritin (ng/mL) HIGH,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(3)] = '1'),y,
procalcitonin_high,clinical_data_abstraction,,text,Procalcitonin (ng/mL) HIGH,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(3)] = '1'),y,
ldh_high,clinical_data_abstraction,,text,LDH (U/L) HIGH,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(5)] = '1'),y,
triglycerides_high,clinical_data_abstraction,,text,Triglycerides (mg/dL) HIGH,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(5)] = '1'),y,
ck_high,clinical_data_abstraction,,text,Creatine kinase (U/L) HIGH,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(5)] = '1'),y,
pt_high,clinical_data_abstraction,,text,PT (seconds) HIGH,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(4)] = '1'),y,
inr_high,clinical_data_abstraction,,text,INR (units) HIGH,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(4)] = '1'),y,
aptt_high,clinical_data_abstraction,,text,APTT/APTR (seconds) HIGH,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(4)] = '1'),y,
thrombin_time_high,clinical_data_abstraction,,text,Thrombin time (seconds) HIGH,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(4)] = '1'),y,
fibrinogen_high,clinical_data_abstraction,,text,Fibrinogen (mg/dL) HIGH,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(4)] = '1'),y,
fibrinogen_low,clinical_data_abstraction,,text,Fibrinogen (mg/dL) LOW,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(4)] = '1'),y,
d_dimer_high,clinical_data_abstraction,,text,"D-dimer (mg/L, µg/mL, or n/ml) HIGH",,Mark -6 if not done. Enter units below.,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(4)] = '1'),y,
d_dimer_unit,clinical_data_abstraction,,radio,D-dimer units,"1, mg/L | 2, µg/mL | 3, n/ml | 4, Other units",,,,,,[d_dimer_high] <> '' and [d_dimer_high] <> '-6',y,
d_dimer_unit_oth,clinical_data_abstraction,,text,Enter D-dimer units,,,,,,,[d_dimer_unit] = '4',y,
lactate_high,clinical_data_abstraction,,text,Lactate (mmol/L) HIGH,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(5)] = '1'),y,
bnp_high,clinical_data_abstraction,,text,B-type natriuretic peptide (BNP) (pg/mL) HIGH,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(5)] = '1'),y,
troponin_t_high,clinical_data_abstraction,,text,Troponin T (ng/mL) HIGH,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(5)] = '1'),y,
troponin_i_high,clinical_data_abstraction,,text,Troponin I (ng/mL) HIGH,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(5)] = '1'),y,
il_6_highest,clinical_data_abstraction,,text,IL-6 highest level (pg/mL):,,Mark -6 if not done,,,,,[cohort_type] = '9' or [cohort_type] = '10' or ([labs_mild] = '1' and [labs_mild_which(5)] = '1'),y,
resp,clinical_data_abstraction,,yesno,"Were there respiratory complications during hospitalization, such as pneumonia, ARDS, pulmonary edema, pneumothorax, pleural effusion, or pulmonary hemorrhage?",,,,,,,"[cohort_type] = '9' or [cohort_type] = '10' ",,
resp_confirm,clinical_data_abstraction,,descriptive,"<div style=""background-color:#FFCCCC;padding:10px"">You indicated that this was a case with severe acute COVID-19. Please confirm that there were no respiratory complications.</div>",,,,,,,[cohort_type] = '9' and [resp] = '0',,
resp_complic,clinical_data_abstraction,,checkbox,Which respiratory complications were diagnosed during hospitalization?,"1, Pneumonia | 2, Acute respiratory distress syndrome (ARDS) | 3, Pulmonary edema | 4, Pneumothorax | 5, Pleural effusion | 6, Pulmonary hemorrhage | 7, Other",,,,,,[resp] = '1',y,
resp_complic_oth,clinical_data_abstraction,,text,Which other respiratory complications were diagnosed during hospitalization?,,,,,,,[resp_complic(7)] = '1',,
cardiac,clinical_data_abstraction,,yesno,"Were there cardiac complications during hospitalization, such as coronary artery aneurysms, pericarditis, pericardial effusions, myocarditis, cardiac dysfunction, or arrhythmia?",,,,,,,"[cohort_type] = '9' or [cohort_type] = '10' ",y,
cardiac_complic,clinical_data_abstraction,,checkbox,Which cardiac complications were diagnosed during hospitalization?,"1, Coronary artery aneurysms | 2, Pericarditis or pericardial effusions | 3, Myocarditis | 4, Cardiac dysfunction including reduced ejection fraction or heart failure | 5, Arrhythmia/dysrhythmia | 6, Other cardiac complication",,,,,,[cardiac] = '1',,
cardiac_complic_oth,clinical_data_abstraction,,text,Which other cardiac complication(s) were diagnosed during hospitalization?,,,,,,,[cardiac_complic(6)] = '1',y,
specific_dysrhythmia,clinical_data_abstraction,,text,Specify dysrhythmia:,,,,,,,[cardiac_complic(5)] = '1',y,
neuro,clinical_data_abstraction,Neurologic Complications,yesno,"Were there neurologic complications during hospitalization, such as encephalitis, aseptic meningitis, demyelinating disorder (ADEM), stroke or cerebrovascular accident (CVA), increased intracranial pressure (ICP), decreased hearing or vision, or iritis/uveitis?",,,,,,,"[cohort_type] = '9' or [cohort_type] = '10' ",y,
neuro_which,clinical_data_abstraction,,checkbox,Which neurologic complications were diagnosed during hospitalization?,"1, Encephalitis | 2, Aseptic meningitis | 3, Demyelinating disorder (ADEM) | 4, Stroke or cerebrovascular accident (CVA) | 10, Coma | 11, Seizures | 5, Increased intracranial pressure (ICP) | 6, Decreased hearing | 7, Decreased vision | 8, Iritis or uveitis | 9, Other",Check all that apply,,,,,[neuro] = '1',y,
neuro_which_oth,clinical_data_abstraction,,text,What other neurologic complication(s) were diagnosed during hospitalization?,,,,,,,[neuro_which(9)] = '1',y,
gi_complications,clinical_data_abstraction,GI Complications,yesno,"Did the subject experience any GI complications during this hospitalization, such as appendicitis, severe diarrhea, severe abdominal pain, gallbladder hydrops or edema, pancreatitis, or hepatitis?",,,,,,,"[cohort_type] = '9' or [cohort_type] = '10' ",y,
gi_complic_which,clinical_data_abstraction,,checkbox,What GI complications were diagnosed during hospitalization?,"1, Appendicitis | 2, Severe diarrhea | 3, Severe abdominal pain | 4, Gallbladder hydrops (marked dilation) or edema | 5, Pancreatitis  | 6, Hepatitis | 7, Other",Check all that apply,,,,,[gi_complications]='1',y,
gi_complic_which_oth,clinical_data_abstraction,,text,What other GI complication(s) were diagnosed during hospitalization?,,,,,,,[gi_complic_which(7)] = '1',y,
appendix_removed,clinical_data_abstraction,,yesno,Was the patient's appendix removed?,,,,,,,[gi_complic_which(1)] = '1',y,
hem_complications,clinical_data_abstraction,Hematologic/Thrombotic Complications,yesno,Did the subject experience any hematologic/thrombotic complications during this hospitalization?,,,,,,,"[cohort_type] = '9' or [cohort_type] = '10' ",y,
hem_complic_which,clinical_data_abstraction,,checkbox,Which hematologic/thrombotic complication(s) were diagnosed during hospitalization?,"1, Deep vein thrombosis | 2, Pulmonary embolism | 3, Sinus venous thrombosis | 4, Bleeding | 5, Other",Check all that apply,,,,,[hem_complications]='1',y,
hem_complic_which_oth,clinical_data_abstraction,,text,Which other hematologic/thrombotic complication(s) were diagnosed during hospitalization?,,,,,,,[hem_complic_which(5)] = '1',y,
renal,clinical_data_abstraction,Renal Complications,yesno,Did the subject experience any renal complications during this hospitalization?,,,,,,,"[cohort_type] = '9' or [cohort_type] = '10' ",,
renal_which,clinical_data_abstraction,,checkbox,Which renal complication(s) were diagnosed during hospitalization?,"1, Acute kidney injury (AKI) | 2, Dialysis | 3, Other",,,,,,[renal] = '1',,
renal_which_oth,clinical_data_abstraction,,text,Which other renal complication(s) were diagnosed during hospitalization?,,,,,,,[renal_which(3)] = '1',,
tx_any,clinical_data_abstraction,Specific SARS-CoV-2 Treatments,yesno,Were any specific treatments given for the acute illness?,,,,,,,,y,
