Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier? ,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number,Matrix Group Name,CDE Reference,the files are transposed for uploading
units11,,,dropdown,,,,,,,,,,,,,,
Chloride,,,text,,,,,,,,,,,,,,
Date of chloride,,,date,,,,,,,,,,,,,,
units28,,,dropdown,,,,,,,,,,,,,,
CO2/bicarbonate ,,,text,,,,,,,,,,,,,,
Date of CO2,,,date,,,,,,,,,,,,,,
units46,,,dropdown,,,,,,,,,,,,,,
units8,,,dropdown,,,,,,,,,,,,,,
Blood Urea Nitrogen (BUN),,,text,,,,,,,,,,,,,,
Date of BUN,,,date,,,,,,,,,,,,,,
units30,,,dropdown,,,,,,,,,,,,,,
Serum (blood) Creatinine,,,text,,,,,,,,,,,,,,
units12,,,dropdown,,,,,,,,,,,,,,
Date of creatinine,,,date,,,,,,,,,,,,,,
Blood Glucose (fasting or nonfasting),,,text,,,,,,,,,,,,,,
Fasting?,,,dropdown,,,,,,,,,,,,,,
Date of glucose,,,date,,,,,,,,,,,,,,
Calcium,,,text,,,,,,,,,,,,,,
Date of calcium,,,date,,,,,,,,,,,,,,
units9,,,dropdown,,,,,,,,,,,,,,
Albumin,,,text,,,,,,,,,,,,,,
Date of albumin,,,date,,,,,,,,,,,,,,
units35,,,dropdown,,,,,,,,,,,,,,
Magnesium,,,text,,,,,,,,,,,,,,
Date of magnesium,,,date,,,,,,,,,,,,,,
Units,,,dropdown,,,,,,,,,,,,,,
Phosphorus,,,text,,,,,,,,,,,,,,
Date of phosphorus,,,date,,,,,,,,,,,,,,
Units,,,dropdown,,,,,,,,,,,,,,
Lactate Dehydrogenase (LDH),,,text,,,,,,,,,,,,,,
Date of LDH,,,date,,,,,,,,,,,,,,
units47,,,dropdown,,,,,,,,,,,,,,
Alanine Aminotransferase (ALT),,,text,,,,,,,,,,,,,,
Date of ALT,,,date,,,,,,,,,,,,,,
units27,,,dropdown,,,,,,,,,,,,,,
Aspartate Aminotransferase (AST),,,text,,,,,,,,,,,,,,
Date of AST,,,date,,,,,,,,,,,,,,
units29,,,dropdown,,,,,,,,,,,,,,
units37,,,dropdown,,,,,,,,,,,,,,
Alkaline Phosphatase ,,,text,,,,,,,,,,,,,,
Date of alkaline phosphatase,,,date,,,,,,,,,,,,,,
Bilirubin,,,text,,,,,,,,,,,,,,
Date of bilirubin,,,date,,,,,,,,,,,,,,
units36,,,dropdown,,,,,,,,,,,,,,
Amylase,,,text,,,,,,,,,,,,,,
Date of amylase,,,date,,,,,,,,,,,,,,
units38,,,dropdown,,,,,,,,,,,,,,
Lipase,,,text,,,,,,,,,,,,,,
Date of lipase,,,date,,,,,,,,,,,,,,
units39,,,dropdown,,,,,,,,,,,,,,
Date of sIL-2R,,,date,,,,,,,,,,,,,,
Soluble Interleukin-2 Receptor (sIL-2R),,,text,,,,,,,,,,,,,,
units15,,,dropdown,,,,,,,,,,,,,,
Date of IL-6,,,date,,,,,,,,,,,,,,
IL-6,,,text,,,,,,,,,,,,,,
units16,,,dropdown,,,,,,,,,,,,,,
Pyuria ,,,text,,,,,,,,,,,,,,
Additional labs performed?,,,radio,,,,,,,,,,,,,,
How many other labs?,,,dropdown,,,,,,,,,,,,,,
Name of other lab 1,,,text,,,,,,,,,,,,,,
Other lab 1 value,,,text,,,,,,,,,,,,,,
Date,,,date,,,,,,,,,,,,,,
Units ,,,dropdown,,,,,,,,,,,,,,
Name of other lab 2,,,text,,,,,,,,,,,,,,
Other lab 2 value,,,text,,,,,,,,,,,,,,
units 51,,,dropdown,,,,,,,,,,,,,,
Name of other lab 3,,,text,,,,,,,,,,,,,,
Other lab 3 value,,,text,,,,,,,,,,,,,,
units 52,,,dropdown,,,,,,,,,,,,,,
Name of other lab 4,,,text,,,,,,,,,,,,,,
Value of other lab 4,,,text,,,,,,,,,,,,,,
units 53,,,dropdown,,,,,,,,,,,,,,
Name of other lab 5,,,text,,,,,,,,,,,,,,
Value of other lab 5,,,text,,,,,,,,,,,,,,
units 54,,,dropdown,,,,,,,,,,,,,,
Date of other lab 5,,,date,,,,,,,,,,,,,,
Result ,,,radio,,,,,,,,,,,,,,
Respiratory Pathogen Panel: Name of Pathogen(s),,,notes,,,,,,,,,,,,,,
Instrument Used,,,text,,,,,,,,,,,,,,
Other Positive Microbiology Tests?,,,radio,,,,,,,,,,,,,,
How many other microbiology tests?,,,dropdown,,,,,,,,,,,,,,
Other Positive Microbiologic Test #1,,,text,,,,,,,,,,,,,,
Date of Other Positive Microbiologic Test #1,,,date,,,,,,,,,,,,,,
Source,,,text,,,,,,,,,,,,,,
Results,,,notes,,,,,,,,,,,,,,
Other Positive Microbiologic Test #2,,,text,,,,,,,,,,,,,,
Date of Other Positive Microbiologic Test #2,,,date,,,,,,,,,,,,,,
Source,,,text,,,,,,,,,,,,,,
Results ,,,notes,,,,,,,,,,,,,,
Other Positive Microbiologic Test #3,,,text,,,,,,,,,,,,,,
Date of Other Positive Microbiologic Test #3,,,date,,,,,,,,,,,,,,
Source,,,text,,,,,,,,,,,,,,
Results ,,,notes,,,,,,,,,,,,,,
Other Positive Microbiologic Test #4,,,text,,,,,,,,,,,,,,
Date of Other Positive Microbiologic Test #4,,,date,,,,,,,,,,,,,,
Source,,,text,,,,,,,,,,,,,,
Results,,,notes,,,,,,,,,,,,,,
Chest X-ray,,,radio,,,,,,,,,,,,,,
Chest X-ray Date,,,date,,,,,,,,,,,,,,
Chest X-Ray Results,,,radio,,,,,,,,,,,,,,
Chest X-ray Findings (choice=Focal infiltrate),,,checkbox,,,,,,,,,,,,,,
Chest X-ray Findings (choice=Diffuse infiltrate),,,checkbox,,,,,,,,,,,,,,
Chest X-ray Findings (choice=Pleural effusion or empyema),,,checkbox,,,,,,,,,,,,,,
Chest X-ray Findings (choice=Atelectasis),,,checkbox,,,,,,,,,,,,,,
Chest X-ray Findings (choice=Other),,,checkbox,,,,,,,,,,,,,,
Other,,,text,,,,,,,,,,,,,,
Notes,,,notes,,,,,,,,,,,,,,
Chest CT,,,radio,,,,,,,,,,,,,,
Chest CT Date,,,date,,,,,,,,,,,,,,
Chest CT Results,,,radio,,,,,,,,,,,,,,
Chest CT Findings (choice=Focal infiltrate),,,checkbox,,,,,,,,,,,,,,
Chest CT Findings (choice=Pleural effusion or empyema),,,checkbox,,,,,,,,,,,,,,
Chest CT Findings (choice=Pulmonary embolism),,,checkbox,,,,,,,,,,,,,,
Chest CT Findings (choice=ARDS),,,checkbox,,,,,,,,,,,,,,
Chest CT Findings (choice=Diffuse infiltrate),,,checkbox,,,,,,,,,,,,,,
Notes,,,notes,,,,,,,,,,,,,,
Cardiac MRI,,,radio,,,,,,,,,,,,,,
Cardiac MRI Results,,,radio,,,,,,,,,,,,,,
Cardiac MRI Findings (copy and paste impressions),,,notes,,,,,,,,,,,,,,
Echocardiogram,,,radio,,,,,,,,,,,,,,
Echocardiogram date,,,date,,,,,,,,,,,,,,
Echocardiogram Results,,,radio,,,,,,,,,,,,,,
Echocardiogram Findings  (choice=Decreased myocardial function),,,checkbox,,,,,,,,,,,,,,
Echocardiogram Findings  (choice=Coronary abnormality),,,checkbox,,,,,,,,,,,,,,
Echocardiogram Findings  (choice=Pericarditis/Pericardial effusion),,,checkbox,,,,,,,,,,,,,,
Echocardiogram Findings  (choice=Valvular disease),,,checkbox,,,,,,,,,,,,,,
Notes,,,notes,,,,,,,,,,,,,,
Electrocardiogram (ECG/EKG),,,radio,,,,,,,,,,,,,,
EKG date,,,date,,,,,,,,,,,,,,
EKG Results,,,radio,,,,,,,,,,,,,,
EKG Findings,,,notes,,,,,,,,,,,,,,
Was other imaging performed?,,,radio,,,,,,,,,,,,,,
How many other imaging methods?,,,dropdown,,,,,,,,,,,,,,
Other Imaging Method #1,,,text,,,,,,,,,,,,,,
Other Imaging Method #1: Results,,,notes,,,,,,,,,,,,,,
Other Imaging Method #2,,,text,,,,,,,,,,,,,,
Other Imaging Method #2: Results,,,notes,,,,,,,,,,,,,,
Other Imaging Method #3,,,text,,,,,,,,,,,,,,
Other Imaging Method #3: Results,,,notes,,,,,,,,,,,,,,
Other Imaging Method #4,,,text,,,,,,,,,,,,,,
Other Imaging Method #4: Results,,,notes,,,,,,,,,,,,,,
Other Imaging Method #5,,,text,,,,,,,,,,,,,,
Other Imaging Method #5: Results,,,notes,,,,,,,,,,,,,,
Methylprednisolone ,,,radio,,,,,,,,,,,,,,
Methylprednisolone Start Date,,,date,,,,,,,,,,,,,,
Methylprednisolone End Date,,,date,,,,,,,,,,,,,,
Methylprednisolone Dose,,,radio,,,,,,,,,,,,,,
Other dose,,,text,,,,,,,,,,,,,,
Notes,,,notes,,,,,,,,,,,,,,
Hydrocortisone,,,radio,,,,,,,,,,,,,,
Hydrocortisone Start Date,,,date,,,,,,,,,,,,,,
Hydrocortisone End Date,,,date,,,,,,,,,,,,,,
Hydrocortisone Dose,,,radio,,,,,,,,,,,,,,
Other dose,,,text,,,,,,,,,,,,,,
Number of days ,,,text,,,,,,,,,,,,,,
Notes,,,notes,,,,,,,,,,,,,,
Oral Prednisone (upon discharge),,,radio,,,,,,,,,,,,,,
Oral Prednisone (upon discharge) Start Date,,,text,,,,,,,,,,,,,,
Oral Prednisone (upon discharge) End Date,,,text,,,,,,,,,,,,,,
Number of days,,,text,,,,,,,,,,,,,,
Notes,,,notes,,,,,,,,,,,,,,
Prednisolone (upon discharge),,,radio,,,,,,,,,,,,,,
Prednisolone (upon discharge) Start Date,,,date,,,,,,,,,,,,,,
Prednisolone (upon discharge) End Date,,,date,,,,,,,,,,,,,,
Number of days,,,text,,,,,,,,,,,,,,
Notes,,,notes,,,,,,,,,,,,,,
Dexamethasone,,,radio,,,,,,,,,,,,,,
Dexamethasone Start Date,,,date,,,,,,,,,,,,,,
Dexamethasone End Date,,,date,,,,,,,,,,,,,,
Dexamethasone Peak Dose,,,text,,,,,,,,,,,,,,
Number of days,,,text,,,,,,,,,,,,,,
Notes,,,notes,,,,,,,,,,,,,,
Infliximab,,,radio,,,,,,,,,,,,,,
Infliximab Dose,,,radio,,,,,,,,,,,,,,
Other dose,,,text,,,,,,,,,,,,,,
Notes,,,notes,,,,,,,,,,,,,,
Remdesivir ,,,radio,,,,,,,,,,,,,,
Remdesivir Start Date,,,date,,,,,,,,,,,,,,
Remdesivir End Date,,,date,,,,,,,,,,,,,,
Remdesivir Dose,,,text,,,,,,,,,,,,,,
Units,,,dropdown,,,,,,,,,,,,,,
Frequency,,,dropdown,,,,,,,,,,,,,,
Other frequency,,,text,,,,,,,,,,,,,,
Notes,,,notes,,,,,,,,,,,,,,
Tocilizumab,,,radio,,,,,,,,,,,,,,
Tocilizumab Start Date,,,date,,,,,,,,,,,,,,
Tocilizumab End Date,,,date,,,,,,,,,,,,,,
Tocilizumab Dose,,,text,,,,,,,,,,,,,,
units4,,,dropdown,,,,,,,,,,,,,,
Frequency,,,dropdown,,,,,,,,,,,,,,
Other frequency,,,text,,,,,,,,,,,,,,
Notes,,,notes,,,,,,,,,,,,,,
Baricitinib,,,radio,,,,,,,,,,,,,,
Start Date,,,date,,,,,,,,,,,,,,
End Date,,,date,,,,,,,,,,,,,,
Baricitinib dose,,,text,,,,,,,,,,,,,,
units6,,,dropdown,,,,,,,,,,,,,,
Frequency,,,dropdown,,,,,,,,,,,,,,
Notes,,,notes,,,,,,,,,,,,,,
Other frequency,,,text,,,,,,,,,,,,,,
Aspirin,,,radio,,,,,,,,,,,,,,
Aspirin Start Date,,,date,,,,,,,,,,,,,,
Aspirin End Date,,,date,,,,,,,,,,,,,,
Aspirin dose,,,text,,,,,,,,,,,,,,
units7,,,dropdown,,,,,,,,,,,,,,
Frequency,,,dropdown,,,,,,,,,,,,,,
Other frequency,,,text,,,,,,,,,,,,,,
Notes,,,notes,,,,,,,,,,,,,,
Anakinra,,,radio,,,,,,,,,,,,,,
Anakinra Start Date,,,date,,,,,,,,,,,,,,
Anakinra End Date,,,date,,,,,,,,,,,,,,
Anakinra Dose,,,radio,,,,,,,,,,,,,,
Other dose,,,text,,,,,,,,,,,,,,
Notes,,,notes,,,,,,,,,,,,,,
Hydroxychloroquine,,,radio,,,,,,,,,,,,,,
Hydroxychloroquine Start Date,,,date,,,,,,,,,,,,,,
Hydroxychloroquine End Date,,,date,,,,,,,,,,,,,,
Hydroxychloroquine dose,,,text,,,,,,,,,,,,,,
units9,,,dropdown,,,,,,,,,,,,,,
Frequency,,,dropdown,,,,,,,,,,,,,,
Other frequency,,,text,,,,,,,,,,,,,,
Notes,,,notes,,,,,,,,,,,,,,
Monoclonal Antibodies ,,,radio,,,,,,,,,,,,,,
Monoclonal Antibodies Type,,,dropdown,,,,,,,,,,,,,,
Name of Other Monoclonal Antibodies ,,,text,,,,,,,,,,,,,,
Start Date,,,date,,,,,,,,,,,,,,
End Date,,,date,,,,,,,,,,,,,,
Notes,,,notes,,,,,,,,,,,,,,
IVIG (Intravenous immune globulin),,,radio,,,,,,,,,,,,,,
How many doses of IVIG were administered?,,,radio,,,,,,,,,,,,,,
Notes,,,notes,,,,,,,,,,,,,,
Convalescent Plasma,,,radio,,,,,,,,,,,,,,
How many doses of convalescent plasma were administered?,,,dropdown,,,,,,,,,,,,,,
Convalescent Plasma Dose #1 Date,,,date,,,,,,,,,,,,,,
Convalescent Plasma Dose #2 Date,,,date,,,,,,,,,,,,,,
Convalescent Plasma Dose #3 Date,,,date,,,,,,,,,,,,,,
Convalescent Plasma Dose #4 Date,,,date,,,,,,,,,,,,,,
Convalescent Plasma Dose #5 Date,,,date,,,,,,,,,,,,,,
Convalescent Plasma Dose #6 Date,,,date,,,,,,,,,,,,,,
Notes,,,notes,,,,,,,,,,,,,,
Anticoagulation ,,,radio,,,,,,,,,,,,,,
Anticoagulation Type,,,dropdown,,,,,,,,,,,,,,
Name of Other Anticoagulation,,,text,,,,,,,,,,,,,,
Other Anticoagulation Start Date,,,date,,,,,,,,,,,,,,
Other Anticoagulation End Date,,,date,,,,,,,,,,,,,,
Anticoagulation Dose,,,text,,,,,,,,,,,,,,
units10,,,dropdown,,,,,,,,,,,,,,
Frequency,,,dropdown,,,,,,,,,,,,,,
Other frequency,,,text,,,,,,,,,,,,,,
Notes,,,notes,,,,,,,,,,,,,,
Other,,,radio,,,,,,,,,,,,,,
How many other treatments? ,,,dropdown,,,,,,,,,,,,,,
Other Treatment #1,,,text,,,,,,,,,,,,,,
Notes,,,notes,,,,,,,,,,,,,,
Other Treatment #2,,,text,,,,,,,,,,,,,,
Notes,,,notes,,,,,,,,,,,,,,
Other Treatment #3,,,text,,,,,,,,,,,,,,
Notes,,,notes,,,,,,,,,,,,,,
Other Treatment #4,,,text,,,,,,,,,,,,,,
Notes,,,notes,,,,,,,,,,,,,,
Other Treatment #5,,,text,,,,,,,,,,,,,,
Notes,,,notes,,,,,,,,,,,,,,
Other Treatment #6,,,text,,,,,,,,,,,,,,
Notes,,,notes,,,,,,,,,,,,,,
Other Treatment #7,,,text,,,,,,,,,,,,,,
Notes,,,notes,,,,,,,,,,,,,,
Other Treatment #8,,,text,,,,,,,,,,,,,,
Notes,,,notes,,,,,,,,,,,,,,
Other Treatment #9,,,text,,,,,,,,,,,,,,
Notes,,,notes,,,,,,,,,,,,,,
Other Treatment #10,,,text,,,,,,,,,,,,,,
Notes,,,notes,,,,,,,,,,,,,,
Vasopressor Use,,,radio,,,,,,,,,,,,,,
Pressors (duration and type),,,notes,,,,,,,,,,,,,,
Respiratory Support,,,radio,,,,,,,,,,,,,,
Overall duration of oxygen support (days),,,text,,,,,,,,,,,,,,
Type of oxygen support (choice=Nasal cannula),,,checkbox,,,,,,,,,,,,,,
Type of oxygen support (choice=Face mask),,,checkbox,,,,,,,,,,,,,,
Type of oxygen support (choice=High-flow nasal cannula),,,checkbox,,,,,,,,,,,,,,
Type of oxygen support (choice=BiPap),,,checkbox,,,,,,,,,,,,,,
Type of oxygen support (choice=Mechanical ventilation),,,checkbox,,,,,,,,,,,,,,
Type of oxygen support (choice=ECMO),,,checkbox,,,,,,,,,,,,,,
Type of oxygen support (choice=CPAP),,,checkbox,,,,,,,,,,,,,,
Duration of mechanical oxygen support (days),,,text,,,,,,,,,,,,,,
Peak Fi02,,,text,,,,,,,,,,,,,,
Peak PEEP,,,text,,,,,,,,,,,,,,
Low-flow O2,,,radio,,,,,,,,,,,,,,
High-flow O2,,,radio,,,,,,,,,,,,,,
Non-invasive Ventilation,,,radio,,,,,,,,,,,,,,
Mechanical Ventilation,,,radio,,,,,,,,,,,,,,
ECMO,,,radio,,,,,,,,,,,,,,
ECMO Start Date,,,date,,,,,,,,,,,,,,
ECMO End Date,,,date,,,,,,,,,,,,,,
Dialysis,,,radio,,,,,,,,,,,,,,
Dialysis Start Date,,,date,,,,,,,,,,,,,,
Dialysis End Date,,,date,,,,,,,,,,,,,,
Antiplatelet,,,radio,,,,,,,,,,,,,,
Antiplatelet Start Date,,,date,,,,,,,,,,,,,,
Antiplatelet End Date,,,date,,,,,,,,,,,,,,
Antiplatelet dose,,,text,,,,,,,,,,,,,,
units11,,,dropdown,,,,,,,,,,,,,,
Frequency,,,dropdown,,,,,,,,,,,,,,
Other frequency,,,text,,,,,,,,,,,,,,
Notes,,,notes,,,,,,,,,,,,,,
Hospitalization,,,radio,,,,,,,,,,,,,,
"Reason for hospitalization? (If patient had COVID-19, but it was found incidentally after they were hospitalized for a car accident, the answer here would be other)  (choice=COVID-19)",,,checkbox,,,,,,,,,,,,,,
"Reason for hospitalization? (If patient had COVID-19, but it was found incidentally after they were hospitalized for a car accident, the answer here would be other)  (choice=MISC)",,,checkbox,,,,,,,,,,,,,,
"Reason for hospitalization? (If patient had COVID-19, but it was found incidentally after they were hospitalized for a car accident, the answer here would be other)  (choice=Other)",,,checkbox,,,,,,,,,,,,,,
"Reason for hospitalization? (If patient had COVID-19, but it was found incidentally after they were hospitalized for a car accident, the answer here would be other)  (choice=Unknown)",,,checkbox,,,,,,,,,,,,,,
Other reason for hospitalization,,,text,,,,,,,,,,,,,,
"Hospitalization: Date of onset (if a transfer, enter first date)",,,date,,,,,,,,,,,,,,
Hospitalization: Date resolved,,,date,,,,,,,,,,,,,,
ICU Stay,,,radio,,,,,,,,,,,,,,
"Was the ICU stay consistent (ex. in 1/1, out 1/10), or inconsistent (ex. in 1/1, out 1/2 but still hospitalized, in again 1/5, out again 1/10)? ",,,radio,,,,,,,,,,,,,,
ICU: Date of onset,,,date,,,,,,,,,,,,,,
ICU: Date resolved,,,date,,,,,,,,,,,,,,
Amount of total days spent in the ICU? ,,,text,,,,,,,,,,,,,,
"Other Complications (includes during hospitalization, up to 3 months post-discharge) (choice=Myocarditis / cardiac dysfunction)",,,checkbox,,,,,,,,,,,,,,
"Other Complications (includes during hospitalization, up to 3 months post-discharge) (choice=Pulmonary Embolus)",,,checkbox,,,,,,,,,,,,,,
"Other Complications (includes during hospitalization, up to 3 months post-discharge) (choice=Stroke)",,,checkbox,,,,,,,,,,,,,,
"Other Complications (includes during hospitalization, up to 3 months post-discharge) (choice=Encephalitis)",,,checkbox,,,,,,,,,,,,,,
"Other Complications (includes during hospitalization, up to 3 months post-discharge) (choice=Dialysis)",,,checkbox,,,,,,,,,,,,,,
"Other Complications (includes during hospitalization, up to 3 months post-discharge) (choice=Other)",,,checkbox,,,,,,,,,,,,,,
"Other Complications (includes during hospitalization, up to 3 months post-discharge) (choice=None)",,,checkbox,,,,,,,,,,,,,,
Complication(s) notes,,,notes,,,,,,,,,,,,,,
How many other complications?,,,dropdown,,,,,,,,,,,,,,
Other Complication #1,,,text,,,,,,,,,,,,,,
Other Complication #2,,,text,,,,,,,,,,,,,,
Other Complication #3,,,text,,,,,,,,,,,,,,
Other Complication #4,,,text,,,,,,,,,,,,,,
Other Complication #5,,,text,,,,,,,,,,,,,,
Death ,,,radio,,,,,,,,,,,,,,
Date  of death,,,date,,,,,,,,,,,,,,
Was death due to COVID?,,,radio,,,,,,,,,,,,,,
Notes,,,notes,,,,,,,,,,,,,,
ICU: Date resolved,,,date,,,,,,,,,,,,,,
Amount of total days spent in the ICU? ,,,text,,,,,,,,,,,,,,
"Other Complications (includes during hospitalization, up to 3 months post-discharge) (choice=Myocarditis / cardiac dysfunction)",,,text,,,,,,,,,,,,,,
"Other Complications (includes during hospitalization, up to 3 months post-discharge) (choice=Pulmonary Embolus)",,,text,,,,,,,,,,,,,,
"Other Complications (includes during hospitalization, up to 3 months post-discharge) (choice=Stroke)",,,text,,,,,,,,,,,,,,
"Other Complications (includes during hospitalization, up to 3 months post-discharge) (choice=Encephalitis)",,,text,,,,,,,,,,,,,,
"Other Complications (includes during hospitalization, up to 3 months post-discharge) (choice=Dialysis)",,,text,,,,,,,,,,,,,,
"Other Complications (includes during hospitalization, up to 3 months post-discharge) (choice=Other)",,,text,,,,,,,,,,,,,,
"Other Complications (includes during hospitalization, up to 3 months post-discharge) (choice=None)",,,text,,,,,,,,,,,,,,
Complication(s) notes,,,notes,,,,,,,,,,,,,,
How many other complications?,,,dropdown,,,,,,,,,,,,,,
Other Complication #1,,,text,,,,,,,,,,,,,,
Other Complication #2,,,text,,,,,,,,,,,,,,
Other Complication #3,,,text,,,,,,,,,,,,,,
Other Complication #4,,,text,,,,,,,,,,,,,,
Other Complication #5,,,text,,,,,,,,,,,,,,
Death ,,,radio,,,,,,,,,,,,,,
Date  of death,,,date,,,,,,,,,,,,,,
Was death due to COVID?,,,radio,,,,,,,,,,,,,,
Notes,,,notes,,,,,,,,,,,,,,
sample_ID,,Identity,text,Study ID and date of sampling,,,,,,,,,,,,,
chr,,Methylation_Reference,text,Chromosome,,,,,,,,,,,,,
start,,Methylation_Reference,text,Start of interval,,,,,,,,,,,,,
stop,,Methylation_Reference,text,Stop of interval,,,,,,,,,,,,,
reference,,Methylation_Reference,text,DOI Source of Interval - Background information,,,,,,,,,,,,,
genomic_loci,,Methylation_Reference,text,Build from Chromosome_Start of interval_Stop of interval ,,,,,,,,,,,,,
CFDNA_data,,Methylation_Data,Float,Refer to Methylation_Reference_File for variable definition,,,,,,,,,,,,,
gene_ID,,Gene_count_reference,text,Ensembl gene id,,,,,,,,,,,,,
gene_name,,Gene_count_reference,text,hgnc gene symbol,,,,,,,,,,,,,
gene_type,,Gene_count_reference,text,Gene biotype,,,,,,,,,,,,,
genomic_reference,,Gene_count_reference,text,Source of gene information - Background information,,,,,,,,,,,,,
CFRNA_data,,Gene_count_data,Float,Refer to Gene_Count_Reference_File for variable definition,,,,,,,,,,,,,
WBRNA_data,,Gene_count_data,Float,Refer to Gene_Count_Reference_File for variable definition,,,,,,,,,,,,,
