Variable / Field Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Branching Logic (Show field only if...),Unit,CDE Reference
dopastartdt,treatments_and_outcomes,text,Dopamine Start Date:,,MM-DD-YYYY,date_mdy,,,[cvtype(0)] = '1',,nih_all_cde
dopastopdt,treatments_and_outcomes,text,Dopamine Stop Date:,,MM-DD-YYYY,date_mdy,,,[cvtype(0)] = '1',,nih_all_cde
dopadose,treatments_and_outcomes,text,Dopamine Dose:,,,,,,[cvtype(0)] = '1',,nih_all_cde
milrstartdt,treatments_and_outcomes,text,Milrinone Start Date:,,MM-DD-YYYY,date_mdy,,,[cvtype(1)] = '1',,nih_all_cde
milrstopdt,treatments_and_outcomes,text,Milrinone Stop Date:,,MM-DD-YYYY,date_mdy,,,[cvtype(1)] = '1',,nih_all_cde
milrdose,treatments_and_outcomes,text,Milrinone Dose:,,,,,,[cvtype(1)] = '1',,nih_all_cde
epinstart,treatments_and_outcomes,text,Epinephrine Start Date:,,MM-DD-YYYY,date_mdy,,,[cvtype(2)] = '1',,nih_all_cde
epinstop,treatments_and_outcomes,text,Epinephrine Stop Date:,,MM-DD-YYYY,date_mdy,,,[cvtype(2)] = '1',,nih_all_cde
epindose,treatments_and_outcomes,text,Epinephrine Dose:,,,,,,[cvtype(2)] = '1',,nih_all_cde
norepistartdt,treatments_and_outcomes,text,Norepinephrine Start Date:,,MM-DD-YYYY,date_mdy,,,[cvtype(3)] = '1',,nih_all_cde
norepistopdt,treatments_and_outcomes,text,Norepinephrine Stop Date:,,MM-DD-YYYY,date_mdy,,,[cvtype(3)] = '1',,nih_all_cde
norepidose,treatments_and_outcomes,text,Norepinephrine Dose:,,,,,,[cvtype(3)] = '1',,nih_all_cde
cvsupother,treatments_and_outcomes,notes,"Other, please describe:",,,,,,[cvtype(4)] = '1',,nih_all_cde
otherstartdt,treatments_and_outcomes,text,Other medication Start Date:,,MM-DD-YYYY,date_mdy,,,[cvtype(4)] = '1',,nih_all_cde
otherstopdt,treatments_and_outcomes,text,Other medication Stop Date:,,MM-DD-YYYY,date_mdy,,,[cvtype(4)] = '1',,nih_all_cde
otherdose,treatments_and_outcomes,text,Other medication Dose:,,MM-DD-YYYY,,,,[cvtype(4)] = '1',,nih_all_cde
ecmo,treatments_and_outcomes,yesno,Did the patient receive Extracorporeal membrane oxygenation (ECMO)?,,,,,,,,LOINC
ecmostartdt,treatments_and_outcomes,text,ECMO Start Date:,,MM-DD-YYYY,date_mdy,,,[ecmo] = '1',,LOINC
ecmostarttime,treatments_and_outcomes,text,ECMO Start Time:,,HH:MM,time,,,[ecmo] = '1',,LOINC
ecmostopdt,treatments_and_outcomes,text,ECMO Stop Date:,,MM-DD-YYYY,date_mdy,,,[ecmo] = '1',,LOINC
ecmostoptime,treatments_and_outcomes,text,ECMO Stop Time:,,HH:MM,time,,,[ecmo] = '1',,LOINC
ecmomode,treatments_and_outcomes,radio,Mode of ECMO:,"0, Veno-Arterial (VA) ECMO | 1, Veno-Venous (VV) ECMO | 2, Other",,,,,[ecmo] = '1',,LOINC
ecmomodeother,treatments_and_outcomes,text,ECMO mode Other:,,,,,,[ecmomode] = '2',,LOINC
immunmed,treatments_and_outcomes,yesno,Did the patient receive Immuno-modulant/Suppressant medication:,,,,,,,,NINDS
immunomedtype,treatments_and_outcomes,checkbox,Which Immuno-modulant/Suppressant medication did the patient receive?,"0, IVIG | 1, Steroid | 2, Infliximab | 3, Anakinra | 4, Tocilizumab | 5, Other",,,,,[immunmed] = '1',,NINDS
ivigstartdt,treatments_and_outcomes,text,IVIG Start Date:,,MM-DD-YYYY,date_mdy,,,[immunomedtype(0)] = '1',,NINDS
ivigdose,treatments_and_outcomes,text,IVIG dose (include unit):,,add unit,,,,[immunomedtype(0)] = '1',,NINDS
ivigindic,treatments_and_outcomes,radio,IVIG Indication:,"0, Primary Therapy | 1, Recurrent fever | 2, Cardiac Indication | 3, Other",,,,,[immunomedtype(0)] = '1',,NINDS
otherivigindic,treatments_and_outcomes,text,Other IVIG indication,,,,,,[ivigindic] = '3',,NINDS
commentsivig,treatments_and_outcomes,text,Additional Comments-IVIG,,,,,,[immunomedtype(0)] = '1',,NINDS
steriodstartdt,treatments_and_outcomes,text,Steroid Start Date:,,MM-DD-YYYY,date_mdy,,,[immunomedtype(1)] = '1',,nih_all_cde
steriodstopdt,treatments_and_outcomes,text,Steroid Stop Date:,,MM-DD-YYYY,date_mdy,,,[immunomedtype(1)] = '1',,nih_all_cde
sterdose,treatments_and_outcomes,text,Steroid dose (include unit):,,add unit,,,,[immunomedtype(1)] = '1',,nih_all_cde
sterindic,treatments_and_outcomes,radio,Steroid Indication:,"0, Primary Therapy | 1, Recurrent fever | 2, Cardiac Indication | 3, Other",,,,,[immunomedtype(1)] = '1',,nih_all_cde
othersterindic,treatments_and_outcomes,text,Other Steroid indication,,,,,,[sterindic] = '3',,nih_all_cde
pulsesteriod,treatments_and_outcomes,yesno,Did the subject receive pulse Steroids?,,,,,,,,nih_all_cde
commentssteriods,treatments_and_outcomes,text,Additional Comments-Steroid,,,,,,[immunomedtype(1)] = '1',,nih_all_cde
inflixstartdt,treatments_and_outcomes,text,Infliximab Start Date:,,MM-DD-YYYY,date_mdy,,,[immunomedtype(2)] = '1',,LOINC
inflixdose,treatments_and_outcomes,text,Infliximab dose (include unit):,,add unit,,,,[immunomedtype(2)] = '1',,LOINC
inflixindic,treatments_and_outcomes,radio,Infliximab Indication:,"0, Primary Therapy | 1, Recurrent fever | 2, Cardiac Indication | 3, Other",,,,,[immunomedtype(2)] = '1',,LOINC
otherinflixindic,treatments_and_outcomes,text,Other Infliximab indication,,,,,,[inflixindic] = '3',,LOINC
commentsinfliximab,treatments_and_outcomes,text,Additional Comments-Infliximab ,,,,,,[immunomedtype(2)] = '1',,LOINC
anakstartdt,treatments_and_outcomes,text,Anakinra Start Date:,,MM-DD-YYYY,date_mdy,,,[immunomedtype(3)] = '1',,
anakstopdt,treatments_and_outcomes,text,Anakinra Stop Date:,,MM-DD-YYYY,date_mdy,,,[immunomedtype(3)] = '1',,
anakdose,treatments_and_outcomes,text,Anakinra dose (include unit):,,add unit,,,,[immunomedtype(3)] = '1',,
anakindic,treatments_and_outcomes,radio,Anakinra Indication:,"0, Primary Therapy | 1, Recurrent fever | 2, Cardiac Indication | 3, Other",,,,,[immunomedtype(3)] = '1',,
otheanakindic,treatments_and_outcomes,text,Other Anakinra indication,,,,,,[anakindic] = '3',,
commentanak,treatments_and_outcomes,text,Additional Comments-Anakinra,,,,,,[immunomedtype(3)] = '1',,
tocstartdt,treatments_and_outcomes,text,Tocilizumab Start Date:,,MM-DD-YYYY,date_mdy,,,[immunomedtype(4)] = '1',,nlm-covid-cde
tocstopdt,treatments_and_outcomes,text,Tocilizumab Stop Date:,,MM-DD-YYYY,date_mdy,,,[immunomedtype(4)] = '1',,nlm-covid-cde
tocdose,treatments_and_outcomes,text,Tocilizumab dose (include unit):,,add unit,,,,[immunomedtype(4)] = '1',,nlm-covid-cde
tocindic,treatments_and_outcomes,radio,Tocilizumab Indication:,"0, Primary Therapy | 1, Recurrent fever | 2, Cardiac Indication | 3, Other",,,,,[immunomedtype(4)] = '1',,nlm-covid-cde
othetocindic,treatments_and_outcomes,text,Other Tocilizumab indication,,,,,,[tocindic] = '3',,nlm-covid-cde
commenttocili,treatments_and_outcomes,text,Additional Comments-Tocilizumab,,,,,,[immunomedtype(4)] = '1',,nlm-covid-cde
immunother,treatments_and_outcomes,text,Other Immuno-modulant/Suppressant medication:,,,,,,[immunomedtype(5)] = '1',,NINDS
immunotherstartdt,treatments_and_outcomes,text,Other Immuno-modulant/Suppressant medication Start Date:,,MM-DD-YYYY,date_mdy,,,[immunomedtype(5)] = '1',,NINDS
immunotherstopdt,treatments_and_outcomes,text,Other Immuno-modulant/Suppressant medication Stop Date:,,MM-DD-YYYY,date_mdy,,,[immunomedtype(5)] = '1',,NINDS
immunotherdose,treatments_and_outcomes,text,Other Immuno-modulant/Suppressant medication dose (include unit):,,add unit,,,,[immunomedtype(5)] = '1',,NINDS
immunotherindic,treatments_and_outcomes,radio,Other Immuno-modulant/Suppressant medication Indication:,"0, Primary Therapy | 1, Recurrent fever | 2, Cardiac Indication | 3, Other",,,,,[immunomedtype(5)] = '1',,NINDS
otherimmunoindic,treatments_and_outcomes,text,Other Immuno-modulant/Suppressant medication indication,,,,,,[immunotherindic] = '3',,NINDS
commentotherimmuno,treatments_and_outcomes,text,Additional Comments-Other Immuno-modulant/Suppressant ,,,,,,[immunomedtype(5)] = '1',,NINDS
anticomed,treatments_and_outcomes,yesno,Did the patient receive anti-coagulation medication? ,,,,,,,,nih_all_cde
anticomedtype,treatments_and_outcomes,checkbox,Which anti-coagulation medication did the patient receive?,"0, Therapeutic Heparin | 1, Bivalirudin | 2, Enoxaparin | 3, Other",,,,,[anticomed] = '1',,nih_all_cde
therhepstartdt,treatments_and_outcomes,text,Therapeutic Heparin Start Date:,,MM-DD-YYYY,date_mdy,,,[anticomedtype(0)] = '1',,ISTH
therhepstopdt,treatments_and_outcomes,text,Therapeutic Heparin Stop Date:,,MM-DD-YYYY,date_mdy,,,[anticomedtype(0)] = '1',,ISTH
therhepdose,treatments_and_outcomes,text,Therapeutic Heparin Dose:,,,,,,[anticomedtype(0)] = '1',,ISTH
bivastartdt,treatments_and_outcomes,text,Bivalirudin Start Date:,,MM-DD-YYYY,date_mdy,,,[anticomedtype(1)] = '1',,ISTH
bivastopdt,treatments_and_outcomes,text,Bivalirudin Stop Date:,,MM-DD-YYYY,date_mdy,,,[anticomedtype(1)] = '1',,ISTH
bivadose,treatments_and_outcomes,text,Bivalirudin Dose:,,,,,,[anticomedtype(1)] = '1',,ISTH
enoxstartdt,treatments_and_outcomes,text,Enoxaparin Start Date:,,MM-DD-YYYY,date_mdy,,,[anticomedtype(2)] = '1',,ISTH
enoxstopdt,treatments_and_outcomes,text,Enoxaparin Stop Date:,,MM-DD-YYYY,date_mdy,,,[anticomedtype(2)] = '1',,ISTH
enoxdose,treatments_and_outcomes,text,Enoxaparin Dose:,,,,,,[anticomedtype(2)] = '1',,ISTH
anticoother,treatments_and_outcomes,text,Other anti-coagulation medication:,,,,,,[anticomedtype(3)] = '1',,NINDS
otheranticostartdt,treatments_and_outcomes,text,Other anti-coagulation Start Date:,,MM-DD-YYYY,date_mdy,,,[anticomedtype(3)] = '1',,NINDS
otheranticostopdt,treatments_and_outcomes,text,Other anti-coagulation Stop Date:,,MM-DD-YYYY,date_mdy,,,[anticomedtype(3)] = '1',,NINDS
otheranticodose,treatments_and_outcomes,text,Other anti-coagulation Dose:,,,,,,[anticomedtype(3)] = '1',,NINDS
antiplmed,treatments_and_outcomes,yesno,Did the patient receive anti-platelet medication?,,,,,,,,NINDS
antiplmedtype,treatments_and_outcomes,checkbox,Which anti-platelet medication did the patient receive?,"0, Aspirin | 1, Clopidogrel | 2, Other ADP-receptor antagonists | 3, Other",,,,,[antiplmed] = '1',,nih_all_cde
aspstartdt,treatments_and_outcomes,text,Aspirin Start Date:,,MM-DD-YYYY,date_mdy,,,[antiplmedtype(0)] = '1',,nih_all_cde
aspstopdt,treatments_and_outcomes,text,Aspirin Stop Date:,,MM-DD-YYYY,date_mdy,,,[antiplmedtype(0)] = '1',,nih_all_cde
aspdose,treatments_and_outcomes,text,Aspirin Dose:,,,,,,[antiplmedtype(0)] = '1',,nih_all_cde
clopstartdt,treatments_and_outcomes,text,Clopidogrel Start Date:,,MM-DD-YYYY,date_mdy,,,[antiplmedtype(1)] = '1',,NINDS
clopstopdt,treatments_and_outcomes,text,Clopidogrel Stop Date:,,MM-DD-YYYY,date_mdy,,,[antiplmedtype(1)] = '1',,NINDS
clopdose,treatments_and_outcomes,text,Clopidogrel Dose:,,,,,,[antiplmedtype(1)] = '1',,NINDS
otheradpstartdt,treatments_and_outcomes,text,Other ADP-receptor antagonists medication Start Date:,,MM-DD-YYYY,date_mdy,,,[antiplmedtype(2)] = '1',,
otheradpstopdt,treatments_and_outcomes,text,Other ADP-receptor antagonists medication Stop Date:,,MM-DD-YYYY,date_mdy,,,[antiplmedtype(2)] = '1',,
otheradpdose,treatments_and_outcomes,text,Other ADP-receptor antagonists medication Dose:,,,,,,[antiplmedtype(2)] = '1',,
otherantiplstartdt,treatments_and_outcomes,text,Other anti-platelet medication Start Date:,,MM-DD-YYYY,date_mdy,,,[antiplmedtype(3)] = '1',,
otherantiplstopdt,treatments_and_outcomes,text,Other anti-platelet medication Stop Date:,,MM-DD-YYYY,date_mdy,,,[antiplmedtype(3)] = '1',,
otherantipldose,treatments_and_outcomes,text,Other anti-platelet medication Dose:,,,,,,[antiplmedtype(3)] = '1',,
mechvent,treatments_and_outcomes,yesno,Did the patient receive mechanical ventilation?,,,,,,,,nih_all_cde
dateintub,treatments_and_outcomes,text,Date of intubation:,,MM-DD-YYYY,date_mdy,,,[mechvent] = '1',,nih_all_cde
dateextu,treatments_and_outcomes,text,Date of extubation:,,MM-DD-YYYY,date_mdy,,,[mechvent] = '1',,nih_all_cde
hosmort,treatments_and_outcomes,yesno,In-hospital mortality:,,,,,,,,nih_all_cde
datedeath,treatments_and_outcomes,text,Date of death:,,MM-DD-YYYY,date_mdy,,,[hosmort] = '1',,nih_all_cde
autopsy,treatments_and_outcomes,yesno,Was there an autopsy?,,,,,,[hosmort] = '1',,nih_all_cde
dateautopsy,treatments_and_outcomes,text,Date of autopsy:,,MM-DD-YYYY,date_mdy,,,[autopsy] = '1',,nih_all_cde
commntsoutcomes,treatments_and_outcomes,notes,Comments:,,,,,,,,nih_all_cde
wrostever,worst_ever_lab_results_and_cardiac_measurements,descriptive,Worst ever for laboratory measurements and  cardiac measurements ,,,,,,,,
dthgb,worst_ever_lab_results_and_cardiac_measurements,text,"Date of lowest Hemoglobin
",,MM-DD-YYYY,date_mdy,,,,,nih_all_cde
hgblowest,worst_ever_lab_results_and_cardiac_measurements,text, Lowest Hemoglobin (g/dL):,,to 1 decimal place,number,5,50,,,nih_all_cde
dtplt,worst_ever_lab_results_and_cardiac_measurements,text,"Date of lowest Platelet Count:
",,MM-DD-YYYY,date_mdy,,,,,nih_all_cde
pltslowest,worst_ever_lab_results_and_cardiac_measurements,text,Lowest Platelet Count (X 10^3/uL):,,,number,30,2000,,,nih_all_cde
crpdthighest,worst_ever_lab_results_and_cardiac_measurements,text,"Date of highest CRP: 
",,MM-DD-YYYY,date_mdy,,,,,nih_all_cde
unitcrphighest,worst_ever_lab_results_and_cardiac_measurements,radio,Highest CRP Unit ,"1, mg/dL | 2, mg/L",,,,,,,nih_all_cde
crphighest,worst_ever_lab_results_and_cardiac_measurements,text,Highest C-reactive protein,,to 1 decimal place,number,,,[unitcrphighest] = '2' or [unitcrphighest] = '1',,nih_all_cde
tropdthigh,worst_ever_lab_results_and_cardiac_measurements,text,"Date of Highest Troponin: 
",,MM-DD-YYYY,date_mdy,,,,,nih_all_cde
trophigh,worst_ever_lab_results_and_cardiac_measurements,text,Highest Troponin value:,,,,,,,,nih_all_cde
unittrophigh,worst_ever_lab_results_and_cardiac_measurements,text,Unit for Troponin:,,,,,,,,nih_all_cde
tropnormvaluehigh,worst_ever_lab_results_and_cardiac_measurements,text,Troponin Institutional Normal Values:,,,,,,,,nih_all_cde
ntbnpdthigh,worst_ever_lab_results_and_cardiac_measurements,text,"Date of Highest NTproBNP: 
",,MM-DD-YYYY,date_mdy,,,,,NHLBI
unitntbnphigh,worst_ever_lab_results_and_cardiac_measurements,text,Unit for NT-proBNP:,,,,,,,,NHLBI
ntbnphigh,worst_ever_lab_results_and_cardiac_measurements,text,Highest NT-proBNP value:,,,,,,,,NHLBI
ntbnpnormvaluehigh,worst_ever_lab_results_and_cardiac_measurements,text,NT-proBNP Institutional Normal Values:,,,,,,,,NHLBI
bnpdthigh,worst_ever_lab_results_and_cardiac_measurements,text,"Date of Highest BNP: 
",,MM-DD-YYYY,date_mdy,,,,,NHLBI
bnphigh,worst_ever_lab_results_and_cardiac_measurements,text,Highest BNP value:,,,,,,,,NHLBI
unitbnphigh,worst_ever_lab_results_and_cardiac_measurements,text,Unit for BNP:,,,,,,,,NHLBI
bnpnormvaluehigh,worst_ever_lab_results_and_cardiac_measurements,text,BNP Institutional Normal Values:,,,,,,,,NHLBI
ferrdthigh,worst_ever_lab_results_and_cardiac_measurements,text,"Date of Highest Ferritin: 
",,MM-DD-YYYY,date_mdy,,,,,NHLBI
ferritinhigh,worst_ever_lab_results_and_cardiac_measurements,text,Highest Ferritin (ng/mL):,,,,,,,,NHLBI
ferrnormvaluehigh,worst_ever_lab_results_and_cardiac_measurements,text,Ferritin Institutional Normal Values:,,,,,,,,NHLBI
ddimdthigh,worst_ever_lab_results_and_cardiac_measurements,text,"Date of Highest D-Dimer: 
",,MM-DD-YYYY,date_mdy,,,,,NHLBI
ddim_2,worst_ever_lab_results_and_cardiac_measurements,text,D-Dimer (mg/mL):,,,,,,,,NHLBI
efdtlow,worst_ever_lab_results_and_cardiac_measurements,text,"Date Lowest LV Ejection Fraction : 
**Use calendar to complete date ",,MM-DD-YYYY,date_mdy,,,,,NHLBI
eflow,worst_ever_lab_results_and_cardiac_measurements,text,Lowest LV Ejection Fraction (%): ,,,,,,,,NHLBI
efmethodlow,worst_ever_lab_results_and_cardiac_measurements,radio,LV Ejection Fraction method:,"0, Bullet | 1, Biplane Simpson | 2, M-mode | 3, Other",,,,,,,NHLBI
efmethodotherlow,worst_ever_lab_results_and_cardiac_measurements,text,"Ejection Fraction method other, please specify",,,,,,[efmethod] = '3',,NINDS
zscorehigh,worst_ever_lab_results_and_cardiac_measurements,yesno,<p>Did the patient have a z-score (z <u>> </u>2.5) ?</p>,,,,,,,,NINDS
zscorehighloc,worst_ever_lab_results_and_cardiac_measurements,checkbox,"Which coronary artery had a z-score (z <u>> </u>2.5)?
select all that apply","1, LAD | 2, Proximal RCA | 3, Neither",,,,,,,NINDS
echoht_2,worst_ever_lab_results_and_cardiac_measurements,text,Height (cm),,,,,,,,nih_all_cde
echowt_2,worst_ever_lab_results_and_cardiac_measurements,text,Weight (kg),,,,,,,,nih_all_cde
bsa_2,worst_ever_lab_results_and_cardiac_measurements,calc,BSA,sqrt(([echoht_2]*[echowt_2])/3600),,,,,,,nih_all_cde
echodtlad,worst_ever_lab_results_and_cardiac_measurements,text,"Date of Echocardiogram LAD: 
",,MM-DD-YYYY,date_mdy,,,[zscorehighloc(1)] = '1',,
laddiaechohigh,worst_ever_lab_results_and_cardiac_measurements,text,LAD artery internal diameter on echo (mm): ,,to 1 decimal place,,,,[zscorehighloc(1)] = '1',,
echodtrca,worst_ever_lab_results_and_cardiac_measurements,text,"Date of Echocardiogram Proximal RCA: 
",,MM-DD-YYYY,date_mdy,,,[zscorehighloc(2)] = '1',,
rcadiaechohigh,worst_ever_lab_results_and_cardiac_measurements,text,Proximal RCA internal diameter on echo (mm):,,to 1 decimal place,,,,[zscorehighloc(2)] = '1',,
studyidsample,samples,descriptive,Please include the patients study ID on each sample,,,,,,,,
samplepriority,samples,descriptive,"<div class=""rich-text-field-label""><table style=""width: 415.0pt; border-collapse: collapse; border: none;""> <tbody> <tr style=""height: 82px;""> <td style=""width: 108.9pt; border: 1pt solid windowtext; padding: 0in 5.4pt; height: 82px;""> <p style=""text-align: center;""><strong>Blood samples (order of priority)</strong></p> </td> <td style=""width: 100.7pt; border-top: 1pt solid windowtext; border-right: 1pt solid windowtext; border-bottom: 1pt solid windowtext; border-image: initial; border-left: none; padding: 0in 5.4pt; height: 82px;""> <p style=""text-align: center;""><strong>Pre-Treatment</strong></p> </td> <td style=""width: 112.15pt; border-top: 1pt solid windowtext; border-right: 1pt solid windowtext; border-bottom: 1pt solid windowtext; border-image: initial; border-left: none; padding: 0in 5.4pt; height: 82px;""> <p style=""text-align: center;""><strong>Post-Treatment and Before Discharge</strong></p> </td> <td style=""width: 93.25pt; border-top: 1pt solid windowtext; border-right: 1pt solid windowtext; border-bottom: 1pt solid windowtext; border-image: initial; border-left: none; padding: 0in 5.4pt; height: 82px;""> <p style=""text-align: center;""><strong>Clinic Visit</strong></p> </td> </tr> <tr style=""height: 46px;""> <td style=""width: 108.9pt; border-right: 1pt solid windowtext; border-bottom: 1pt solid windowtext; border-left: 1pt solid windowtext; border-image: initial; border-top: none; padding: 0in 5.4pt; height: 46px;""> <p>PAXgene</p> </td> <td style=""width: 100.7pt; border-top: none; border-left: none; border-bottom: 1pt solid windowtext; border-right: 1pt solid windowtext; padding: 0in 5.4pt; height: 46px;""> <p style=""text-align: center;"">X</p> </td> <td style=""width: 112.15pt; border-top: none; border-left: none; border-bottom: 1pt solid windowtext; border-right: 1pt solid windowtext; padding: 0in 5.4pt; height: 46px;""> <p style=""text-align: center;"">X</p> </td> <td style=""width: 93.25pt; border-top: none; border-left: none; border-bottom: 1pt solid windowtext; border-right: 1pt solid windowtext; padding: 0in 5.4pt; height: 46px;""> <p style=""text-align: center;"">X</p> </td> </tr> <tr style=""height: 46px;""> <td style=""width: 108.9pt; border-right: 1pt solid windowtext; border-bottom: 1pt solid windowtext; border-left: 1pt solid windowtext; border-image: initial; border-top: none; padding: 0in 5.4pt; height: 46px;""> <p>EDTA plasma</p> </td> <td style=""width: 100.7pt; border-top: none; border-left: none; border-bottom: 1pt solid windowtext; border-right: 1pt solid windowtext; padding: 0in 5.4pt; height: 46px;""> <p style=""text-align: center;"">X</p> </td> <td style=""width: 112.15pt; border-top: none; border-left: none; border-bottom: 1pt solid windowtext; border-right: 1pt solid windowtext; padding: 0in 5.4pt; height: 46px;""> <p style=""text-align: center;"">X</p> </td> <td style=""width: 93.25pt; border-top: none; border-left: none; border-bottom: 1pt solid windowtext; border-right: 1pt solid windowtext; padding: 0in 5.4pt; height: 46px;""> <p style=""text-align: center;"">X</p> </td> </tr> <tr style=""height: 46px;""> <td style=""width: 108.9pt; border-right: 1pt solid windowtext; border-bottom: 1pt solid windowtext; border-left: 1pt solid windowtext; border-image: initial; border-top: none; padding: 0in 5.4pt; height: 46px;""> <p>Serum</p> </td> <td style=""width: 100.7pt; border-top: none; border-left: none; border-bottom: 1pt solid windowtext; border-right: 1pt solid windowtext; padding: 0in 5.4pt; height: 46px;""> <p style=""text-align: center;"">X</p> </td> <td style=""width: 112.15pt; border-top: none; border-left: none; border-bottom: 1pt solid windowtext; border-right: 1pt solid windowtext; padding: 0in 5.4pt; height: 46px;""> <p style=""text-align: center;"">X</p> </td> <td style=""width: 93.25pt; border-top: none; border-left: none; border-bottom: 1pt solid windowtext; border-right: 1pt solid windowtext; padding: 0in 5.4pt; height: 46px;""> <p style=""text-align: center;"">X</p> </td> </tr> <tr style=""height: 46px;""> <td style=""width: 108.9pt; border-right: 1pt solid windowtext; border-bottom: 1pt solid windowtext; border-left: 1pt solid windowtext; border-image: initial; border-top: none; padding: 0in 5.4pt; height: 46px;""> <p>DNA</p> </td> <td style=""width: 100.7pt; border-top: none; border-left: none; border-bottom: 1pt solid windowtext; border-right: 1pt solid windowtext; padding: 0in 5.4pt; height: 46px;""> <p style=""text-align: center;"">",,,,,,,,
scavblood,samples,yesno,Did you collected scavenged samples?,,,,,,,,nih_all_cde
scavsampletype,samples,checkbox,Which scavenged samples were collected?,"0, Serum | 1, Plasma (EDTA purple top) | 2, DNA (purple top)",Click all that apply,,,,[scavblood] = '1',,nih_all_cde
dateserum,samples,text,Date scavenged serum collected:,,MM-DD-YYYY,date_mdy,,,[scavsampletype(0)] = '1',,nih_all_cde
dateplasma,samples,text,Date scavenged plasma collected:,,MM-DD-YYYY,date_mdy,,,[scavsampletype(1)] = '1',,nih_all_cde
datedna,samples,text,Date scavenged DNA collected:,,MM-DD-YYYY,date_mdy,,,[scavsampletype(2)] = '1',,nih_all_cde
charmsblood,samples,yesno,Did you collect samples using the CHARMS tubes?,,,,,,,,
charmssampletype,samples,checkbox,Which CHARMS samples were collected?,"0, Serum | 1, Plasma (EDTA purple) | 2, RNA (PAX Gene tube) | 3, DNA (purple top or mouthwash)",Click all that apply,,,,[charmsblood] = '1',,
datecharmssamp,samples,text,Date CHARMS samples collected:,,MM-DD-YYYY,date_mdy,,,[charmsblood] = '1',,
timecharmssamp,samples,text,Time CHARMS samples collected:,,HH:MM,time,,,[charmsblood] = '1',,
rectalswab,samples,yesno,Did you collect rectal swab in 95% ethanol?,,,,,,,,
daterectal,samples,text,Date rectal swab collected with FLOQ swab in 95% ethanol:,,MM-DD-YYYY,date_mdy,,,[rectalswab] = '1',,
commetssamples,samples,notes,Comments,,,,,,,,
