variable_name,datatype,description,Value Set,units,required,Dependent Fields,source_file,source_directory,Digest (variable_name|source_file|source_directory)
equiv_sewage_amt,float,Equivalent unconcentrated volume of wastewater or mass of sludge in PCR reaction,"[greater than or equal to 0];
[empty]",ml wastewater or g sludge,not required,None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,78d240373d9a848d2f2a47b3936d50fe4bcc7312ca37d9954bac559ca7fe2f8494800efe933f00c321982dec82843ce8ba4bf7df3744799587575416506218fe
sample_id,"jurisdiction id (a string 20 characters or less, containing only numbers, english alphabetic characters, underscores, and hyphens; white space is not allowed; not case sensitive)",An ID assigned to a wastewater sample. It must be unique for this NWSS reporting jurisdiction. Wastewater samples that are split and measured by different labs should have the same sample ID but different lab IDs. Wastewater samples for which multiple SARS-CoV-2 PCR targets are measured should also have the same sample ID. Note: do not include PII in this field.,[sample id],[none],required,None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,325d95c24f0eca30df6efba867813c12025b94277c318b7ead5a1102c9f5fac277f4c5368152217f6ed1ab7c9c6c4c86c91ef8ef5703342a6a01187b7fe994a9
lab_id,"jurisdiction id (a string 20 characters or less, containing only numbers, english alphabetic characters, underscores, and hyphens; white space is not allowed; not case sensitive)","An ID assigned to a testing lab. It must be unique across labs used for this NWSS reporting jurisdiction's testing. If the same lab is used across multiple NWSS reporting jurisdictions, each NWSS reporting jurisdiction may assign that lab a different lab ID. Note: including PII in this field is discouraged.",[lab id],[none],required,None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,b5d218c532ea988882ae4f86400ba2352720f77db8732c63ed870fdc0be4c2e2377432829d1a0332c595247b6d5c667dd93fc06944d88d0b92e176d3ee9a55b3
sarscov2 quantification results,,,,,,,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,c6bac5fc791c9670162160e0eace1f954b342afb06650408bffca8687e3d9009041fb1f4320e20fd1f895acad4b034ffc3ac17f1d725bf84e74ac5e4f581d3ea
test_result_date,date ([yyyy]-[mm]-[dd]),The date on which this SARS-CoV-2 measurement was made,[date not after tomorrow's date and not before 'sample_collect_date'],[none],required,None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,ecd10522dc2be562d49c6ecf8783717e08dbb643e85f45a4ed55ac73f48e8f137ccfb85015985a08e6eff147d285d826641a1483109a63d840a451eceda86ea5
sars_cov2_units,category,Units of SARS-CoV-2 sample concentration,,[none],required,None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,c2fa02faac3ba78b4e44b0bf5c1364031f525ebd5333a7818f5160f668aba450adcfcd6a7147bfa5aee5ebcd9c4f0af49720e41ac2ad24d22a4e3f16483eb239
sars_cov2_avg_conc,float,"Concentration of SARS-CoV-2 back-calculated to unconcentrated sample basis; enter ""0"" if no amplification occurred, using the definition of amplification described in 'ntc_amplify'; otherwise, enter the estimated concentration; do not adjust for matrix recovery efficiency","[any float other than 0];
0 (if no amplification observed)",[units specified in 'sars_cov2_units'],required,None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,8029fa50d57744e4fe6bedd558b0c3f56895db541410c83f91c461ed028155b0ec579c8b4bfee17785db78b4a00e7345fb1ed14760310ae053e8ca35ea4f0705
sars_cov2_std_error,float,"Standard error (SE) of SARS-CoV-2 in wastewater sample, or best estimate that is consistently available. If sample replicates are always performed, use SE of sample replicates; else, if processing replicates are always performed, use SE of processing replicates; else, if qPCR is performed, use SE of PCR replicates; else, if digital PCR is performed, use error from multiple replicates if available, and Poisson error if not","[greater than or equal to 0];
-1 (if cannot be calculated, such as when no amplification observed);
[empty]",[units specified in 'sars_cov2_units'],required,Either 'sars_cov2_std_error' or ('sars_cov2_cl_95_lo' and 'sars_cov2_cl_95_up') must have a non-empty value,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,d71ff0d187b0da49fa5709cbc680d9f7e1d5950badb6658945da66724d57f3687316a34d4c0b69fa3b9704ad391e8c65b66259c5bcc3ed14381b9436e963a57e
sars_cov2_cl_95_lo,float,"Lower bound of 95% confidence interval of SARS-CoV-2 in wastewater sample, or best estimate that is consistently available. Follow the same hierarchy as described for standard error. (Note: 'cl' stands for confidence limit)","[any float other than -1];
-1 (if cannot be calculated, such as when no amplification observed);
[empty]",[units specified in 'sars_cov2_units'],required,Either 'sars_cov2_std_error' or ('sars_cov2_cl_95_lo' and 'sars_cov2_cl_95_up') must have a non-empty value,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,b726eaf233edf7cbbb432aab276a3710e8f70fb4528b2f1a66cf46cb87fc0f42fe943916695a976d66d357d556165cecd681c1c86d91f6bc21b5cfb155649501
sars_cov2_cl_95_up,float,"Upper bound of 95% confidence interval of SARS-CoV-2 in wastewater sample, or best estimate that is consistently available. Follow the same hierarchy as described for standard error. (Note: 'cl' stands for confidence limit)","[any float other than -1];
-1 (if cannot be calculated, such as when no amplification observed);
[empty]",[units specified in 'sars_cov2_units'],required,Either 'sars_cov2_std_error' or ('sars_cov2_cl_95_lo' and 'sars_cov2_cl_95_up') must have a non-empty value,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,e786a37ea25b5de5e618371ee8ea5b51a5daaa3c5bda5efe85b53db291f1bb3efc4430dc015acee263da7f8fc7bae2b532627c06f3ce634a837a09ce4ce7ec99
sars_cov2_below_lod,category,Was the concentration of SARS-CoV-2 below the limit of detection?,,[none],required,None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,a1d00ecabd72d715ac0a2938177c2d7cc52df2b2c7483ae80792c9bb845eed9e91e1660c87460da2a1e4223421f8f9ad07a1807ba16aaf144f9e1b1878ca4a5e
lod_sewage,float,SARS-CoV-2 limit of detection back-calculated to unconcentrated sample basis,[float],[units specified in 'sars_cov2_units'],required,None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,c023ea5527e16501f8365b757c77105a09e64b0c908549faca34cb3ee1d44fb9be9ccac0365915446f884e81d0c80da0aad47afed65c2630224e0cb1eb46e4c4
ntc_amplify,category,"For qPCR, did any no-template controls on this instrument run have a Ct value less than 40? For ddPCR, did any no-template controls on this instrument run have 3 or more positive droplets?",,[none],required,None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,6fcd4f49fe4611a4f7848cdc25cf1cbfd49fb05fc57424a8468780a9c81486f464c0c32a9e61845e5fc43a47d7db8d77904180556b4022bf2bd7469798cd7b11
rec_eff_percent,float,"Percent of spiked recovery control, specified in 'rec_eff_target_name', that was recovered","[greater than or equal to 0];
-1 (if not tested)",percent,required,None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,d7bcbd2cedbe6b7580a04f822ab0b9b4ecf0043893d45b00850a7aa69b9d96012fe8d2540a8bab61b0596619cd87c71769c58295923b44ee25d5b75cde67ff80
inhibition_detect,category,Was molecular inhibition detected?,,[none],required,None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,394c3006b25c5ee9c3735c6d78241db6801eed13a18846d7633a39e9fbc542b60ac3ec0267cef72213efc2100451748da8c8b2c5e540f2ebd5486d407ed5caea
inhibition_adjust,category,Was inhibition incorporated into the SARS-CoV-2 concentration calculation?,,[none],required,"If 'inhibition_detect' is ""yes"", then this must have a non-empty value",NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,0ba50278d35bda6bbecd8cffbaf6278089b5603d049c868b645bd9a9d69a70bd678c14644965aa0fc210de2fcd7e3ae7e067d3c9a7281a346f61ac43da8baa79
hum_frac_mic_conc,float,Concentration of microbial target specified in 'hum_frac_target_mic'; follow the same guidelines outline for 'sars_cov2_avg_conc',"[float];
[empty]",[units specified in 'hum_frac_mic_unit'],not required,"If 'hum_frac_mic_unit' has a non-empty value, then this must have a non-empty value",NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,864ed0f53c9e88bf1aecfe22ca7663347a00bc7d3e06deca28faf38cdbdff8b61761429d73c57db63d7d81ef73859e5e07b03db17b45bc1302f5c89aef0dc6fe
hum_frac_mic_unit,category,Concentration units of microbial target specified in 'hum_frac_target_mic',,[none],not required,"If 'hum_frac_mic_conc' has a non-empty value, then this must have a non-empty value",NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,8559bdc0253b59a73675b2d4f46bc22bba0d091023492d7c525eadbb45b90fd16341240aaf002bb68af4ce7992a604d978bec0b95303a35b70aabd0cb5c0dda4
hum_frac_chem_conc,float,Concentration of chemical target specified in 'hum_frac_target_chem',"[float];
[empty]",[units specified in 'hum_frac_chem_unit'],not required,"If 'hum_frac_chem_unit' has a non-empty value, then this must have a non-empty value",NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,436b2be9dd21368cb9399d9a7399e73508d4a27c4e3d00d716650d5eba1828b75bbd729aed8c2cfc18b4d27100936ba999cc1b5bb7137f7113256f0a9beaaa6a
hum_frac_chem_unit,category,Concentration units of chemical target  specified in 'hum_frac_target_chem',,[none],not required,"If 'hum_frac_chem_conc' has a non-empty value, then this must have a non-empty value",NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,b45d46b105738aee13c477212ed535534464e7cbd5ec4dc5242022298fd86d959c7a08a5eb5862373cbb88924063d0e4980dadde1f54739cc5f2893ac52b1572
other_norm_conc,float,Concentration of target spcified in 'other_norm_name',"[float];
[empty]",[units specified in 'other_norm_conc'],not required,"If 'other_norm_unit' has a non-empty value, then this must have a non-empty value",NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,5afff76faedf4d65872a6fcf100fcb56cfcd9cd96e1d373bd469b073b5a6df49ef750e0ab7fc7a5b9efa8a368ededc7a9aead00255db7357c7a122fbd86813f8
other_norm_unit,category,Concentration units of target spcified in 'other_norm_name',,[none],not required,"If 'other_norm_conc' has a non-empty value, then this must have a non-empty value",NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,2b84258df3d95254ac012e1f3c546941701ce0c476ebb9c21b85482a5c4753a6f2469ed952020ed1cfbea8101d5e6cf026880b2f7bb7c7931f4290d68b029b95
quality_flag,category,"Does this observation have quality control issues? ",,,not required,None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,bc99c92aa5cc273124cad2544e504b60873360f317198c68d826f2ffd034e6530157c51ec157dffebcba7363c76e8409fb43f6e71dffbed27b0d8075d73680a1
