Id,Description,Datatype,Units,Enumeration,Label,Additional Missing Value Codes,Terms,Unit,Section,ui,Notes,min,max,CDE Reference,pattern,phi_id,branching_logic,required,form_name,header,Variable Classification,Validation,Field Notes,Branching_Logic,CDE_Reference,Custom Alignment,source_file,source_directory,Program,Title,Summary
hlthstat_date_mdy,,date,,,Date of Health Status Collection,"""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",,,,,,,,,,,,,,,,,,,,,20230608_project96_DICT_transformcopy_v1.csv,phs003234,RADx-UP,COVID-19 testing and vaccination social network diffusion for diverse criminal legal involved communities,
household_congregate_3,,int,,"""1""=[A group care setting] |""10""=[Homeless or in no consistent shelter] |""2""=[Nursing home] |""3""=[Residential care facility for people with intellectual and developmental disabilities] |""4""=[A psychiatric treatment facility] |""5""=[A group home] |""6""=[A board and care home] |""7""=[Prison or jail] |""8""=[A halfway house] |""9""=[Foster care] |""90""=[Somewhere else] |""99""=[Prefer not to answer] ",Do you live in any of these?,"""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",,,,,,,,,,,,,,,,,,,,,20230608_project96_DICT_transformcopy_v1.csv,phs003234,RADx-UP,COVID-19 testing and vaccination social network diffusion for diverse criminal legal involved communities,
household_famgen_3,,int,,"""1""=[Just me] |""2""=[Living with spouse, no kids] |""3""=[Family including kids] |""4""=[Family with 3 generations (parents, children, grandchildren)] |""5""=[Family with 4 generations] |""6""=[Living with roommates] |""90""=[None of these] |""99""=[Prefer not to answer] ",What best describes the people at your home:,"""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",,,,,,,,,,,,,,,,,,,,,20230608_project96_DICT_transformcopy_v1.csv,phs003234,RADx-UP,COVID-19 testing and vaccination social network diffusion for diverse criminal legal involved communities,
household_homeless,,int,,"""0""=[No] |""1""=[Yes] |""98""=[Prefer not to answer] |""99""=[Don't know] ","Are you currently living in transitional housing, staying in a shelter, or experiencing homelessness?","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",,,,,,,,,,,,,,,,,,,,,20230608_project96_DICT_transformcopy_v1.csv,phs003234,RADx-UP,COVID-19 testing and vaccination social network diffusion for diverse criminal legal involved communities,
housing_date_mdy,,date,,,"Date of Housing, Employment and Insurance Collection","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",,,,,,,,,,,,,,,,,,,,,20230608_project96_DICT_transformcopy_v1.csv,phs003234,RADx-UP,COVID-19 testing and vaccination social network diffusion for diverse criminal legal involved communities,
isolate_maintain_job,,int,,"""1""=[Yes] |""2""=[No] |""98""=[Don't know] |""99""=[Prefer not to answer] ","If you were to test positive for COVID-19, would you be able to isolate without losing your job?","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",,,,,,,,,,,,,,,,,,,,,20230608_project96_DICT_transformcopy_v1.csv,phs003234,RADx-UP,COVID-19 testing and vaccination social network diffusion for diverse criminal legal involved communities,
jobloss_covid19_2,,int,,"""0""=[No] |""1""=[Yes] |""99""=[Prefer not to answer] ","Have you, or has anyone in your household, experienced a loss of employment income since the start of the COVID-19 pandemic (March 2020)?","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",,,,,,,,,,,,,,,,,,,,,20230608_project96_DICT_transformcopy_v1.csv,phs003234,RADx-UP,COVID-19 testing and vaccination social network diffusion for diverse criminal legal involved communities,
language_english,,int,,"""0""=[No] |""1""=[Yes] |""98""=[Prefer not to answer] ",Do you speak a language other than English at home?,"""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",,,,,,,,,,,,,,,,,,,,,20230608_projectS17_DICT_transformcopy_v1.csv,phs003123,RADx-UP,"Exploring barriers and facilitators to women who use drugs (WWUD) awareness, acceptance and uptake of COVID-19 testing, the CARE study ","Supplemental award to project 64_JHU. This supplement includes an additional touchpoint at the 6-month mark for Aim 3. No other changes were made. "
language_home___1,,bit,,"""0""=[Spanish] |""1""=[Spanish] ",What languages are spoken at home?,"""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",,,,,,,,,,,,,,,,,,,,,20230608_project96_DICT_transformcopy_v1.csv,phs003234,RADx-UP,COVID-19 testing and vaccination social network diffusion for diverse criminal legal involved communities,
language_home___4,,bit,,"""0""=[Cantonese] |""1""=[Cantonese] ",What languages are spoken at home?,"""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",,,,,,,,,,,,,,,,,,,,,20230608_project96_DICT_transformcopy_v1.csv,phs003234,RADx-UP,COVID-19 testing and vaccination social network diffusion for diverse criminal legal involved communities,
language_home___8,,bit,,"""0""=[Navajo] |""1""=[Navajo] ",What languages are spoken at home?,"""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",,,,,,,,,,,,,,,,,,,,,20230608_project96_DICT_transformcopy_v1.csv,phs003234,RADx-UP,COVID-19 testing and vaccination social network diffusion for diverse criminal legal involved communities,
language_home___9,,bit,,"""0""=[English] |""1""=[English] ",What languages are spoken at home?,"""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",,,,,,,,,,,,,,,,,,,,,20230608_project96_DICT_transformcopy_v1.csv,phs003234,RADx-UP,COVID-19 testing and vaccination social network diffusion for diverse criminal legal involved communities,
language_home___90,,bit,,"""0""=[Other] |""1""=[Other] ",What languages are spoken at home?,"""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",,,,,,,,,,,,,,,,,,,,,20230608_project96_DICT_transformcopy_v1.csv,phs003234,RADx-UP,COVID-19 testing and vaccination social network diffusion for diverse criminal legal involved communities,
language_home___99,,bit,,"""0""=[Prefer not to answer] |""1""=[Prefer not to answer] ",What languages are spoken at home?,"""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",,,,,,,,,,,,,,,,,,,,,20230608_project96_DICT_transformcopy_v1.csv,phs003234,RADx-UP,COVID-19 testing and vaccination social network diffusion for diverse criminal legal involved communities,
med_hx_date_mdy,,date,,,Date of Medical History Collection  MM/DD/YYYY,"""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",,,,,,,,,,,,,,,,,,,,,20230608_project96_DICT_transformcopy_v1.csv,phs003234,RADx-UP,COVID-19 testing and vaccination social network diffusion for diverse criminal legal involved communities,
positivemonth_covidtest_2,,int,,"""1""=[January] |""10""=[October] |""11""=[November] |""12""=[December] |""2""=[February] |""3""=[March] |""4""=[April] |""5""=[May] |""6""=[June] |""7""=[July] |""8""=[August] |""9""=[September] |""99""=[Prefer not to answer] ",What month did you first test positive for COVID-19?,"""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",,,,,,,,,,,,,,,,,,,,,20230608_project96_DICT_transformcopy_v1.csv,phs003234,RADx-UP,COVID-19 testing and vaccination social network diffusion for diverse criminal legal involved communities,
positiveyear_covidtest_3,,int,,"""1""=[2019] |""2""=[2020] |""3""=[2021] |""4""=[2022] |""5""=[2023] |""6""=[2024] |""7""=[2025] |""99""=[Prefer not to answer] ",What year did you first test positive for COVID-19?,"""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",,,,,,,,,,,,,,,,,,,,,20230608_project96_DICT_transformcopy_v1.csv,phs003234,RADx-UP,COVID-19 testing and vaccination social network diffusion for diverse criminal legal involved communities,
quarantine_maintain_job,,int,,"""1""=[Yes] |""2""=[No] |""98""=[Don't know] |""99""=[Prefer not to answer] ","If you would be exposed to someone with COVID-19, would you be able to quarantine without losing your job? ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",,,,,,,,,,,,,,,,,,,,,20230608_project96_DICT_transformcopy_v1.csv,phs003234,RADx-UP,COVID-19 testing and vaccination social network diffusion for diverse criminal legal involved communities,
race_ethn_asian_detail_3___1,,bit,,"""0""=[Japanese] |""1""=[Japanese] ",,"""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",,,,,,,,,,,,,,,,,,,,,20230608_project96_DICT_transformcopy_v1.csv,phs003234,RADx-UP,COVID-19 testing and vaccination social network diffusion for diverse criminal legal involved communities,
race_ethn_asian_detail_3___2,,bit,,"""0""=[Filipino] |""1""=[Filipino] ",,"""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",,,,,,,,,,,,,,,,,,,,,20230608_project96_DICT_transformcopy_v1.csv,phs003234,RADx-UP,COVID-19 testing and vaccination social network diffusion for diverse criminal legal involved communities,
race_ethn_asian_detail_3___3,,bit,,"""0""=[Chinese, except Taiwanese] |""1""=[Chinese, except Taiwanese] ",,"""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",,,,,,,,,,,,,,,,,,,,,20230608_project96_DICT_transformcopy_v1.csv,phs003234,RADx-UP,COVID-19 testing and vaccination social network diffusion for diverse criminal legal involved communities,
race_ethn_asian_detail_3___4,,bit,,"""0""=[Korean] |""1""=[Korean] ",,"""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",,,,,,,,,,,,,,,,,,,,,20230608_project96_DICT_transformcopy_v1.csv,phs003234,RADx-UP,COVID-19 testing and vaccination social network diffusion for diverse criminal legal involved communities,
race_ethn_asian_detail_3___5,,bit,,"""0""=[Other Asian] |""1""=[Other Asian] ",,"""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",,,,,,,,,,,,,,,,,,,,,20230608_project96_DICT_transformcopy_v1.csv,phs003234,RADx-UP,COVID-19 testing and vaccination social network diffusion for diverse criminal legal involved communities,
race_ethn_hispanic_detail_2___1,,bit,,"""0""=[Mexican, Mexican Am., Chicano] |""1""=[Mexican, Mexican Am., Chicano] ",Please specify your origin,"""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",,,,,,,,,,,,,,,,,,,,,20230608_project96_DICT_transformcopy_v1.csv,phs003234,RADx-UP,COVID-19 testing and vaccination social network diffusion for diverse criminal legal involved communities,
race_ethn_hispanic_detail_2___2,,bit,,"""0""=[Puerto Rican] |""1""=[Puerto Rican] ",Please specify your origin,"""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",,,,,,,,,,,,,,,,,,,,,20230608_project96_DICT_transformcopy_v1.csv,phs003234,RADx-UP,COVID-19 testing and vaccination social network diffusion for diverse criminal legal involved communities,
race_ethn_hispanic_detail_2___3,,bit,,"""0""=[Cuban] |""1""=[Cuban] ",Please specify your origin,"""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",,,,,,,,,,,,,,,,,,,,,20230608_project96_DICT_transformcopy_v1.csv,phs003234,RADx-UP,COVID-19 testing and vaccination social network diffusion for diverse criminal legal involved communities,
race_ethn_hispanic_detail_2___4,,bit,,"""0""=[Another Hispanic, Latino, or Spanish origin] |""1""=[Another Hispanic, Latino, or Spanish origin] ",Please specify your origin,"""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",,,,,,,,,,,,,,,,,,,,,20230608_project96_DICT_transformcopy_v1.csv,phs003234,RADx-UP,COVID-19 testing and vaccination social network diffusion for diverse criminal legal involved communities,
race_ethn_islander_detail_2___1,,bit,,"""0""=[Native Hawaiian] |""1""=[Native Hawaiian] ",,"""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",,,,,,,,,,,,,,,,,,,,,20230608_project96_DICT_transformcopy_v1.csv,phs003234,RADx-UP,COVID-19 testing and vaccination social network diffusion for diverse criminal legal involved communities,
race_ethn_islander_detail_2___10,,bit,,"""0""=[Marshallese] |""1""=[Marshallese] ",,"""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",,,,,,,,,,,,,,,,,,,,,20230608_project96_DICT_transformcopy_v1.csv,phs003234,RADx-UP,COVID-19 testing and vaccination social network diffusion for diverse criminal legal involved communities,
race_ethn_islander_detail_2___11,,bit,,"""0""=[Palauan] |""1""=[Palauan] ",,"""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",,,,,,,,,,,,,,,,,,,,,20230608_project96_DICT_transformcopy_v1.csv,phs003234,RADx-UP,COVID-19 testing and vaccination social network diffusion for diverse criminal legal involved communities,
race_ethn_islander_detail_2___12,,bit,,"""0""=[Pohnpeian] |""1""=[Pohnpeian] ",,"""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",,,,,,,,,,,,,,,,,,,,,20230608_project96_DICT_transformcopy_v1.csv,phs003234,RADx-UP,COVID-19 testing and vaccination social network diffusion for diverse criminal legal involved communities,
race_ethn_islander_detail_2___13,,bit,,"""0""=[Yapese] |""1""=[Yapese] ",,"""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",,,,,,,,,,,,,,,,,,,,,20230608_project96_DICT_transformcopy_v1.csv,phs003234,RADx-UP,COVID-19 testing and vaccination social network diffusion for diverse criminal legal involved communities,
race_ethn_islander_detail_2___14,,bit,,"""0""=[Other Pacific Islander] |""1""=[Other Pacific Islander] ",,"""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",,,,,,,,,,,,,,,,,,,,,20230608_project96_DICT_transformcopy_v1.csv,phs003234,RADx-UP,COVID-19 testing and vaccination social network diffusion for diverse criminal legal involved communities,
race_ethn_islander_detail_2___2,,bit,,"""0""=[Pacific Islander] |""1""=[Pacific Islander] ",,"""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",,,,,,,,,,,,,,,,,,,,,20230608_project96_DICT_transformcopy_v1.csv,phs003234,RADx-UP,COVID-19 testing and vaccination social network diffusion for diverse criminal legal involved communities,
race_ethn_islander_detail_2___3,,bit,,"""0""=[Samoan] |""1""=[Samoan] ",,"""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",,,,,,,,,,,,,,,,,,,,,20230608_project96_DICT_transformcopy_v1.csv,phs003234,RADx-UP,COVID-19 testing and vaccination social network diffusion for diverse criminal legal involved communities,
race_ethn_islander_detail_2___4,,bit,,"""0""=[Tongan] |""1""=[Tongan] ",,"""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",,,,,,,,,,,,,,,,,,,,,20230608_project96_DICT_transformcopy_v1.csv,phs003234,RADx-UP,COVID-19 testing and vaccination social network diffusion for diverse criminal legal involved communities,
race_ethn_islander_detail_2___5,,bit,,"""0""=[Maori] |""1""=[Maori] ",,"""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",,,,,,,,,,,,,,,,,,,,,20230608_project96_DICT_transformcopy_v1.csv,phs003234,RADx-UP,COVID-19 testing and vaccination social network diffusion for diverse criminal legal involved communities,
race_ethn_islander_detail_2___6,,bit,,"""0""=[Fijian] |""1""=[Fijian] ",,"""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",,,,,,,,,,,,,,,,,,,,,20230608_project96_DICT_transformcopy_v1.csv,phs003234,RADx-UP,COVID-19 testing and vaccination social network diffusion for diverse criminal legal involved communities,
race_ethn_islander_detail_2___7,,bit,,"""0""=[Chamorro] |""1""=[Chamorro] ",,"""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",,,,,,,,,,,,,,,,,,,,,20230608_project96_DICT_transformcopy_v1.csv,phs003234,RADx-UP,COVID-19 testing and vaccination social network diffusion for diverse criminal legal involved communities,
race_ethn_islander_detail_2___8,,bit,,"""0""=[Chuukese] |""1""=[Chuukese] ",,"""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",,,,,,,,,,,,,,,,,,,,,20230608_project96_DICT_transformcopy_v1.csv,phs003234,RADx-UP,COVID-19 testing and vaccination social network diffusion for diverse criminal legal involved communities,
race_ethn_islander_detail_2___9,,bit,,"""0""=[Kosraen] |""1""=[Kosraen] ",,"""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",,,,,,,,,,,,,,,,,,,,,20230608_project96_DICT_transformcopy_v1.csv,phs003234,RADx-UP,COVID-19 testing and vaccination social network diffusion for diverse criminal legal involved communities,
race_ethn_race___1,,bit,,"""0""=[American Indian or Alaska Native] |""1""=[American Indian or Alaska Native] ",What is your race?Mark one or more boxes AND print origins.,"""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",,,,,,,,,,,,,,,,,,,,,20230608_project96_DICT_origcopy_v1.csv,phs003234,RADx-UP,COVID-19 testing and vaccination social network diffusion for diverse criminal legal involved communities,
race_ethn_race___15,,bit,,"""0""=[Some other race] |""1""=[Some other race] ",What is your race?Mark one or more boxes AND print origins.,"""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",,,,,,,,,,,,,,,,,,,,,20230608_project96_DICT_origcopy_v1.csv,phs003234,RADx-UP,COVID-19 testing and vaccination social network diffusion for diverse criminal legal involved communities,
race_ethn_race___2,,bit,,"""0""=[Black or African American] |""1""=[Black or African American] ",What is your race?Mark one or more boxes AND print origins.,"""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",,,,,,,,,,,,,,,,,,,,,20230608_project96_DICT_origcopy_v1.csv,phs003234,RADx-UP,COVID-19 testing and vaccination social network diffusion for diverse criminal legal involved communities,
race_ethn_race___3,,bit,,"""0""=[Asian] |""1""=[Asian] ",What is your race?Mark one or more boxes AND print origins.,"""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",,,,,,,,,,,,,,,,,,,,,20230608_project96_DICT_origcopy_v1.csv,phs003234,RADx-UP,COVID-19 testing and vaccination social network diffusion for diverse criminal legal involved communities,
race_ethn_race___4,,bit,,"""0""=[Native Hawaiian or Other Pacific Islander] |""1""=[Native Hawaiian or Other Pacific Islander] ",What is your race?Mark one or more boxes AND print origins.,"""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",,,,,,,,,,,,,,,,,,,,,20230608_project96_DICT_origcopy_v1.csv,phs003234,RADx-UP,COVID-19 testing and vaccination social network diffusion for diverse criminal legal involved communities,
race_ethn_race___5,,bit,,"""0""=[White] |""1""=[White] ",What is your race?Mark one or more boxes AND print origins.,"""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",,,,,,,,,,,,,,,,,,,,,20230608_project96_DICT_origcopy_v1.csv,phs003234,RADx-UP,COVID-19 testing and vaccination social network diffusion for diverse criminal legal involved communities,
race_ethn_race___99,,bit,,"""0""=[Prefer not to answer] |""1""=[Prefer not to answer] ",What is your race?Mark one or more boxes AND print origins.,"""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",,,,,,,,,,,,,,,,,,,,,20230608_project96_DICT_origcopy_v1.csv,phs003234,RADx-UP,COVID-19 testing and vaccination social network diffusion for diverse criminal legal involved communities,
recentmonth_covidtest_2,,int,,"""1""=[January] |""10""=[October] |""11""=[November] |""12""=[December] |""2""=[February] |""3""=[March] |""4""=[April] |""5""=[May] |""6""=[June] |""7""=[July] |""8""=[August] |""9""=[September] |""99""=[Prefer not to answer] ",What month did you have your most recent COVID-19 test?,"""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",,,,,,,,,,,,,,,,,,,,,20230608_project96_DICT_transformcopy_v1.csv,phs003234,RADx-UP,COVID-19 testing and vaccination social network diffusion for diverse criminal legal involved communities,
recentresult_covidtest,,int,,"""1""=[Negative] |""2""=[Positive] |""3""=[Never obtained results] |""4""=[Indeterminate] |""98""=[Don't know] |""99""=[Prefer not to answer] ",What was the result of your most recent COVID-19 test?,"""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",,,,,,,,,,,,,,,,,,,,,20230608_project96_DICT_transformcopy_v1.csv,phs003234,RADx-UP,COVID-19 testing and vaccination social network diffusion for diverse criminal legal involved communities,
