Data Type,Variable Name,Description,Permissible Values
TEXT,DO_ANY_CHILDREN_IN_YOUR_HOUSEHOLD_ATTEND_DAYCARE_OR_SCHOOL_IN_PERSON_ON_A_REGULAR_BASIS_AT_LEAST_1_DAY_PER_WEEK,Do any children in your household attend daycare or school in-person on a regular basis (at least 1 day per week)?,"[""yes"",""no""]"
TEXT,WHAT_TYPE_OF_HOUSING_DO_YOU_LIVE_IN,What type of housing do you live in?,"[""detached_house"",""duplex_triplex"",""low_rise_housing_1_to_3_floors"",""high_rise_housing_more_than_3_floors"",""mobile_home_or_trailer"",""boat_recreational_vehicle_rv_or_van"",""i_am_currently_without_housing"",""i_prefer_not_to_answer"",""i_don_t_know"",""row_house""]"
TEXT,WHAT_TYPE_OF_HOUSING_DO_YOU_LIVE_IN__OTHER,What type of housing do you live in? | Other, 
TEXT,ARE_YOU_OR_ONE_OF_YOUR_HOUSEHOLD_MEMBERS_A_HEALTHCARE_WORKER__I_AM_A_HEALTHCARE_WORKER_AND_I_AM_CURRENTLY_WORKING,"Are you or one of your household members a <span style=""text-decoration: underline;"">healthcare worker</span> (<em>i.e., doctor, dentist, nurse, nurse?s aid, paramedic, physician?s assistant, home healthcare aid, hospital worker, pharmacist, or other type of healthcare worker</em>)? Please select all that apply. | I am a healthcare worker, and I am currently working","[""""i_am_a_healthcare_worker_and_i_am_currently_working""""]"
TEXT,ARE_YOU_OR_ONE_OF_YOUR_HOUSEHOLD_MEMBERS_A_HEALTHCARE_WORKER__I_AM_A_HEALTHCARE_WORKER_BUT_I_AM_NOT_CURRENTLY_WORKING,"Are you or one of your household members a <span style=""text-decoration: underline;"">healthcare worker</span> (<em>i.e., doctor, dentist, nurse, nurse?s aid, paramedic, physician?s assistant, home healthcare aid, hospital worker, pharmacist, or other type of healthcare worker</em>)? Please select all that apply. | I am a healthcare worker, but I am NOT currently working","[""""i_am_a_healthcare_worker_but_i_am_not_currently_working""""]"
TEXT,ARE_YOU_OR_ONE_OF_YOUR_HOUSEHOLD_MEMBERS_A_HEALTHCARE_WORKER__ONE_OF_MY_HOUSEHOLD_MEMBERS_IS_A_HEALTHCARE_WORKER_AND_THEY_ARE_CURRENTLY_WORKING,"Are you or one of your household members a <span style=""text-decoration: underline;"">healthcare worker</span> (<em>i.e., doctor, dentist, nurse, nurse?s aid, paramedic, physician?s assistant, home healthcare aid, hospital worker, pharmacist, or other type of healthcare worker</em>)? Please select all that apply. | One of my household members is a healthcare worker, and they are currently working","[""""one_of_my_household_members_is_a_healthcare_worker_and_they_are_currently_working""""]"
TEXT,ARE_YOU_OR_ONE_OF_YOUR_HOUSEHOLD_MEMBERS_A_HEALTHCARE_WORKER__ONE_OF_MY_HOUSEHOLD_MEMBERS_IS_A_HEALTHCARE_WORKER_BUT_THEY_ARE_NOT_CURRENTLY_WORKING,"Are you or one of your household members a <span style=""text-decoration: underline;"">healthcare worker</span> (<em>i.e., doctor, dentist, nurse, nurse?s aid, paramedic, physician?s assistant, home healthcare aid, hospital worker, pharmacist, or other type of healthcare worker</em>)? Please select all that apply. | One of my household members is a healthcare worker, but they are NOT currently working","[""""one_of_my_household_members_is_a_healthcare_worker_but_they_are_not_currently_working""""]"
TEXT,ARE_YOU_OR_ONE_OF_YOUR_HOUSEHOLD_MEMBERS_A_HEALTHCARE_WORKER__NO_ONE_IN_MY_HOUSEHOLD_IS_A_HEALTHCARE_WORKER,"Are you or one of your household members a <span style=""text-decoration: underline;"">healthcare worker</span> (<em>i.e., doctor, dentist, nurse, nurse?s aid, paramedic, physician?s assistant, home healthcare aid, hospital worker, pharmacist, or other type of healthcare worker</em>)? Please select all that apply. | No one in my household is a healthcare worker","[""""no_one_in_my_household_is_a_healthcare_worker""""]"
TEXT,ARE_YOU_OR_ONE_OF_YOUR_HOUSEHOLD_MEMBERS_CONSIDERED_AN_ESSENTIAL_WORKER__I_AM_AN_ESSENTIAL_WORKER_AND_I_AM_CURRENTLY_WORKING,"Are you or one of your household members considered an <span style=""text-decoration: underline;"">essential worker</span> (<em>e.g., grocery worker, biomedical researcher, delivery person, veterinarian, etc.</em>) who cannot work from home/remotely and <span style=""text-decoration: underline;"">must</span> go into an office or place of work to do their job? Please select all that apply. | I am an essential worker, and I am currently working","[""""i_am_an_essential_worker_and_i_am_currently_working""""]"
TEXT,ARE_YOU_OR_ONE_OF_YOUR_HOUSEHOLD_MEMBERS_CONSIDERED_AN_ESSENTIAL_WORKER__I_AM_AN_ESSENTIAL_WORKER_BUT_I_AM_NOT_CURRENTLY_WORKING,"Are you or one of your household members considered an <span style=""text-decoration: underline;"">essential worker</span> (<em>e.g., grocery worker, biomedical researcher, delivery person, veterinarian, etc.</em>) who cannot work from home/remotely and <span style=""text-decoration: underline;"">must</span> go into an office or place of work to do their job? Please select all that apply. | I am an essential worker, but I am NOT currently working","[""""i_am_an_essential_worker_but_i_am_not_currently_working""""]"
TEXT,ARE_YOU_OR_ONE_OF_YOUR_HOUSEHOLD_MEMBERS_CONSIDERED_AN_ESSENTIAL_WORKER__ONE_OF_MY_HOUSEHOLD_MEMBERS_IS_AN_ESSENTIAL_WORKER_AND_THEY_ARE_CURRENTLY_WORKING,"Are you or one of your household members considered an <span style=""text-decoration: underline;"">essential worker</span> (<em>e.g., grocery worker, biomedical researcher, delivery person, veterinarian, etc.</em>) who cannot work from home/remotely and <span style=""text-decoration: underline;"">must</span> go into an office or place of work to do their job? Please select all that apply. | One of my household members is an essential worker, and they are currently working","[""""one_of_my_household_members_is_an_essential_worker_and_they_are_currently_working""""]"
TEXT,ARE_YOU_OR_ONE_OF_YOUR_HOUSEHOLD_MEMBERS_CONSIDERED_AN_ESSENTIAL_WORKER__ONE_OF_MY_HOUSEHOLD_MEMBERS_IS_AN_ESSENTIAL_WORKER_BUT_THEY_ARE_NOT_CURRENTLY_WORKING,"Are you or one of your household members considered an <span style=""text-decoration: underline;"">essential worker</span> (<em>e.g., grocery worker, biomedical researcher, delivery person, veterinarian, etc.</em>) who cannot work from home/remotely and <span style=""text-decoration: underline;"">must</span> go into an office or place of work to do their job? Please select all that apply. | One of my household members is an essential worker, but they are NOT currently working","[""""one_of_my_household_members_is_an_essential_worker_but_they_are_not_currently_working""""]"
TEXT,ARE_YOU_OR_ONE_OF_YOUR_HOUSEHOLD_MEMBERS_CONSIDERED_AN_ESSENTIAL_WORKER__NO_ONE_IN_MY_HOUSEHOLD_IS_AN_ESSENTIAL_WORKER_WHO_MUST_GO_INTO_AN_OFFICE,"Are you or one of your household members considered an <span style=""text-decoration: underline;"">essential worker</span> (<em>e.g., grocery worker, biomedical researcher, delivery person, veterinarian, etc.</em>) who cannot work from home/remotely and <span style=""text-decoration: underline;"">must</span> go into an office or place of work to do their job? Please select all that apply. | No one in my household is an essential worker who must go into an office","[""""no_one_in_my_household_is_an_essential_worker_who_must_go_into_an_office""""]"
TEXT,WHICH_OF_THE_FOLLOWING_BEST_DESCRIBES_YOUR_CURRENT_RELATIONSHIP_STATUS__I_PREFER_NOT_TO_ANSWER,"Which of the following best describes your current relationship status? Please select all that apply.<span style=""""line-height: 0px;""""></span> | I prefer not to answer","[""""i_prefer_not_to_answer""""]"
TEXT,WHICH_OF_THE_FOLLOWING_BEST_DESCRIBES_YOUR_CURRENT_RELATIONSHIP_STATUS__DIVORCED,"Which of the following best describes your current relationship status? Please select all that apply.<span style=""""line-height: 0px;""""></span> | Divorced","[""""divorced""""]"
TEXT,WHICH_OF_THE_FOLLOWING_BEST_DESCRIBES_YOUR_CURRENT_RELATIONSHIP_STATUS__IN_A_COMMITTED_PARTNERSHIP_OR_LIVING_WITH_PARTNERS,"Which of the following best describes your current relationship status? Please select all that apply.<span style=""""line-height: 0px;""""></span> | In a committed partnership or living with partner(s)","[""""in_a_committed_partnership_or_living_with_partners""""]"
TEXT,WHICH_OF_THE_FOLLOWING_BEST_DESCRIBES_YOUR_CURRENT_RELATIONSHIP_STATUS__MARRIED_IN_A_DOMESTIC_PARTNERSHIP_OR_CIVIL_UNION,"Which of the following best describes your current relationship status? Please select all that apply.<span style=""""line-height: 0px;""""></span> | Married / in a domestic partnership or civil union","[""""married_in_a_domestic_partnership_or_civil_union""""]"
TEXT,WHICH_OF_THE_FOLLOWING_BEST_DESCRIBES_YOUR_CURRENT_RELATIONSHIP_STATUS__SEPARATED,"Which of the following best describes your current relationship status? Please select all that apply.<span style=""""line-height: 0px;""""></span> | Separated","[""""separated""""]"
TEXT,WHICH_OF_THE_FOLLOWING_BEST_DESCRIBES_YOUR_CURRENT_RELATIONSHIP_STATUS__SINGLE,"Which of the following best describes your current relationship status? Please select all that apply.<span style=""""line-height: 0px;""""></span> | Single","[""""single""""]"
TEXT,WHICH_OF_THE_FOLLOWING_BEST_DESCRIBES_YOUR_CURRENT_RELATIONSHIP_STATUS__WIDOWED,"Which of the following best describes your current relationship status? Please select all that apply.<span style=""""line-height: 0px;""""></span> | Widowed","[""""widowed""""]"
TEXT,WHAT_IS_THE_ZIP_CODE_WHERE_YOU_LIVE_MOST_OF_THE_TIME_IF_YOU_ARE_CURRENTLY_STAYING_IN_A_DIFFERENT_LOCATION_FOR_AN_EXTENDED_PERIOD_OF_TIME,"What is the zip code where you live most of the time?<em> If you are currently staying in a different location for an extended period of time, please enter your current zip code.</em>", 
TEXT,HAVE_YOU_BEEN_DIAGNOSED_BY_A_HEALTHCARE_PROVIDER_WITH_ANY_OF_THE_FOLLOWING_HEALTH_CONDITIONS_AT_ANY_POINT_IN_YOUR_LIFE__NO_I_HAVE_NOT_BEEN_DIAGNOSED_WITH_ANY_OF_THE_ABOVE_HEALTH_CONDITIONS,"Have you been diagnosed by a healthcare provider with any of the following health conditions at any point in your life? Please select all that apply. | No, I have <strong><span style=""text-decoration: underline;"">not</span></strong> been diagnosed with any of the above health conditions","[""""no_i_have_not_been_diagnosed_with_any_of_the_above_health_conditions""""]"
TEXT,HAVE_YOU_BEEN_DIAGNOSED_BY_A_HEALTHCARE_PROVIDER_WITH_ANY_OF_THE_FOLLOWING_HEALTH_CONDITIONS_AT_ANY_POINT_IN_YOUR_LIFE__ASTHMA,Have you been diagnosed by a healthcare provider with any of the following health conditions at any point in your life? Please select all that apply. | Asthma,"[""""asthma""""]"
TEXT,HAVE_YOU_BEEN_DIAGNOSED_BY_A_HEALTHCARE_PROVIDER_WITH_ANY_OF_THE_FOLLOWING_HEALTH_CONDITIONS_AT_ANY_POINT_IN_YOUR_LIFE__ATRIAL_FIBRILLATION_AFIB,Have you been diagnosed by a healthcare provider with any of the following health conditions at any point in your life? Please select all that apply. | Atrial fibrillation (Afib),"[""""atrial_fibrillation_afib""""]"
TEXT,HAVE_YOU_BEEN_DIAGNOSED_BY_A_HEALTHCARE_PROVIDER_WITH_ANY_OF_THE_FOLLOWING_HEALTH_CONDITIONS_AT_ANY_POINT_IN_YOUR_LIFE__CANCER,Have you been diagnosed by a healthcare provider with any of the following health conditions at any point in your life? Please select all that apply. | Cancer,"[""""cancer""""]"
TEXT,HAVE_YOU_BEEN_DIAGNOSED_BY_A_HEALTHCARE_PROVIDER_WITH_ANY_OF_THE_FOLLOWING_HEALTH_CONDITIONS_AT_ANY_POINT_IN_YOUR_LIFE__CARDIOVASCULAR_DISEASE_CVD,Have you been diagnosed by a healthcare provider with any of the following health conditions at any point in your life? Please select all that apply. | Cardiovascular disease (CVD),"[""""cardiovascular_disease_cvd""""]"
TEXT,HAVE_YOU_BEEN_DIAGNOSED_BY_A_HEALTHCARE_PROVIDER_WITH_ANY_OF_THE_FOLLOWING_HEALTH_CONDITIONS_AT_ANY_POINT_IN_YOUR_LIFE__CHRONIC_KIDNEY_DISEASE_CKD,Have you been diagnosed by a healthcare provider with any of the following health conditions at any point in your life? Please select all that apply. | Chronic kidney disease (CKD),"[""""chronic_kidney_disease_ckd""""]"
TEXT,HAVE_YOU_BEEN_DIAGNOSED_BY_A_HEALTHCARE_PROVIDER_WITH_ANY_OF_THE_FOLLOWING_HEALTH_CONDITIONS_AT_ANY_POINT_IN_YOUR_LIFE__CHRONIC_LUNG_DISEASE,Have you been diagnosed by a healthcare provider with any of the following health conditions at any point in your life? Please select all that apply. | Chronic lung disease,"[""""chronic_lung_disease""""]"
TEXT,HAVE_YOU_BEEN_DIAGNOSED_BY_A_HEALTHCARE_PROVIDER_WITH_ANY_OF_THE_FOLLOWING_HEALTH_CONDITIONS_AT_ANY_POINT_IN_YOUR_LIFE__CHRONIC_OBSTRUCTIVE_PULMONARY_DISEASE_COPD,Have you been diagnosed by a healthcare provider with any of the following health conditions at any point in your life? Please select all that apply. | Chronic obstructive pulmonary disease (COPD),"[""""chronic_obstructive_pulmonary_disease_copd""""]"
TEXT,HAVE_YOU_BEEN_DIAGNOSED_BY_A_HEALTHCARE_PROVIDER_WITH_ANY_OF_THE_FOLLOWING_HEALTH_CONDITIONS_AT_ANY_POINT_IN_YOUR_LIFE__CORONARY_ARTERY_DISEASE,Have you been diagnosed by a healthcare provider with any of the following health conditions at any point in your life? Please select all that apply. | Coronary artery disease,"[""""coronary_artery_disease""""]"
TEXT,HAVE_YOU_BEEN_DIAGNOSED_BY_A_HEALTHCARE_PROVIDER_WITH_ANY_OF_THE_FOLLOWING_HEALTH_CONDITIONS_AT_ANY_POINT_IN_YOUR_LIFE__DEPRESSION,Have you been diagnosed by a healthcare provider with any of the following health conditions at any point in your life? Please select all that apply. | Depression,"[""""depression""""]"
TEXT,HAVE_YOU_BEEN_DIAGNOSED_BY_A_HEALTHCARE_PROVIDER_WITH_ANY_OF_THE_FOLLOWING_HEALTH_CONDITIONS_AT_ANY_POINT_IN_YOUR_LIFE__DIABETES_TYPE_1,"Have you been diagnosed by a healthcare provider with any of the following health conditions at any point in your life? Please select all that apply. | Diabetes, Type 1","[""""diabetes_type_1""""]"
TEXT,HAVE_YOU_BEEN_DIAGNOSED_BY_A_HEALTHCARE_PROVIDER_WITH_ANY_OF_THE_FOLLOWING_HEALTH_CONDITIONS_AT_ANY_POINT_IN_YOUR_LIFE__DIABETES_TYPE_2,"Have you been diagnosed by a healthcare provider with any of the following health conditions at any point in your life? Please select all that apply. | Diabetes, Type 2","[""""diabetes_type_2""""]"
TEXT,HAVE_YOU_BEEN_DIAGNOSED_BY_A_HEALTHCARE_PROVIDER_WITH_ANY_OF_THE_FOLLOWING_HEALTH_CONDITIONS_AT_ANY_POINT_IN_YOUR_LIFE__EMPHYSEMA,Have you been diagnosed by a healthcare provider with any of the following health conditions at any point in your life? Please select all that apply. | Emphysema,"[""""emphysema""""]"
TEXT,HAVE_YOU_BEEN_DIAGNOSED_BY_A_HEALTHCARE_PROVIDER_WITH_ANY_OF_THE_FOLLOWING_HEALTH_CONDITIONS_AT_ANY_POINT_IN_YOUR_LIFE__HEART_FAILURE,Have you been diagnosed by a healthcare provider with any of the following health conditions at any point in your life? Please select all that apply. | Heart failure,"[""""heart_failure""""]"
TEXT,HAVE_YOU_BEEN_DIAGNOSED_BY_A_HEALTHCARE_PROVIDER_WITH_ANY_OF_THE_FOLLOWING_HEALTH_CONDITIONS_AT_ANY_POINT_IN_YOUR_LIFE__HIGH_CHOLESTEROL,Have you been diagnosed by a healthcare provider with any of the following health conditions at any point in your life? Please select all that apply. | High cholesterol,"[""""high_cholesterol""""]"
TEXT,HAVE_YOU_BEEN_DIAGNOSED_BY_A_HEALTHCARE_PROVIDER_WITH_ANY_OF_THE_FOLLOWING_HEALTH_CONDITIONS_AT_ANY_POINT_IN_YOUR_LIFE__HIGH_BLOOD_PRESSURE_ALSO_CALLED_HYPERTENSION_HTN,"Have you been diagnosed by a healthcare provider with any of the following health conditions at any point in your life? Please select all that apply. | High blood pressure, also called hypertension (HTN)","[""""high_blood_pressure_also_called_hypertension_htn""""]"
TEXT,HAVE_YOU_BEEN_DIAGNOSED_BY_A_HEALTHCARE_PROVIDER_WITH_ANY_OF_THESE_HEALTH_CONDITIONS_BELOW_AT_ANY_POINT_IN_YOUR_LIFE__NO_I_HAVE_NOT_BEEN_DIAGNOSED_WITH_ANY_OF_THE_ABOVE_HEALTH_CONDITIONS,"Have you been diagnosed by a healthcare provider with any of these health conditions below at any point in your life? Please select all that apply. | No, I have <span style=""text-decoration: underline;""><strong>not</strong></span> been diagnosed with any of the above health conditions","[""""no_i_have_not_been_diagnosed_with_any_of_the_above_health_conditions""""]"
TEXT,HAVE_YOU_BEEN_DIAGNOSED_BY_A_HEALTHCARE_PROVIDER_WITH_ANY_OF_THESE_HEALTH_CONDITIONS_BELOW_AT_ANY_POINT_IN_YOUR_LIFE__HIV_OR_AIDS,Have you been diagnosed by a healthcare provider with any of these health conditions below at any point in your life? Please select all that apply. | HIV or AIDS,"[""""hiv_or_aids""""]"
TEXT,HAVE_YOU_BEEN_DIAGNOSED_BY_A_HEALTHCARE_PROVIDER_WITH_ANY_OF_THESE_HEALTH_CONDITIONS_BELOW_AT_ANY_POINT_IN_YOUR_LIFE__IMMUNO_COMPROMISE,Have you been diagnosed by a healthcare provider with any of these health conditions below at any point in your life? Please select all that apply. | Immuno-compromise,"[""""immuno_compromise""""]"
TEXT,HAVE_YOU_BEEN_DIAGNOSED_BY_A_HEALTHCARE_PROVIDER_WITH_ANY_OF_THESE_HEALTH_CONDITIONS_BELOW_AT_ANY_POINT_IN_YOUR_LIFE__INFLAMMATORY_BOWEL_DISEASE_FOR_EXAMPLE_CROHN_S_DISEASE_ULCERATIVE_COLITIS_ETC_,"Have you been diagnosed by a healthcare provider with any of these health conditions below at any point in your life? Please select all that apply. | Inflammatory bowel disease (for example, Crohn?s disease, Ulcerative colitis, etc.)","[""""inflammatory_bowel_disease_for_example_crohn_s_disease_ulcerative_colitis_etc_""""]"
TEXT,HAVE_YOU_BEEN_DIAGNOSED_BY_A_HEALTHCARE_PROVIDER_WITH_ANY_OF_THESE_HEALTH_CONDITIONS_BELOW_AT_ANY_POINT_IN_YOUR_LIFE__LIVER_DISEASE_FOR_EXAMPLE_CIRRHOSIS_HEPATITIS_B_HEPATITIS_C,"Have you been diagnosed by a healthcare provider with any of these health conditions below at any point in your life? Please select all that apply. | Liver disease (for example, cirrhosis, hepatitis B, hepatitis C)","[""""liver_disease_for_example_cirrhosis_hepatitis_b_hepatitis_c""""]"
TEXT,HAVE_YOU_BEEN_DIAGNOSED_BY_A_HEALTHCARE_PROVIDER_WITH_ANY_OF_THESE_HEALTH_CONDITIONS_BELOW_AT_ANY_POINT_IN_YOUR_LIFE__LUPUS_SYSTEMIC_LUPUS_ERYTHEMATOSUS,Have you been diagnosed by a healthcare provider with any of these health conditions below at any point in your life? Please select all that apply. | Lupus (systemic lupus erythematosus),"[""""lupus_systemic_lupus_erythematosus""""]"
TEXT,HAVE_YOU_BEEN_DIAGNOSED_BY_A_HEALTHCARE_PROVIDER_WITH_ANY_OF_THESE_HEALTH_CONDITIONS_BELOW_AT_ANY_POINT_IN_YOUR_LIFE__NEUROLOGICAL_CONDITIONS_FOR_EXAMPLE_EPILEPSY,"Have you been diagnosed by a healthcare provider with any of these health conditions below at any point in your life? Please select all that apply. | Neurological conditions (for example, epilepsy)","[""""neurological_conditions_for_example_epilepsy""""]"
TEXT,HAVE_YOU_BEEN_DIAGNOSED_BY_A_HEALTHCARE_PROVIDER_WITH_ANY_OF_THESE_HEALTH_CONDITIONS_BELOW_AT_ANY_POINT_IN_YOUR_LIFE__PSORIASIS,Have you been diagnosed by a healthcare provider with any of these health conditions below at any point in your life? Please select all that apply. | Psoriasis,"[""""psoriasis""""]"
TEXT,HAVE_YOU_BEEN_DIAGNOSED_BY_A_HEALTHCARE_PROVIDER_WITH_ANY_OF_THESE_HEALTH_CONDITIONS_BELOW_AT_ANY_POINT_IN_YOUR_LIFE__RHEUMATOID_ARTHRITIS,Have you been diagnosed by a healthcare provider with any of these health conditions below at any point in your life? Please select all that apply. | Rheumatoid arthritis,"[""""rheumatoid_arthritis""""]"
TEXT,HAVE_YOU_BEEN_DIAGNOSED_BY_A_HEALTHCARE_PROVIDER_WITH_ANY_OF_THESE_HEALTH_CONDITIONS_BELOW_AT_ANY_POINT_IN_YOUR_LIFE__SICKLE_CELL_DISEASE,Have you been diagnosed by a healthcare provider with any of these health conditions below at any point in your life? Please select all that apply. | Sickle cell disease,"[""""sickle_cell_disease""""]"
TEXT,HAVE_YOU_BEEN_DIAGNOSED_BY_A_HEALTHCARE_PROVIDER_WITH_ANY_OF_THESE_HEALTH_CONDITIONS_BELOW_AT_ANY_POINT_IN_YOUR_LIFE__SUBSTANCE_USE_DISORDER_OR_DEPENDENCE_SUCH_AS_ADDICTION_TO_DRUGS_OR_ALCOHOL,"Have you been diagnosed by a healthcare provider with any of these health conditions below at any point in your life? Please select all that apply. | Substance use disorder or dependence, such as addiction to drugs or alcohol","[""""substance_use_disorder_or_dependence_such_as_addiction_to_drugs_or_alcohol""""]"
TEXT,HAVE_YOU_BEEN_DIAGNOSED_BY_A_HEALTHCARE_PROVIDER_WITH_ANY_OF_THESE_HEALTH_CONDITIONS_BELOW_AT_ANY_POINT_IN_YOUR_LIFE__A_MENTAL_HEALTH_CONDITION_NOT_ALREADY_LISTED,Have you been diagnosed by a healthcare provider with any of these health conditions below at any point in your life? Please select all that apply. | A mental health condition not already listed,"[""""a_mental_health_condition_not_already_listed""""]"
TEXT,HAVE_YOU_BEEN_DIAGNOSED_BY_A_HEALTHCARE_PROVIDER_WITH_ANY_OF_THESE_HEALTH_CONDITIONS_BELOW_AT_ANY_POINT_IN_YOUR_LIFE__OTHER,Have you been diagnosed by a healthcare provider with any of these health conditions below at any point in your life? Please select all that apply. | Other, 
TEXT,ARE_YOU_CURRENTLY_TAKING_ANY_MEDICATIONS_OR_RECEIVING_ANY_MEDICAL_TREATMENTS_THAT_COULD_REDUCE_OR_LOWER_THE_RESPONSE_OF_YOUR_IMMUNE_SYSTEM,"Are you currently taking any medications or receiving any medical treatments that could reduce or lower the response of your immune system? These medications and treatments can sometimes be called <em>immunosuppressants</em>.<br><br><br>These medications and treatments could be:<br><ul><li>chemotherapy or radiation</li><li>high dose steroids like prednisone or dexamethasone</li> <li>immunosuppressants or inhibitors like cyclosporine or tacrolimus</li> <li>biologic therapy like infliximab or remicade </ul>""","[""yes"",""no"",""i_don_t_remember_i_m_not_sure""]"
TEXT,HOW_OFTEN_DO_YOU_HAVE_A_DRINK_CONTAINING_ALCOHOL,How often do you have a drink containing alcohol?,"[""never"",""monthly_or_less_than_2_to_4_times_a_month"",""2_to_3_times_a_week"",""4_or_more_times_a_week""]"
TEXT,DO_YOU_CURRENTLY_SMOKE_CIGARETTES_OR_VAPE,Do you currently smoke cigarettes or vape?,"[""yes"",""no_i_used_to_smoke_and_or_vape_but_i_stopped"",""no_i_have_never_smoked_or_vaped""]"
TEXT,HOW_OFTEN_DO_YOU_SMOKE_CIGARETTES,How often do you smoke cigarettes?,"[""some_days"",""rarely"",""not_at_all"",""i_don_t_know"",""i_prefer_not_to_answer"",""every_day""]"
TEXT,HOW_OFTEN_DO_YOU_USE_ELECTRONIC_CIGARETTES_OR_VAPES,How often do you use electronic cigarettes or vapes?,"[""not_at_all"",""every_day"",""some_days"",""rarely"",""i_don_t_know"",""i_prefer_not_to_answer""]"
TEXT,ON_AVERAGE_HOW_MANY_CIGARETTES_PER_DAY_DO_YOU_SMOKE,"On average, how many cigarettes per day do you smoke?","[""1"",""7"",""10"",""11"",""22"",""27"",""31"",""5"",""6"",""8"",""9"",""12"",""13"",""15"",""16"",""17"",""18"",""19"",""23"",""24"",""25"",""29"",""30"",""32"",""33"",""34"",""37"",""40"",""2"",""3"",""4"",""14"",""20"",""21"",""26"",""28"",""35"",""36"",""39"",""38""]"
TEXT,DO_YOU_HAVE_A_DISABILITY_THAT_INTERFERES_WITH_YOUR_ABILITY_TO_CARRY_OUT_DAILY_ACTIVITIES,"Do you have a disability that interferes with your ability to carry out daily activities? Examples of daily activities include walking, climbing stairs, shopping, balancing a checkbook, bathing, or dressing.","[""i_prefer_not_to_answer"",""yes"",""no""]"
TEXT,WOULD_YOU_SAY_YOUR_HEALTH_IN_GENERAL_IS_SELECT_ONE,Would you say your health in general is (select one):,"[""excellent"",""very_good"",""fair"",""i_prefer_not_to_answer"",""good"",""poor"",""i_don_t_know""]"
TEXT,DID_YOU_RECEIVE_THE_FLU_VACCINE_OFTEN_CALLED_THE_FLU_SHOT_THIS_FLU_SEASON_SEPTEMBER_2020_TO_TODAY,Did you receive the flu vaccine (often called the flu shot) this flu season (September 2020 to today)?,"[""yes"",""no"",""i_don_t_know_can_t_remember""]"
TEXT,DID_YOU_RECEIVE_THE_FLU_VACCINE_LAST_FLU_SEASON_SEPTEMBER_2019_MARCH_2020,"Did you receive the flu vaccine <span style=""""text-decoration: underline;"""">last</span> flu season? (September 2019 - March 2020)","[""yes"",""i_don_t_remember"",""no""]"
TEXT,HOW_OFTEN_IN_THE_PAST_5_YEARS_HAVE_YOU_GOTTEN_THE_SEASONAL_FLU_VACCINE,How often in the past 5 years have you gotten the seasonal flu vaccine?,"[""2_most_years_but_not_all"",""3_once_or_twice"",""4_never"",""1_every_year""]"
TEXT,DID_YOU_RECEIVE_A_COVID_19_OR_CORONAVIRUS_VACCINE_RECENTLY,Did you receive a COVID-19 or coronavirus vaccine recently?,"[""no"",""i_don_t_know_can_t_remember"",""yes""]"
TEXT,WHEN_DID_YOU_RECEIVE_A_COVID_19_OR_CORONAVIRUS_VACCINE__COVID_19_VACCINE_DATE,"When did you receive a COVID-19 or coronavirus vaccine?<br><em><br>If you don?t recall the exact date, please provide the best estimate. If you have received multiple doses, please report the date of your most recent dose.</em> | COVID-19 Vaccine Date", 
TEXT,HAVE_YOU_EXPERIENCED_FLU_LIKE_OR_CORONAVIRUS_LIKE_SYMPTOMS_IN_THE_PAST_7_DAYS,"Have you experienced flu-like or coronavirus-like symptoms in the past 7 days (such as fever, chills, cough, shortness of breath, and/or headache)? <br><br><em>If you had flu-like or coronavirus-like symptoms in the past 7 days, but have recovered, please still answer YES.</em>","[""yes"",""no""]"
TEXT,WHEN_DID_YOU_FIRST_BEGIN_EXPERIENCING_FLU_LIKE_OR_CORONAVIRUS_LIKE_SYMPTOMS__DATE_OF_FIRST_SYMPTOM_EXPERIENCE,"When did you <em>first begin experiencing flu-like or coronavirus-like symptoms</em>? If you don?t recall the exact date, please provide the best estimate. | Date of First Symptom Experience", 
TEXT,IS_THIS_THE_FIRST_TIME_THAT_YOU_ARE_REPORTING_THE_SYMPTOMS_OF_THIS_SPECIFIC_FLU_LIKE_OR_CORONAVIRUS_LIKE_ILLNESS_ON_THIS_SURVEY,Is this the first time that you are reporting the symptoms of this specific flu-like or coronavirus-like illness on this survey??,"[""yes_this_is_the_first_time_i_am_reporting_these_symptoms"",""no_i_have_reported_having_these_symptoms_on_one_of_these_flu_or_coronavirus_related_surveys_within_the_past_month"",""i_don_t_know_i_can_t_remember""]"
TEXT,AS_OF_TODAY_DO_YOU_FEEL_THAT_YOU_HAVE_COMPLETELY_RECOVERED_FROM_YOUR_ILLNESS,"As of today, do you feel that you have completely recovered from your illness?","[""no"",""yes""]"
TEXT,WHEN_DID_YOU_FEEL_YOU_WERE_COMPLETELY_RECOVERED_FROM_YOUR_ILLNESS__DATE_RECOVERED,"When did you feel you were completely recovered from your illness? If you don?t recall the exact date, please provide the best estimate. | Date Recovered", 
