datatype,variable_name,description,value_constraints,source_file,source_directory
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__fatigue_feeling_weak_or_tired__yesterday,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Fatigue (feeling weak or tired) | Yesterday","[""""yesterday""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__fatigue_feeling_weak_or_tired__2_days_ago,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Fatigue (feeling weak or tired) | 2 days ago","[""""2_days_ago""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__fatigue_feeling_weak_or_tired__3_days_ago,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Fatigue (feeling weak or tired) | 3 days ago","[""""3_days_ago""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__fatigue_feeling_weak_or_tired__4_days_ago,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Fatigue (feeling weak or tired) | 4 days ago","[""""4_days_ago""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__fatigue_feeling_weak_or_tired__5_days_ago,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Fatigue (feeling weak or tired) | 5 days ago","[""""5_days_ago""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__fatigue_feeling_weak_or_tired__6_days_ago,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Fatigue (feeling weak or tired) | 6 days ago","[""""6_days_ago""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__headache__today,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Headache | Today","[""""today""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__headache__yesterday,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Headache | Yesterday","[""""yesterday""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__headache__2_days_ago,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Headache | 2 days ago","[""""2_days_ago""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__headache__3_days_ago,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Headache | 3 days ago","[""""3_days_ago""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__headache__4_days_ago,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Headache | 4 days ago","[""""4_days_ago""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__headache__5_days_ago,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Headache | 5 days ago","[""""5_days_ago""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__headache__6_days_ago,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Headache | 6 days ago","[""""6_days_ago""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__nasal_congestion_having_a_stuffy_nose_or_a_runny_nose__today,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Nasal congestion (having a stuffy nose) or a runny nose | Today","[""""today""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__nasal_congestion_having_a_stuffy_nose_or_a_runny_nose__yesterday,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Nasal congestion (having a stuffy nose) or a runny nose | Yesterday","[""""yesterday""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__nasal_congestion_having_a_stuffy_nose_or_a_runny_nose__2_days_ago,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Nasal congestion (having a stuffy nose) or a runny nose | 2 days ago","[""""2_days_ago""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__nasal_congestion_having_a_stuffy_nose_or_a_runny_nose__3_days_ago,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Nasal congestion (having a stuffy nose) or a runny nose | 3 days ago","[""""3_days_ago""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__nasal_congestion_having_a_stuffy_nose_or_a_runny_nose__4_days_ago,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Nasal congestion (having a stuffy nose) or a runny nose | 4 days ago","[""""4_days_ago""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__nasal_congestion_having_a_stuffy_nose_or_a_runny_nose__5_days_ago,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Nasal congestion (having a stuffy nose) or a runny nose | 5 days ago","[""""5_days_ago""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__nasal_congestion_having_a_stuffy_nose_or_a_runny_nose__6_days_ago,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Nasal congestion (having a stuffy nose) or a runny nose | 6 days ago","[""""6_days_ago""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__sneezing__today,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Sneezing | Today","[""""today""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__sneezing__yesterday,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Sneezing | Yesterday","[""""yesterday""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__sneezing__2_days_ago,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Sneezing | 2 days ago","[""""2_days_ago""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__sneezing__3_days_ago,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Sneezing | 3 days ago","[""""3_days_ago""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__sneezing__4_days_ago,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Sneezing | 4 days ago","[""""4_days_ago""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__sneezing__5_days_ago,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Sneezing | 5 days ago","[""""5_days_ago""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__sneezing__6_days_ago,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Sneezing | 6 days ago","[""""6_days_ago""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__nausea_feeling_like_you_wanted_to_throw_up_and_or_vomiting__today,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Nausea (feeling like you wanted to throw up) and/or vomiting | Today","[""""today""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__nausea_feeling_like_you_wanted_to_throw_up_and_or_vomiting__yesterday,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Nausea (feeling like you wanted to throw up) and/or vomiting | Yesterday","[""""yesterday""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__nausea_feeling_like_you_wanted_to_throw_up_and_or_vomiting__2_days_ago,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Nausea (feeling like you wanted to throw up) and/or vomiting | 2 days ago","[""""2_days_ago""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__nausea_feeling_like_you_wanted_to_throw_up_and_or_vomiting__3_days_ago,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Nausea (feeling like you wanted to throw up) and/or vomiting | 3 days ago","[""""3_days_ago""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__nausea_feeling_like_you_wanted_to_throw_up_and_or_vomiting__4_days_ago,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Nausea (feeling like you wanted to throw up) and/or vomiting | 4 days ago","[""""4_days_ago""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__nausea_feeling_like_you_wanted_to_throw_up_and_or_vomiting__5_days_ago,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Nausea (feeling like you wanted to throw up) and/or vomiting | 5 days ago","[""""5_days_ago""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__nausea_feeling_like_you_wanted_to_throw_up_and_or_vomiting__6_days_ago,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Nausea (feeling like you wanted to throw up) and/or vomiting | 6 days ago","[""""6_days_ago""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__diarrhea__today,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Diarrhea | Today","[""""today""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__diarrhea__yesterday,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Diarrhea | Yesterday","[""""yesterday""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__diarrhea__2_days_ago,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Diarrhea | 2 days ago","[""""2_days_ago""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__diarrhea__3_days_ago,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Diarrhea | 3 days ago","[""""3_days_ago""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__diarrhea__4_days_ago,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Diarrhea | 4 days ago","[""""4_days_ago""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__diarrhea__5_days_ago,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Diarrhea | 5 days ago","[""""5_days_ago""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__diarrhea__6_days_ago,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Diarrhea | 6 days ago","[""""6_days_ago""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__abdominal_stomach_or_belly_pain__today,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Abdominal, stomach, or belly pain | Today","[""""today""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__abdominal_stomach_or_belly_pain__yesterday,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Abdominal, stomach, or belly pain | Yesterday","[""""yesterday""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__abdominal_stomach_or_belly_pain__2_days_ago,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Abdominal, stomach, or belly pain | 2 days ago","[""""2_days_ago""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__abdominal_stomach_or_belly_pain__3_days_ago,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Abdominal, stomach, or belly pain | 3 days ago","[""""3_days_ago""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__abdominal_stomach_or_belly_pain__4_days_ago,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Abdominal, stomach, or belly pain | 4 days ago","[""""4_days_ago""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__abdominal_stomach_or_belly_pain__5_days_ago,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Abdominal, stomach, or belly pain | 5 days ago","[""""5_days_ago""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__abdominal_stomach_or_belly_pain__6_days_ago,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Abdominal, stomach, or belly pain | 6 days ago","[""""6_days_ago""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__rash__today,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Rash | Today","[""""today""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__rash__yesterday,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Rash | Yesterday","[""""yesterday""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__rash__2_days_ago,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Rash | 2 days ago","[""""2_days_ago""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__rash__3_days_ago,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Rash | 3 days ago","[""""3_days_ago""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__rash__4_days_ago,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Rash | 4 days ago","[""""4_days_ago""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__rash__5_days_ago,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Rash | 5 days ago","[""""5_days_ago""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__rash__6_days_ago,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Rash | 6 days ago","[""""6_days_ago""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__shortness_of_breath_or_difficulty_breathing__today,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Shortness of breath or difficulty breathing | Today","[""""today""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__shortness_of_breath_or_difficulty_breathing__yesterday,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Shortness of breath or difficulty breathing | Yesterday","[""""yesterday""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__shortness_of_breath_or_difficulty_breathing__2_days_ago,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Shortness of breath or difficulty breathing | 2 days ago","[""""2_days_ago""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__shortness_of_breath_or_difficulty_breathing__3_days_ago,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Shortness of breath or difficulty breathing | 3 days ago","[""""3_days_ago""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__shortness_of_breath_or_difficulty_breathing__4_days_ago,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Shortness of breath or difficulty breathing | 4 days ago","[""""4_days_ago""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__shortness_of_breath_or_difficulty_breathing__5_days_ago,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Shortness of breath or difficulty breathing | 5 days ago","[""""5_days_ago""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__shortness_of_breath_or_difficulty_breathing__6_days_ago,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Shortness of breath or difficulty breathing | 6 days ago","[""""6_days_ago""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__chest_pain_or_pressure_or_chest_discomfort__today,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Chest pain or pressure or chest discomfort | Today","[""""today""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__chest_pain_or_pressure_or_chest_discomfort__yesterday,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Chest pain or pressure or chest discomfort | Yesterday","[""""yesterday""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__chest_pain_or_pressure_or_chest_discomfort__2_days_ago,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Chest pain or pressure or chest discomfort | 2 days ago","[""""2_days_ago""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__chest_pain_or_pressure_or_chest_discomfort__3_days_ago,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Chest pain or pressure or chest discomfort | 3 days ago","[""""3_days_ago""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__chest_pain_or_pressure_or_chest_discomfort__4_days_ago,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Chest pain or pressure or chest discomfort | 4 days ago","[""""4_days_ago""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__chest_pain_or_pressure_or_chest_discomfort__5_days_ago,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Chest pain or pressure or chest discomfort | 5 days ago","[""""5_days_ago""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__chest_pain_or_pressure_or_chest_discomfort__6_days_ago,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Chest pain or pressure or chest discomfort | 6 days ago","[""""6_days_ago""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__new_loss_of_sense_of_smell_or_taste__today,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | New loss of?sense of smell or taste | Today","[""""today""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__new_loss_of_sense_of_smell_or_taste__yesterday,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | New loss of?sense of smell or taste | Yesterday","[""""yesterday""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__new_loss_of_sense_of_smell_or_taste__2_days_ago,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | New loss of?sense of smell or taste | 2 days ago","[""""2_days_ago""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__new_loss_of_sense_of_smell_or_taste__3_days_ago,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | New loss of?sense of smell or taste | 3 days ago","[""""3_days_ago""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__new_loss_of_sense_of_smell_or_taste__4_days_ago,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | New loss of?sense of smell or taste | 4 days ago","[""""4_days_ago""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__new_loss_of_sense_of_smell_or_taste__5_days_ago,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | New loss of?sense of smell or taste | 5 days ago","[""""5_days_ago""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__new_loss_of_sense_of_smell_or_taste__6_days_ago,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | New loss of?sense of smell or taste | 6 days ago","[""""6_days_ago""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__insert_text_from_other__today,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | [Insert text from Other] | Today","[""""today""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__insert_text_from_other__yesterday,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | [Insert text from Other] | Yesterday","[""""yesterday""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__insert_text_from_other__2_days_ago,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | [Insert text from Other] | 2 days ago","[""""2_days_ago""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days3__insert_text_from_other__3_days_ago,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | [Insert text from Other] | 3 days ago","[""""3_days_ago""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
